Key_1_2,D769,D864,D567,D478,D946,D199,D925,D245,D142,D58,Key_2_7
k1766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,k2082
k2167,0.0,0.0,0.0,0.0,0.0,0.393118594,0.0,0.0,0.0625,0.0,k2784
k452,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.125,0.0,k738
k2004,0.0,0.0,0.0,0.0,0.0,0.433443143,0.0385,0.0,0.125,0.125118228,k1670
k341,0.0,0.0,0.0,0.0,0.0,0.439909712,0.0769,0.0,0.0,0.0,k1494
k2042,0.0,0.0,0.0,0.0,0.0,0.460773548,0.0,0.0,0.0625,0.125639951,k411
k2968,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.25,0.0336,k2736
k1977,0.0,0.0,0.0,0.0,0.0,0.440702782,0.0,0.0,0.0625,0.0667,k148
k4,0.0,0.0,0.0,0.0,0.0,0.492923377,0.0769,0.0,0.0,0.0,k2483
k2717,0.0,0.0,0.0,0.0,0.0,0.479197169,0.0,0.0,0.25,0.266876587,k1039
k658,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.772036862,0.1875,0.465301045,k3194
k1149,0.0357,0.0,0.0,0.0,0.0,0.59352123,0.115384615,0.0,0.25,0.0113,k3324
k39,0.0357,0.714285714,0.0,0.0,0.0,0.564970717,0.115384615,0.0,0.125,0.0667,k1887
k2242,0.0,0.0,0.0,0.0,0.0,0.0,0.269230769,0.0,0.0625,0.0336,k415
k2442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,k2765
k123,0.0,0.0,0.0,0.0,0.0,0.702598829,0.0,0.0,0.125,0.0,k201
k2487,0.0,0.0,0.0,0.0,0.0,0.365178136,0.0,0.0,0.25,0.350492135,k2132
k1009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,k2802
k581,0.0,0.0,0.0,0.0,0.0,0.0,0.0385,0.0,0.1875,0.125118228,k1534
k3325,0.0,0.0,0.0,0.0435,0.0,0.0,0.0385,0.0,0.3125,0.350492135,k2092
k75,0.0,0.0,0.0,0.0,0.0,0.476451928,0.0385,0.0,0.0,0.0,k2376
k1573,0.0,0.0,0.0,0.0,0.0,0.0,0.269230769,0.0,0.0625,0.0336,k2069
k3111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,k188
k3050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.117841606,k2750
k2412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,k1619
