class,Soil_Type20,Soil_Type36,Soil_Type32,Soil_Type33,Key_0_0
1,0,0,0,0,k316150
1,0,0,0,0,k384814
1,0,0,0,0,k258402
1,0,0,0,0,k225643
1,0,0,0,0,k222032
1,0,0,0,0,k350217
1,0,0,0,1,k260380
1,0,0,0,0,k100059
1,0,0,0,0,k177268
1,0,0,0,0,k238523
1,0,0,0,0,k275009
1,0,0,0,0,k191280
1,0,0,0,0,k44986
1,0,0,0,1,k156304
1,0,0,1,0,k72227
1,0,0,0,0,k163232
1,0,0,0,0,k75424
1,0,0,0,1,k227148
1,0,0,0,0,k81566
1,0,0,0,1,k408721
1,0,0,0,0,k312032
1,0,0,0,0,k157616
1,0,0,1,0,k278200
1,0,0,0,0,k315043
1,0,0,1,0,k115207
1,0,0,0,0,k296923
1,0,0,0,0,k212910
1,0,0,0,0,k370256
1,0,0,0,1,k50085
1,0,0,0,0,k7282
1,0,0,1,0,k39825
1,0,0,0,0,k29684
1,0,0,0,1,k285244
1,0,0,0,0,k80948
1,0,0,0,1,k180458
1,0,0,0,0,k410596
1,0,0,1,0,k120915
1,0,0,0,0,k371413
1,0,0,0,0,k140006
1,0,0,0,0,k126779
1,0,0,0,0,k162623
1,0,0,0,0,k412823
1,0,0,0,1,k312351
1,0,0,0,0,k162272
1,0,0,0,0,k233163
1,0,0,0,0,k268504
1,0,0,0,0,k108239
1,0,0,0,0,k170236
1,0,0,0,0,k222321
1,0,0,0,0,k133472
1,0,0,0,1,k306314
1,0,0,0,1,k222057
1,0,0,0,1,k375403
1,0,0,0,0,k235488
1,0,0,0,0,k290635
1,0,0,0,0,k282417
1,0,0,0,0,k86469
1,0,0,0,0,k81172
1,0,0,0,1,k331116
1,0,0,0,0,k31367
1,0,0,0,1,k196908
1,0,0,0,0,k101528
1,0,0,0,0,k39499
1,0,0,0,0,k327660
1,0,0,0,0,k248452
1,0,0,0,0,k81651
1,0,0,0,0,k267897
1,0,0,0,0,k368061
1,0,0,0,0,k320951
1,0,0,1,0,k303047
1,0,0,0,0,k276381
1,0,0,0,0,k404285
1,0,0,0,0,k322634
1,0,0,0,0,k349519
1,0,0,0,1,k159041
1,0,0,0,1,k170207
1,0,0,0,0,k101761
1,0,0,0,0,k144333
1,0,0,0,0,k215892
1,0,0,0,0,k377084
1,0,0,0,0,k410932
1,0,0,0,0,k386323
1,0,0,0,0,k320912
1,0,0,0,0,k133140
1,0,0,0,0,k42824
1,0,0,0,0,k28437
1,0,0,0,0,k359551
1,0,0,0,0,k300619
1,0,0,0,0,k241702
1,0,0,1,0,k36251
1,0,0,0,0,k366116
1,0,0,0,0,k187352
1,0,0,0,0,k349004
1,0,0,0,0,k147000
1,0,0,0,0,k281367
1,0,0,0,0,k50239
1,0,0,0,0,k82220
1,0,0,0,0,k138569
1,0,0,0,0,k133820
1,0,0,0,0,k309316
1,0,0,0,0,k352132
1,0,0,0,0,k253479
1,0,0,0,0,k305448
1,0,0,1,0,k45174
1,0,0,0,0,k60132
1,0,0,0,0,k66132
1,0,0,0,0,k301241
1,1,0,0,0,k138162
1,0,0,0,0,k50217
1,0,0,0,0,k290977
1,0,0,0,0,k225755
1,0,0,1,0,k368232
1,0,0,0,0,k82311
1,0,0,0,0,k2327
1,0,0,0,0,k191760
1,0,0,0,0,k367294
1,0,0,0,0,k417546
1,0,0,0,1,k405803
1,0,0,1,0,k174148
1,0,0,0,0,k168526
1,0,0,0,0,k71861
1,0,0,0,0,k145142
1,0,0,0,0,k186485
1,0,0,0,0,k40081
1,0,0,0,0,k176899
1,0,0,0,0,k258513
1,0,0,0,0,k95215
1,0,0,0,0,k420626
1,0,0,0,0,k351728
1,0,0,0,0,k158767
1,0,0,0,0,k16984
1,0,0,0,0,k393332
1,0,0,0,0,k17305
1,0,0,0,0,k251925
1,0,0,0,0,k366100
1,0,0,0,0,k130767
1,0,0,0,0,k192514
1,0,0,0,0,k220008
1,0,0,0,0,k157642
1,0,0,0,0,k227210
1,0,0,0,0,k148079
1,0,0,0,0,k93812
1,0,0,0,0,k198988
1,0,0,1,0,k114727
1,0,0,0,0,k265966
1,0,0,0,0,k56273
1,0,0,0,0,k230031
1,0,0,0,0,k209489
1,0,0,0,0,k34533
1,0,0,0,1,k417786
1,0,0,0,0,k103668
1,0,0,0,0,k160528
1,0,0,0,0,k230610
1,0,0,0,0,k272498
1,0,0,0,0,k378825
1,0,0,0,0,k157641
1,0,0,0,0,k87375
1,0,0,0,0,k18567
1,0,0,0,0,k1473
1,0,0,0,0,k21563
1,0,0,0,0,k155118
1,0,0,0,0,k199565
1,0,0,0,0,k152790
1,0,0,1,0,k295190
1,0,0,0,0,k190537
1,0,0,0,0,k182375
1,0,0,0,0,k378087
1,0,0,0,0,k293339
1,0,0,0,0,k300985
1,0,0,0,1,k98646
1,0,0,0,0,k15280
1,0,0,0,0,k103859
1,0,0,0,0,k63137
1,0,0,0,0,k382614
1,0,0,0,0,k125740
1,0,0,0,0,k167733
1,0,0,0,0,k237598
1,0,0,0,0,k32696
1,0,0,0,0,k157715
1,0,0,0,0,k363908
1,0,0,0,0,k125799
1,0,0,0,1,k391358
1,0,0,0,0,k414907
1,0,0,0,0,k150739
1,0,0,0,0,k416128
1,0,0,0,0,k359121
1,0,0,0,0,k416421
1,0,0,0,0,k101425
1,0,0,1,0,k372649
1,0,0,0,0,k72660
1,0,0,0,0,k249656
1,0,0,0,0,k135961
1,0,0,0,0,k354736
1,1,0,0,0,k419361
1,0,0,0,0,k382191
1,0,0,0,0,k336325
1,0,0,1,0,k221653
1,0,0,0,0,k345669
1,0,0,0,0,k97971
1,0,0,0,1,k294597
1,0,0,0,1,k217076
1,0,0,0,0,k27191
1,0,0,0,0,k142394
1,0,0,0,0,k28695
1,0,0,0,0,k45786
1,0,0,0,0,k240707
1,0,0,0,0,k125186
1,0,0,0,0,k267763
1,0,0,0,0,k111903
1,0,0,0,0,k59332
1,0,0,0,0,k5881
1,0,0,0,0,k151361
1,0,0,0,0,k356538
1,0,0,0,0,k82473
1,0,0,0,0,k244239
1,0,0,0,0,k287508
1,0,0,0,0,k34462
1,0,0,0,0,k278243
1,0,0,0,0,k46352
1,0,0,0,0,k396669
1,0,0,1,0,k279844
1,0,0,0,0,k136347
1,0,0,0,0,k179636
1,0,0,0,0,k412772
1,0,0,1,0,k33454
1,0,0,0,0,k9567
1,0,0,0,0,k71562
1,0,0,0,0,k348057
1,0,0,1,0,k32319
1,0,0,0,0,k369607
1,0,0,0,0,k18941
1,0,0,0,0,k85438
1,0,0,0,0,k378749
1,1,0,0,0,k336871
1,0,0,0,0,k334240
1,0,0,0,0,k366212
1,0,0,0,0,k343657
1,0,0,0,0,k55912
1,0,0,0,0,k168575
1,0,0,0,0,k404260
1,0,0,0,0,k317331
1,0,0,0,0,k65696
1,0,0,0,1,k96765
1,0,0,1,0,k406145
1,0,0,1,0,k63885
1,0,0,0,0,k338708
1,0,0,0,0,k50523
1,0,0,1,0,k287369
1,0,0,0,0,k368536
1,0,0,0,0,k47970
1,0,0,0,0,k371096
1,0,0,0,0,k29309
1,0,0,0,0,k99485
1,0,0,0,0,k60805
1,0,0,0,0,k405474
1,0,0,0,0,k304191
1,0,0,1,0,k65341
1,0,0,0,0,k118884
1,1,0,0,0,k292937
1,0,0,0,0,k78619
1,0,0,0,0,k283923
1,0,0,0,0,k4030
1,0,0,0,0,k398433
1,0,0,0,0,k255034
1,0,0,0,0,k64692
1,0,0,0,0,k21168
1,0,0,0,1,k95175
1,0,0,1,0,k305682
1,0,0,0,0,k329316
1,0,0,1,0,k190280
1,0,0,0,0,k114849
1,0,0,0,0,k201094
1,0,0,0,0,k277507
1,0,0,0,0,k135236
1,0,0,0,0,k15086
1,0,0,1,0,k351373
1,0,0,0,0,k288476
1,0,0,0,0,k144633
1,0,0,0,0,k88329
1,0,0,0,0,k316538
1,0,0,0,0,k346739
1,0,0,0,0,k108869
1,0,0,0,0,k143966
1,0,0,0,0,k289203
1,0,0,0,0,k421737
1,0,0,0,0,k28706
1,0,0,0,0,k284642
1,0,0,0,0,k284748
1,1,0,0,0,k136862
1,0,0,1,0,k41312
1,0,0,1,0,k295401
1,0,0,0,1,k419707
1,0,0,0,0,k57133
1,0,0,0,0,k340698
1,0,0,0,0,k184070
1,0,0,0,0,k404672
1,0,0,0,0,k52464
1,0,0,0,0,k293095
1,0,0,0,1,k415265
1,0,0,0,1,k277133
1,0,0,0,0,k287867
1,0,0,0,0,k79223
1,0,0,0,0,k157890
1,0,0,0,0,k3408
1,0,0,0,0,k240050
1,0,0,0,0,k87554
1,0,0,0,0,k374035
1,0,0,0,0,k226543
1,0,0,0,0,k272123
1,0,0,0,0,k51067
1,0,0,0,0,k121433
1,0,0,0,0,k347849
1,0,0,0,0,k130927
1,0,0,0,0,k252555
1,0,0,0,0,k264919
1,0,0,0,0,k322556
1,0,0,0,0,k158955
1,0,0,1,0,k316556
1,0,0,0,0,k161291
1,0,0,0,0,k174576
1,0,0,0,0,k381759
1,0,0,0,0,k129518
1,0,0,0,0,k57512
1,0,0,0,0,k145338
1,0,0,0,0,k243885
1,0,0,0,0,k145263
1,0,0,0,0,k321410
1,0,0,0,0,k138411
1,0,0,0,0,k266668
1,0,0,0,0,k187773
1,0,0,0,0,k235607
1,0,0,0,1,k40762
1,0,0,0,0,k384543
1,0,0,0,0,k88985
1,0,0,0,0,k7157
1,0,0,0,0,k380461
1,0,0,0,0,k1586
1,0,0,0,0,k187884
1,0,0,1,0,k145872
1,0,0,1,0,k213652
1,0,0,0,0,k407810
1,0,0,0,0,k221805
1,0,0,0,0,k48812
1,0,0,0,0,k376831
1,0,0,0,0,k18208
1,0,0,1,0,k223338
1,0,0,0,0,k21767
1,0,0,0,0,k184745
1,0,0,0,1,k8611
1,0,0,0,0,k115842
1,0,0,0,0,k95084
1,0,0,0,1,k54244
1,0,0,0,0,k168865
1,0,0,0,0,k180094
1,0,0,0,0,k249228
1,0,0,0,0,k46336
1,0,0,0,0,k157382
1,0,0,0,0,k71272
1,0,0,0,1,k374792
1,0,0,0,1,k117885
1,0,0,0,0,k2480
1,0,0,1,0,k154837
1,0,0,0,0,k312951
1,0,0,0,0,k31147
1,0,0,0,0,k386964
1,0,0,0,0,k390659
1,0,0,0,0,k292053
1,0,0,0,0,k242152
1,0,0,0,0,k81280
1,0,0,0,0,k17584
1,1,0,0,0,k53554
1,0,0,0,1,k82116
1,0,0,0,0,k137453
1,0,0,0,0,k177372
1,0,0,1,0,k35499
1,0,0,1,0,k145011
1,0,0,0,0,k93117
1,0,0,0,0,k229124
1,0,0,0,0,k203912
1,0,0,0,0,k225692
1,0,0,0,0,k241031
1,0,0,0,0,k180965
1,0,0,0,0,k385179
1,0,0,0,0,k388022
1,0,0,1,0,k278294
1,0,0,0,1,k152344
1,0,0,0,1,k384297
1,0,0,0,0,k182677
1,0,0,0,0,k311343
1,0,0,1,0,k368436
1,0,0,0,1,k27448
1,0,0,0,0,k246186
1,0,0,0,0,k281136
1,0,0,0,0,k219747
1,0,0,1,0,k206712
1,0,0,1,0,k113302
1,0,0,0,0,k89341
1,0,0,0,0,k139954
1,0,0,0,0,k419806
1,0,0,0,0,k313144
1,0,0,0,0,k75164
1,0,0,1,0,k282936
1,0,0,0,0,k30096
1,1,0,0,0,k201286
1,0,0,0,0,k205064
1,0,0,0,0,k196988
1,0,0,0,0,k47082
1,0,0,0,0,k295638
1,0,0,0,0,k116706
1,0,0,0,0,k22522
1,0,0,0,0,k405603
1,0,0,0,1,k391716
1,0,0,0,0,k357339
1,0,0,0,0,k270830
1,0,0,0,0,k208860
1,0,0,0,0,k234546
1,0,0,0,0,k305286
1,0,0,0,0,k88087
1,0,0,1,0,k298121
1,0,0,0,0,k140691
1,1,0,0,0,k288546
1,0,0,0,0,k362206
1,0,0,1,0,k394317
1,0,0,0,1,k263475
1,0,0,0,0,k9407
1,0,0,0,0,k325404
1,0,0,0,0,k416675
1,0,0,1,0,k302813
1,0,0,0,0,k5052
1,0,0,0,0,k113479
1,0,0,0,1,k250723
1,0,0,0,0,k327213
1,0,0,0,0,k375970
1,0,0,0,1,k278414
1,0,0,0,0,k159103
1,0,0,0,0,k182479
1,0,0,0,0,k362679
1,0,0,0,0,k118684
1,0,0,1,0,k107308
1,0,0,0,0,k298742
1,0,0,0,0,k359630
1,0,0,0,0,k294336
1,0,0,1,0,k370419
1,0,0,0,0,k231242
1,0,0,0,0,k191038
1,0,0,1,0,k329274
1,0,0,0,0,k104656
1,0,0,0,0,k183419
1,0,0,0,0,k314750
1,0,0,1,0,k70793
1,0,0,0,0,k214479
1,0,0,1,0,k287801
1,0,0,1,0,k375681
1,0,0,0,0,k220045
1,0,0,0,0,k416478
1,0,0,0,0,k364226
1,0,0,0,0,k10160
1,0,0,0,0,k328513
1,0,0,1,0,k239285
1,0,0,0,0,k2234
1,0,0,0,0,k355982
1,0,0,0,1,k158020
1,0,0,1,0,k162494
1,0,0,0,0,k333303
1,0,0,0,0,k125299
1,0,0,0,0,k244627
1,0,0,0,0,k387553
1,0,0,1,0,k357673
1,0,0,0,0,k10979
1,0,0,0,0,k13395
1,0,0,0,0,k104601
1,0,0,1,0,k212547
1,0,0,0,0,k384087
1,0,0,0,0,k399619
1,0,0,0,1,k308568
1,0,0,1,0,k367699
1,0,0,0,0,k258667
1,0,0,1,0,k309271
1,0,0,0,0,k232810
1,0,0,0,0,k93691
1,0,0,0,0,k143589
1,0,0,0,0,k130122
1,0,0,0,0,k352004
1,0,0,0,0,k26891
1,0,0,0,0,k273139
1,0,0,0,1,k97012
1,0,0,0,0,k111981
1,0,0,0,0,k39828
1,0,0,0,0,k290830
1,0,0,0,0,k69883
1,0,0,0,0,k61606
1,0,0,1,0,k348163
1,0,0,1,0,k326693
1,0,0,0,0,k153458
1,0,0,0,0,k400426
1,0,0,0,0,k81167
1,0,0,0,0,k14851
1,0,0,0,1,k340783
1,0,0,0,0,k39545
1,0,0,0,0,k29091
1,0,0,0,0,k227831
1,0,0,1,0,k365430
1,0,0,0,0,k52323
1,0,0,1,0,k215591
1,0,0,0,0,k8786
1,0,0,0,0,k122204
1,0,0,0,0,k104819
1,0,0,0,0,k319627
1,0,0,0,1,k115332
1,0,0,0,0,k94534
1,0,0,0,1,k190136
1,0,0,0,1,k295556
1,0,0,0,1,k405993
1,0,0,0,0,k304758
1,0,0,0,0,k347641
1,0,0,0,0,k121840
1,0,0,0,0,k32437
1,0,0,1,0,k71541
1,0,0,0,0,k186139
1,0,0,0,1,k106629
1,0,0,0,0,k194264
1,1,0,0,0,k15812
1,0,0,0,1,k269222
1,1,0,0,0,k217922
1,0,0,0,1,k180471
1,1,0,0,0,k42330
1,0,0,0,0,k11693
1,0,0,0,0,k365282
1,0,0,0,0,k397133
1,0,0,0,0,k63605
1,0,0,0,1,k231967
1,0,0,0,0,k21270
1,0,0,0,0,k252786
1,0,0,0,0,k103795
1,0,0,0,0,k243055
1,0,0,0,0,k39447
1,0,0,0,0,k206901
1,0,0,0,0,k351113
1,0,0,0,0,k319760
1,0,0,0,0,k165609
1,0,0,0,0,k233514
1,0,0,0,0,k325007
1,0,0,0,1,k107644
1,0,0,0,0,k58361
1,0,0,0,0,k326172
1,0,0,0,0,k242028
1,0,0,0,0,k227243
1,0,0,1,0,k58292
1,0,0,0,0,k67676
1,0,0,0,0,k409595
1,0,0,0,0,k72268
1,0,0,0,0,k361470
1,0,0,0,0,k82020
1,0,0,0,0,k423097
1,0,0,0,0,k303299
1,0,0,0,0,k101469
1,0,0,0,0,k285608
1,0,0,0,0,k328164
1,1,0,0,0,k388908
1,0,0,0,0,k212137
1,0,0,0,0,k326495
1,0,0,0,0,k401794
1,0,0,0,0,k189232
1,0,0,0,1,k296483
1,0,0,0,0,k89680
1,0,0,0,0,k325510
1,0,0,0,0,k379994
1,0,0,1,0,k82026
1,0,0,0,0,k244331
1,0,0,0,0,k136072
1,0,0,0,0,k18590
1,0,0,0,0,k353544
1,0,0,0,0,k403378
1,0,0,0,0,k380974
1,0,0,0,0,k203715
1,0,0,0,0,k362130
1,0,0,0,0,k105395
1,0,0,1,0,k371681
1,0,0,0,0,k318835
1,0,0,0,0,k107566
1,0,0,1,0,k391521
1,0,0,0,0,k108226
1,0,0,0,0,k95588
1,0,0,0,0,k70938
1,0,0,0,0,k174117
1,0,0,0,0,k74044
1,0,0,0,0,k230658
1,0,0,0,0,k399844
1,0,0,0,0,k282440
1,0,0,0,0,k241837
1,0,0,0,0,k145806
1,0,0,0,0,k307555
1,0,0,1,0,k346485
1,0,0,0,0,k218554
1,0,0,0,0,k111811
1,0,0,0,0,k105034
1,0,0,0,0,k118674
1,0,0,1,0,k142925
1,0,0,0,0,k406698
1,0,0,0,0,k241881
1,0,0,0,0,k64406
1,0,0,0,0,k402172
1,0,0,0,0,k383031
1,0,0,0,0,k128222
1,0,0,0,0,k374901
1,0,0,0,0,k343955
1,0,0,0,0,k277187
1,0,0,0,0,k131845
1,0,0,0,0,k4790
1,0,0,1,0,k268468
1,0,0,0,0,k165804
1,0,0,1,0,k34717
1,0,0,0,0,k396907
1,0,0,1,0,k69940
1,0,0,0,0,k249287
1,0,0,0,1,k222763
1,0,0,0,0,k199296
1,0,0,0,0,k311319
1,0,0,0,1,k152261
1,0,0,0,1,k350578
1,0,0,0,0,k247963
1,0,0,0,0,k137134
1,0,0,0,0,k128312
1,0,0,0,0,k203274
1,0,0,0,0,k86098
1,0,0,0,0,k256854
1,0,0,0,0,k397492
1,0,0,0,0,k113929
1,0,0,0,0,k351368
1,0,0,0,0,k345325
1,0,0,0,1,k378780
1,0,0,0,0,k132117
1,0,0,1,0,k186132
1,0,0,1,0,k78792
1,0,0,0,0,k381813
1,0,0,0,0,k204288
1,0,0,0,0,k280852
1,0,0,0,0,k188114
1,0,0,0,0,k348140
1,0,0,0,1,k274434
1,0,0,0,0,k393896
1,0,0,0,0,k248943
1,0,0,0,0,k17231
1,0,0,0,0,k366075
1,0,0,0,0,k290002
1,0,0,0,0,k208097
1,0,0,0,0,k385100
1,0,0,0,0,k174400
1,0,0,0,0,k8335
1,0,0,0,0,k192552
1,0,0,0,0,k31576
1,0,0,0,0,k90381
1,0,0,0,0,k369049
1,0,0,0,1,k135474
1,0,0,0,0,k331005
1,0,0,0,0,k251502
1,0,0,0,0,k131885
1,0,0,1,0,k246200
1,0,0,1,0,k93172
1,0,0,0,0,k137700
1,0,0,0,0,k209474
1,0,0,1,0,k113343
1,0,0,0,1,k59905
1,0,0,0,0,k324226
1,0,0,0,0,k111288
1,0,0,0,0,k243847
1,0,0,1,0,k402429
1,0,0,0,0,k54621
1,0,0,0,0,k132592
1,0,0,0,0,k333944
1,0,0,0,0,k15604
1,0,0,0,0,k105465
1,0,0,0,0,k106562
1,0,0,0,0,k282830
1,0,0,0,0,k50979
1,0,0,0,0,k318373
1,0,0,0,0,k341131
1,1,0,0,0,k262773
1,0,0,0,0,k20067
1,0,0,0,0,k252894
1,0,0,0,1,k28656
1,0,0,0,0,k301590
1,0,0,0,0,k230808
1,0,0,0,0,k102634
1,0,0,0,0,k403646
1,0,0,0,0,k349895
1,0,0,0,0,k174558
1,0,0,0,1,k313803
1,0,0,0,0,k382639
1,0,0,0,0,k391193
1,0,0,0,0,k326807
1,0,0,1,0,k23393
1,0,0,0,0,k377300
1,0,0,1,0,k10172
1,0,0,0,0,k45690
1,0,0,0,0,k238070
1,1,0,0,0,k11630
1,0,0,0,0,k372661
1,0,0,0,1,k192249
1,0,0,0,0,k171426
1,0,0,0,0,k271931
1,0,0,0,0,k101708
1,0,0,0,0,k339632
1,0,0,0,0,k126996
1,0,0,0,1,k140654
1,0,0,1,0,k208287
1,0,0,0,0,k127684
1,0,0,0,1,k39374
1,0,0,0,0,k310654
1,0,0,0,0,k362371
1,0,0,0,0,k361893
1,0,0,0,0,k102813
1,0,0,0,0,k30218
1,0,0,0,0,k407652
1,0,0,0,0,k231600
1,0,0,0,0,k72856
1,0,0,0,0,k204711
1,0,0,0,0,k335138
1,0,0,1,0,k165746
1,0,0,0,0,k94272
1,0,0,0,0,k150771
1,0,0,0,0,k286102
1,0,0,0,0,k315384
1,0,0,0,0,k129255
1,0,0,0,0,k21792
1,0,0,0,0,k139666
1,0,0,0,0,k305225
1,0,0,0,0,k194550
1,0,0,0,0,k403917
1,0,0,0,0,k92532
1,0,0,0,0,k26369
1,0,0,0,1,k176815
1,0,0,0,1,k375633
1,0,0,0,0,k81692
1,0,0,0,0,k47460
1,0,0,0,0,k193700
1,0,0,0,0,k227562
1,0,0,1,0,k422618
1,0,0,1,0,k165604
1,0,0,0,0,k296374
1,0,0,0,0,k422524
1,0,0,1,0,k37801
1,0,0,0,0,k420623
1,0,0,0,0,k53422
1,0,0,0,0,k128474
1,0,0,0,0,k194792
1,0,0,0,0,k210369
1,0,0,0,0,k62205
1,0,0,0,0,k334152
1,0,0,0,0,k79759
1,0,0,0,0,k196550
1,0,0,0,0,k373061
1,0,0,0,0,k152827
1,0,0,0,0,k100327
1,0,0,0,0,k111548
1,0,0,0,0,k51990
1,0,0,1,0,k99885
1,0,0,0,0,k267264
1,0,0,0,0,k306346
1,0,0,0,0,k3757
1,0,0,0,0,k238785
1,0,0,0,0,k341745
1,0,0,0,0,k185910
1,0,0,0,0,k274258
1,0,0,0,0,k414277
1,0,0,0,1,k92710
1,0,0,0,0,k234671
1,0,0,0,0,k267571
1,0,0,0,0,k135390
1,0,0,0,0,k300311
1,0,0,0,0,k341875
1,0,0,0,0,k156343
1,0,0,0,0,k217518
1,0,0,0,0,k218836
1,0,0,0,0,k126134
1,1,0,0,0,k77391
1,0,0,0,0,k80359
1,0,0,0,0,k232783
1,0,0,0,0,k356657
1,0,0,0,0,k353558
1,0,0,0,0,k9485
1,0,0,0,0,k325218
1,0,0,0,0,k341813
1,0,0,0,0,k200235
1,0,0,0,0,k8533
1,0,0,0,0,k80466
1,0,0,0,0,k192688
1,0,0,0,0,k144352
1,0,0,1,0,k126198
1,0,0,0,0,k22870
