Key_0_0,Soil_Type8,Soil_Type25,Hillshade_3pm,Soil_Type7,Key_1_1
k316150,0,0,115.0,0,k18134
k384814,0,0,158.0,0,k282982
k258402,0,0,122.0,0,k49967
k225643,0,0,180.0,0,k365419
k222032,0,0,92.0,0,k374079
k350217,0,0,152.0,0,k6257
k260380,0,0,138.0,0,k391821
k100059,0,0,143.0,0,k169976
k177268,0,0,142.0,0,k219238
k238523,0,0,137.0,0,k148355
k275009,0,0,128.0,0,k291062
k191280,0,0,107.0,0,k341180
k44986,0,0,229.0,0,k98240
k156304,0,0,101.0,0,k36762
k72227,0,0,164.0,0,k105940
k163232,0,0,101.0,0,k281979
k75424,0,0,136.0,0,k409993
k227148,0,0,122.0,0,k31184
k81566,0,0,176.0,0,k4468
k408721,0,0,116.0,0,k3014
k312032,0,0,183.0,0,k76815
k157616,0,0,129.0,0,k358900
k278200,0,0,184.0,0,k405264
k315043,0,0,202.0,0,k148013
k115207,0,0,147.0,0,k54557
k296923,0,0,152.0,0,k129701
k212910,0,0,30.0,0,k78371
k370256,0,0,121.0,0,k260243
k50085,0,0,203.0,0,k278505
k7282,0,0,149.0,0,k300449
k39825,0,0,154.0,0,k185672
k29684,0,0,200.0,0,k227544
k285244,0,0,127.0,0,k9674
k80948,0,0,144.0,0,k164530
k180458,0,0,109.0,0,k152949
k410596,0,0,188.0,0,k207516
k120915,0,0,140.0,0,k260825
k371413,0,0,140.0,0,k112779
k140006,0,0,164.0,0,k390191
k126779,0,0,177.0,0,k116549
k162623,0,0,133.0,0,k133009
k412823,0,0,201.0,0,k9820
k312351,0,0,71.0,0,k192840
k162272,0,0,120.0,0,k186805
k233163,0,0,228.0,0,k165732
k268504,0,0,138.0,0,k271235
k108239,0,0,167.0,0,k24165
k170236,0,0,125.0,0,k21231
k222321,0,0,176.0,0,k2861
k133472,0,0,98.0,0,k272886
k306314,0,0,177.0,0,k32483
k222057,0,0,69.0,0,k64312
k375403,0,0,94.0,0,k29524
k235488,0,0,175.0,0,k379043
k290635,0,0,162.0,0,k14763
k282417,0,0,121.0,0,k198871
k86469,0,0,134.0,0,k278001
k81172,0,0,146.0,0,k211905
k331116,0,0,189.0,0,k129032
k31367,0,0,145.0,0,k61254
k196908,0,0,184.0,0,k35257
k101528,0,0,181.0,0,k338357
k39499,0,0,194.0,0,k390487
k327660,0,0,154.0,0,k236191
k248452,0,0,141.0,0,k173855
k81651,0,0,191.0,0,k100111
k267897,0,0,118.0,0,k47909
k368061,0,0,131.0,0,k166968
k320951,0,0,187.0,0,k58716
k303047,0,0,187.0,0,k404962
k276381,0,0,146.0,0,k32862
k404285,0,0,116.0,0,k405139
k322634,0,0,130.0,0,k17534
k349519,0,0,103.0,0,k31979
k159041,0,0,156.0,0,k117384
k170207,0,0,165.0,0,k379301
k101761,0,0,150.0,0,k46147
k144333,0,0,120.0,0,k406118
k215892,0,0,148.0,0,k48975
k377084,0,0,155.0,0,k291737
k410932,0,0,130.0,0,k374519
k386323,0,0,156.0,0,k347115
k320912,0,0,99.0,0,k61055
k133140,0,0,143.0,0,k153844
k42824,0,0,90.0,0,k393074
k28437,0,0,170.0,0,k331465
k359551,0,0,130.0,0,k261196
k300619,0,0,167.0,0,k92372
k241702,0,0,144.0,0,k110257
k36251,0,0,143.0,0,k391252
k366116,0,0,181.0,0,k144394
k187352,0,0,148.0,0,k387516
k349004,0,0,149.0,0,k96399
k147000,0,0,153.0,0,k178296
k281367,0,0,133.0,0,k339534
k50239,0,0,137.0,0,k139815
k82220,0,0,160.0,0,k399281
k138569,0,0,86.0,0,k343619
k133820,0,0,71.0,0,k249575
k309316,0,0,96.0,0,k318747
k352132,0,0,128.0,0,k400946
k253479,0,0,163.0,0,k85248
k305448,0,0,127.0,0,k357077
k45174,0,0,85.0,0,k141371
k60132,0,0,182.0,0,k357721
k66132,0,0,114.0,0,k216039
k301241,0,0,155.0,0,k51225
k138162,0,0,155.0,0,k278852
k50217,0,0,118.0,0,k299151
k290977,0,0,168.0,0,k170099
k225755,0,0,173.0,0,k281097
k368232,0,0,210.0,0,k382554
k82311,0,0,132.0,0,k253278
k2327,0,0,155.0,0,k116180
k191760,0,0,164.0,0,k31600
k367294,0,0,174.0,0,k134050
k417546,0,0,148.0,0,k103858
k405803,0,0,150.0,0,k75920
k174148,0,0,165.0,0,k382814
k168526,0,0,170.0,0,k395402
k71861,0,0,139.0,0,k362220
k145142,0,0,119.0,0,k70505
k186485,0,0,117.0,0,k46918
k40081,0,0,148.0,0,k423307
k176899,0,0,173.0,0,k153224
k258513,0,0,117.0,0,k7173
k95215,0,0,129.0,0,k409008
k420626,0,0,140.0,0,k107399
k351728,0,0,126.0,0,k87993
k158767,0,0,107.0,0,k349993
k16984,0,0,142.0,0,k131324
k393332,0,0,99.0,0,k171072
k17305,0,0,111.0,0,k265899
k251925,0,0,120.0,0,k281243
k366100,0,0,145.0,0,k3712
k130767,0,0,179.0,0,k307964
k192514,0,0,152.0,0,k261358
k220008,0,0,148.0,0,k207674
k157642,0,0,159.0,0,k327537
k227210,0,0,111.0,0,k54193
k148079,0,0,123.0,0,k266654
k93812,0,0,145.0,0,k33413
k198988,0,0,20.0,0,k97106
k114727,0,0,190.0,0,k416498
k265966,0,0,102.0,0,k3429
k56273,0,0,92.0,0,k344597
k230031,0,0,152.0,0,k186152
k209489,0,0,143.0,0,k31388
k34533,0,0,186.0,0,k342895
k417786,0,0,156.0,0,k279414
k103668,0,0,115.0,0,k374396
k160528,0,0,99.0,0,k274621
k230610,0,0,129.0,0,k179924
k272498,0,0,146.0,0,k159147
k378825,0,0,151.0,0,k267083
k157641,0,0,184.0,0,k165775
k87375,0,0,144.0,0,k91678
k18567,0,0,188.0,0,k353437
k1473,0,0,125.0,0,k356706
k21563,0,0,164.0,0,k289342
k155118,0,0,167.0,0,k419871
k199565,0,0,83.0,0,k234473
k152790,0,0,173.0,0,k230889
k295190,0,0,117.0,0,k341004
k190537,0,0,121.0,0,k320662
k182375,0,0,89.0,0,k194507
k378087,0,0,187.0,0,k155307
k293339,0,0,131.0,0,k106499
k300985,0,0,179.0,0,k159447
k98646,0,0,83.0,0,k251718
k15280,0,0,165.0,0,k4019
k103859,0,0,202.0,0,k136850
k63137,0,0,185.0,0,k57998
k382614,0,0,165.0,0,k17389
k125740,0,0,145.0,0,k247630
k167733,0,0,242.0,0,k124094
k237598,0,0,214.0,0,k333268
k32696,0,0,155.0,0,k204809
k157715,0,0,192.0,0,k200981
k363908,0,0,221.0,0,k45878
k125799,0,0,135.0,0,k141683
k391358,0,0,194.0,0,k351172
k414907,0,0,183.0,0,k238268
k150739,0,0,59.0,0,k388023
k416128,0,0,133.0,0,k268367
k359121,0,0,224.0,0,k7414
k416421,0,0,155.0,0,k277224
k101425,0,0,139.0,0,k171404
k372649,0,0,134.0,0,k389720
k72660,0,0,162.0,0,k377392
k249656,0,0,186.0,0,k412696
k135961,0,0,117.0,0,k38636
k354736,0,0,135.0,0,k216832
k419361,0,0,153.0,0,k327477
k382191,0,0,99.0,0,k133295
k336325,0,0,121.0,0,k406288
k221653,0,0,97.0,0,k21993
k345669,0,0,105.0,0,k158680
k97971,0,0,150.0,0,k342709
k294597,0,0,197.0,0,k187615
k217076,0,0,138.0,0,k94470
k27191,0,0,135.0,0,k103759
k142394,0,0,98.0,0,k378394
k28695,0,0,171.0,0,k195971
k45786,0,0,104.0,0,k249077
k240707,0,0,182.0,0,k248491
k125186,0,0,124.0,0,k63607
k267763,0,0,149.0,0,k56864
k111903,0,0,145.0,0,k212986
k59332,0,0,107.0,0,k71858
k5881,0,0,103.0,0,k76216
k151361,0,0,112.0,0,k84127
k356538,0,0,120.0,0,k311126
k82473,0,0,126.0,0,k5757
k244239,0,0,127.0,0,k112075
k287508,0,0,148.0,0,k333780
k34462,0,0,194.0,0,k385725
k278243,0,0,169.0,0,k63190
k46352,0,0,172.0,0,k330289
k396669,0,0,143.0,0,k216386
k279844,0,0,152.0,0,k65887
k136347,0,0,146.0,0,k130787
k179636,0,0,100.0,0,k321131
k412772,0,0,152.0,0,k279015
k33454,0,0,182.0,0,k289689
k9567,0,0,233.0,0,k46614
k71562,0,0,110.0,0,k365319
k348057,0,0,197.0,0,k16491
k32319,0,0,198.0,0,k178404
k369607,0,0,113.0,0,k46503
k18941,0,0,170.0,0,k79006
k85438,0,0,115.0,0,k400699
k378749,0,0,109.0,0,k81674
k336871,0,0,151.0,0,k334672
k334240,0,0,104.0,0,k346502
k366212,0,0,87.0,0,k164358
k343657,0,0,109.0,0,k113160
k55912,0,0,155.0,0,k240671
k168575,0,0,172.0,0,k235719
k404260,0,0,144.0,0,k229287
k317331,0,0,117.0,0,k102255
k65696,0,0,115.0,0,k78508
k96765,0,0,142.0,0,k365210
k406145,0,0,183.0,0,k283052
k63885,0,0,148.0,0,k389420
k338708,0,0,81.0,0,k319904
k50523,0,0,77.0,0,k160818
k287369,0,0,123.0,0,k153447
k368536,0,0,68.0,0,k118577
k47970,0,0,176.0,0,k264988
k371096,0,0,116.0,0,k414304
k29309,0,0,129.0,0,k194513
k99485,0,0,198.0,0,k241514
k60805,0,0,154.0,0,k189403
k405474,0,0,137.0,0,k289343
k304191,0,0,204.0,0,k203914
k65341,0,0,134.0,0,k223834
k118884,0,0,140.0,0,k308773
k292937,0,0,150.0,0,k349792
k78619,0,0,128.0,0,k208422
k283923,0,0,150.0,0,k38562
k4030,0,0,133.0,0,k162702
k398433,0,0,178.0,0,k414824
k255034,0,0,169.0,0,k60486
k64692,0,0,145.0,0,k295740
k21168,0,0,134.0,0,k92074
k95175,0,0,197.0,0,k148140
k305682,0,0,94.0,0,k209573
k329316,0,0,163.0,0,k336370
k190280,0,0,115.0,0,k229784
k114849,0,0,113.0,0,k42865
k201094,0,0,0.0,0,k118613
k277507,0,0,208.0,0,k347417
k135236,0,0,138.0,0,k387324
k15086,0,0,152.0,0,k14250
k351373,0,0,201.0,0,k69989
k288476,0,0,139.0,0,k81888
k144633,0,0,109.0,0,k82280
k88329,0,0,177.0,0,k396240
k316538,0,0,105.0,0,k124492
k346739,0,0,137.0,0,k14266
k108869,0,0,165.0,0,k278075
k143966,0,0,138.0,0,k375094
k289203,0,0,133.0,0,k78793
k421737,0,0,164.0,0,k260574
k28706,0,0,183.0,0,k114594
k284642,0,0,145.0,0,k177862
k284748,0,0,163.0,0,k97693
k136862,0,0,126.0,0,k287365
k41312,0,0,143.0,0,k157452
k295401,0,0,145.0,0,k380494
k419707,0,0,85.0,0,k197007
k57133,0,0,161.0,0,k193644
k340698,0,0,135.0,0,k145102
k184070,0,0,173.0,0,k105232
k404672,0,0,219.0,0,k261014
k52464,0,0,140.0,0,k246744
k293095,0,0,121.0,0,k273458
k415265,0,0,97.0,0,k353225
k277133,0,0,72.0,0,k320828
k287867,0,0,135.0,0,k71315
k79223,0,0,142.0,0,k302482
k157890,0,0,108.0,0,k218131
k3408,0,0,120.0,0,k120518
k240050,0,0,127.0,0,k128125
k87554,0,0,138.0,0,k21513
k374035,0,0,165.0,0,k415752
k226543,0,0,185.0,0,k359410
k272123,0,0,136.0,0,k414368
k51067,0,0,193.0,0,k146503
k121433,0,0,150.0,0,k403367
k347849,0,0,136.0,0,k387706
k130927,0,0,167.0,0,k324541
k252555,0,0,216.0,0,k411024
k264919,0,0,143.0,0,k390228
k322556,0,0,147.0,0,k148126
k158955,0,0,134.0,0,k145219
k316556,0,0,105.0,0,k369471
k161291,0,0,103.0,0,k159589
k174576,0,0,107.0,0,k95590
k381759,0,0,101.0,0,k112712
k129518,0,0,104.0,0,k215220
k57512,0,0,127.0,0,k220200
k145338,0,0,126.0,0,k417595
k243885,0,0,167.0,0,k27892
k145263,0,0,138.0,0,k188844
k321410,0,0,157.0,0,k191007
k138411,0,0,147.0,0,k97683
k266668,0,0,187.0,0,k321602
k187773,0,0,135.0,0,k92810
k235607,0,0,148.0,0,k8336
k40762,0,0,0.0,0,k321703
k384543,0,0,112.0,0,k200831
k88985,0,0,116.0,0,k105065
k7157,0,0,74.0,0,k192712
k380461,0,0,109.0,0,k62517
k1586,0,0,50.0,0,k43662
k187884,0,0,124.0,0,k56705
k145872,0,0,128.0,0,k166000
k213652,0,0,175.0,0,k163611
k407810,0,0,176.0,0,k347056
k221805,0,0,204.0,0,k417103
k48812,0,0,126.0,0,k165409
k376831,0,0,109.0,0,k306175
k18208,0,0,163.0,0,k225498
k223338,0,0,117.0,0,k390089
k21767,0,0,118.0,0,k2921
k184745,0,0,181.0,0,k71116
k8611,0,0,129.0,0,k36116
k115842,0,0,143.0,0,k137349
k95084,0,0,92.0,0,k117692
k54244,0,0,103.0,0,k332252
k168865,0,0,123.0,0,k92634
k180094,0,0,151.0,0,k91127
k249228,0,0,129.0,0,k126647
k46336,0,0,190.0,0,k226851
k157382,0,0,94.0,0,k395640
k71272,0,0,133.0,0,k360554
k374792,0,0,196.0,0,k87673
k117885,0,0,115.0,0,k275591
k2480,0,0,185.0,0,k159947
k154837,0,0,182.0,0,k114614
k312951,0,0,152.0,0,k409931
k31147,0,0,142.0,0,k143479
k386964,0,0,172.0,0,k409126
k390659,0,0,145.0,0,k225613
k292053,0,0,152.0,0,k297442
k242152,0,0,139.0,0,k218650
k81280,0,0,102.0,0,k8797
k17584,0,0,109.0,0,k183084
k53554,0,0,105.0,0,k237752
k82116,0,0,196.0,0,k116115
k137453,0,0,154.0,0,k178316
k177372,0,0,96.0,0,k104474
k35499,0,0,179.0,0,k27672
k145011,0,0,153.0,0,k137186
k93117,0,0,241.0,0,k33524
k229124,0,0,116.0,0,k423497
k203912,0,0,120.0,0,k167728
k225692,0,0,144.0,0,k67338
k241031,0,0,170.0,0,k218716
k180965,0,0,132.0,0,k325932
k385179,0,0,113.0,0,k314211
k388022,0,0,175.0,0,k4004
k278294,0,0,114.0,0,k314994
k152344,0,0,90.0,0,k232281
k384297,0,0,143.0,0,k370032
k182677,0,0,87.0,0,k191831
k311343,0,0,140.0,0,k158185
k368436,0,0,146.0,0,k264106
