Key_0_0,Soil_Type27,Wilderness_Area1,Aspect,Horizontal_Distance_To_Hydrology,Key_1_2
k316150,0,1,45.0,212.0,k129663
k384814,0,1,346.0,295.0,k268682
k258402,0,1,136.0,190.0,k185078
k225643,0,1,324.0,60.0,k267612
k222032,0,1,45.0,430.0,k128048
k350217,0,1,151.0,60.0,k171605
k260380,0,0,11.0,268.0,k8906
k100059,0,1,27.0,351.0,k131567
k177268,0,1,45.0,474.0,k125587
k238523,0,1,23.0,60.0,k149426
k275009,0,1,66.0,228.0,k250851
k191280,0,1,129.0,95.0,k178526
k44986,0,0,256.0,277.0,k76056
k156304,0,0,59.0,30.0,k205027
k72227,0,0,252.0,319.0,k228917
k163232,0,0,46.0,450.0,k2272
k75424,0,0,162.0,90.0,k360248
k227148,0,0,155.0,342.0,k170240
k81566,0,1,254.0,228.0,k410079
k408721,0,0,27.0,60.0,k171371
k312032,0,0,306.0,268.0,k16402
k157616,0,1,40.0,228.0,k181473
k278200,0,0,234.0,509.0,k65952
k315043,0,1,264.0,659.0,k79674
k115207,0,0,168.0,210.0,k353668
k296923,0,1,59.0,124.0,k68378
k212910,0,0,66.0,60.0,k107980
k370256,0,1,37.0,437.0,k33053
k50085,0,0,317.0,285.0,k40839
k7282,0,1,0.0,466.0,k220927
k39825,0,0,6.0,607.0,k52833
k29684,0,1,238.0,108.0,k109225
k285244,0,0,23.0,511.0,k4046
k80948,0,1,169.0,433.0,k384512
k180458,0,0,31.0,470.0,k277189
k410596,0,0,210.0,210.0,k82367
k120915,0,0,132.0,421.0,k125634
k371413,0,1,152.0,228.0,k212360
k140006,0,1,336.0,467.0,k256578
k126779,0,0,207.0,899.0,k290769
k162623,0,1,119.0,309.0,k51858
k412823,0,1,258.0,446.0,k100751
k312351,0,0,97.0,350.0,k97245
k162272,0,1,65.0,192.0,k402613
k233163,0,0,259.0,150.0,k148766
k268504,0,1,122.0,376.0,k62360
k108239,0,1,274.0,162.0,k172457
k170236,0,0,90.0,513.0,k76755
