Key_0_0,Soil_Type31,Soil_Type16,Soil_Type17,Wilderness_Area3,Key_1_3
k316150,0,0,0,0,k230335
k384814,0,0,0,0,k55720
k258402,0,0,0,0,k93281
k225643,0,0,0,0,k41849
k222032,0,0,0,0,k295970
k350217,0,0,0,0,k79397
k260380,0,0,0,0,k393915
k100059,0,0,0,0,k137868
k177268,0,0,0,0,k283034
k238523,0,0,0,0,k161631
k275009,0,0,0,0,k149642
k191280,0,0,0,0,k124138
k44986,0,0,0,1,k48030
k156304,0,0,0,1,k215779
k72227,0,0,0,1,k170493
k163232,1,0,0,1,k49775
k75424,0,0,0,1,k331578
k227148,0,0,0,1,k64285
k81566,0,0,0,0,k131739
k408721,0,0,0,1,k242433
k312032,1,0,0,1,k236150
k157616,0,0,0,0,k389940
k278200,0,0,0,1,k86286
k315043,0,0,0,0,k406121
k115207,0,0,0,1,k25484
k296923,0,0,0,0,k2279
k212910,0,0,0,1,k214886
k370256,0,0,0,0,k199247
k50085,0,0,0,1,k319323
k7282,0,0,0,0,k294545
k39825,0,0,0,1,k51350
k29684,0,0,0,0,k235178
k285244,0,0,0,1,k164134
k80948,0,0,0,0,k182023
k180458,0,0,0,1,k391915
k410596,0,0,0,1,k33229
k120915,0,0,0,1,k148669
k371413,0,0,0,0,k259165
k140006,0,0,0,0,k245766
k126779,1,0,0,1,k271649
k162623,0,0,0,0,k377547
k412823,0,0,0,0,k38327
k312351,0,0,0,1,k318250
k162272,0,0,0,0,k51506
k233163,0,0,0,1,k13591
k268504,0,0,0,0,k259935
k108239,0,0,0,0,k86809
k170236,0,0,0,1,k281340
k222321,0,0,0,1,k338288
k133472,0,0,0,0,k182974
k306314,0,0,0,1,k132422
k222057,0,0,0,1,k250961
k375403,0,0,0,1,k111221
k235488,0,0,0,0,k277244
k290635,0,0,0,0,k281521
k282417,0,0,0,0,k50581
k86469,0,0,0,1,k401530
k81172,0,0,0,0,k285971
k331116,0,0,0,1,k257412
k31367,0,0,0,0,k335138
k196908,0,0,0,1,k180289
k101528,0,0,0,1,k306445
k39499,0,0,0,0,k290400
k327660,0,0,0,0,k262125
k248452,0,0,0,1,k34870
k81651,0,0,0,0,k79836
k267897,0,0,0,0,k274674
k368061,0,0,0,0,k335098
k320951,0,0,0,0,k320354
k303047,0,0,0,1,k171740
k276381,0,0,0,0,k342247
k404285,0,0,0,0,k276292
k322634,0,0,0,0,k229574
k349519,0,0,0,1,k82541
k159041,0,0,0,1,k381778
k170207,0,0,0,1,k149115
k101761,0,0,0,0,k82571
k144333,0,0,0,0,k321117
k215892,0,0,0,0,k115472
k377084,0,0,0,0,k272627
k410932,0,0,0,1,k49685
k386323,0,0,0,0,k319612
k320912,0,0,0,1,k411118
k133140,0,0,0,0,k5265
k42824,0,0,0,0,k171102
k28437,0,0,0,0,k380504
k359551,0,0,0,0,k49109
k300619,0,0,0,0,k337034
k241702,0,0,0,0,k272707
k36251,0,0,0,1,k237430
k366116,0,0,0,0,k410235
k187352,0,0,0,0,k136357
k349004,0,0,0,1,k359151
k147000,0,0,0,0,k64020
k281367,0,0,0,0,k12669
k50239,0,0,0,0,k398486
k82220,0,0,0,0,k52357
k138569,0,0,0,0,k402406
k133820,0,0,0,1,k278048
k309316,0,0,0,0,k313317
k352132,0,0,0,0,k138779
k253479,0,0,0,0,k299533
k305448,0,0,0,0,k395689
k45174,0,0,0,0,k241783
k60132,0,0,0,1,k146067
k66132,0,0,0,0,k152191
k301241,0,0,0,0,k120478
k138162,0,0,0,0,k107937
k50217,0,0,0,1,k262240
k290977,0,0,0,1,k88028
k225755,0,0,0,0,k71191
k368232,0,0,0,1,k369536
k82311,0,0,0,0,k226327
k2327,0,0,0,0,k8249
k191760,0,0,0,0,k109554
k367294,0,0,0,0,k174629
k417546,0,0,0,0,k324639
k405803,0,0,0,1,k14883
k174148,0,0,0,1,k242880
k168526,0,0,0,1,k334542
k71861,0,0,0,0,k314810
k145142,0,0,0,0,k377877
k186485,1,0,0,1,k312872
k40081,0,0,0,0,k150848
k176899,0,0,0,0,k356160
k258513,0,0,0,1,k201510
k95215,0,0,0,0,k105729
k420626,0,0,0,1,k339598
