Key_1_3,Elevation,Soil_Type1,Soil_Type5,Soil_Type14,Soil_Type15,Soil_Type37
k230335,3156.0,0,0,0,0,0
k55720,3164.0,0,0,0,0,0
k93281,2839.0,0,0,0,0,0
k41849,2924.0,0,0,0,0,0
k295970,3090.0,0,0,0,0,0
k79397,2912.0,0,0,0,0,0
k393915,3215.0,0,0,0,0,0
k137868,3117.0,0,0,0,0,0
k283034,2527.0,0,0,0,0,0
k161631,2919.0,0,0,0,0,0
k149642,2991.0,0,0,0,0,0
k124138,2533.0,0,0,0,0,0
k48030,2931.0,0,0,0,0,0
k215779,2632.0,0,0,0,0,0
k170493,3079.0,0,0,0,0,0
k49775,3086.0,0,0,0,0,0
k331578,2993.0,0,0,0,0,0
k64285,3051.0,0,0,0,0,0
k131739,2965.0,0,0,0,0,0
k242433,2861.0,0,0,0,0,0
k236150,3106.0,0,0,0,0,0
k389940,2916.0,0,0,0,0,0
k86286,3335.0,0,0,0,0,0
k406121,3087.0,0,0,0,0,0
k25484,3244.0,0,0,0,0,0
k2279,2981.0,0,0,0,0,0
k214886,2806.0,0,0,0,0,0
k199247,2972.0,0,0,0,0,0
k319323,2930.0,0,0,0,0,0
k294545,3047.0,0,0,0,0,0
k51350,2984.0,0,0,0,0,0
k235178,3132.0,0,0,0,0,0
k164134,2887.0,0,0,0,0,0
k182023,3024.0,0,0,0,0,0
k391915,3001.0,0,0,0,0,0
k33229,2540.0,0,0,0,0,0
k148669,3118.0,0,0,0,0,0
k259165,2924.0,0,0,0,0,0
k245766,3017.0,0,0,0,0,0
k271649,3192.0,0,0,0,0,0
k377547,2570.0,0,0,0,0,0
k38327,2952.0,0,0,0,0,0
k318250,2962.0,0,0,0,0,0
k51506,2913.0,0,0,0,0,0
k13591,2809.0,0,0,0,0,0
k259935,2785.0,0,0,0,0,0
k86809,3003.0,0,0,0,0,0
k281340,3011.0,0,0,0,0,0
k338288,2843.0,0,0,0,0,0
k182974,3149.0,0,0,0,0,0
k132422,3083.0,0,0,0,0,0
k250961,2986.0,0,0,0,0,0
k111221,2910.0,0,0,0,0,0
k277244,2770.0,0,0,0,0,0
k281521,2816.0,0,0,0,0,0
k50581,3036.0,0,0,0,0,0
k401530,2867.0,0,0,0,0,0
k285971,3075.0,0,0,0,0,0
k257412,2976.0,0,0,0,0,0
k335138,3188.0,0,0,0,0,0
k180289,3045.0,0,0,0,0,0
k306445,2825.0,0,0,0,0,0
k290400,3047.0,0,0,0,0,0
k262125,2754.0,0,0,0,0,0
k34870,2853.0,0,0,0,0,0
k79836,2925.0,0,0,0,0,0
k274674,2968.0,0,0,0,0,0
k335098,2995.0,0,0,0,0,0
k320354,3032.0,0,0,0,0,0
k171740,3109.0,0,0,0,0,0
k342247,2863.0,0,0,0,0,0
k276292,2574.0,0,0,0,0,0
k229574,2795.0,0,0,0,0,0
k82541,2823.0,0,0,0,0,0
k381778,3206.0,0,0,0,0,0
k149115,2862.0,0,0,0,0,0
k82571,2952.0,0,0,0,0,0
k321117,3159.0,0,0,0,0,0
k115472,2942.0,0,0,0,0,0
k272627,2539.0,0,0,0,0,0
k49685,2900.0,0,0,0,0,0
k319612,3238.0,0,0,0,0,0
k411118,2727.0,0,0,0,0,0
k5265,2668.0,0,0,0,0,0
k171102,2860.0,0,0,0,0,0
k380504,2929.0,0,0,0,0,0
k49109,2859.0,0,0,0,0,0
k337034,2761.0,0,0,0,0,0
k272707,3245.0,0,0,0,0,0
k237430,3132.0,0,0,0,0,0
k410235,2581.0,0,0,0,0,0
k136357,2872.0,0,0,0,0,0
k359151,2907.0,0,0,0,0,0
k64020,3027.0,0,0,0,0,0
k12669,2729.0,0,0,0,0,0
k398486,2854.0,0,0,0,0,0
k52357,2915.0,0,0,0,0,0
k402406,2930.0,0,0,0,0,0
k278048,2950.0,0,0,0,0,0
k313317,2622.0,0,0,0,0,0
k138779,3303.0,0,0,0,0,0
k299533,3181.0,0,0,0,0,0
k395689,2744.0,0,0,0,0,0
k241783,3270.0,0,0,0,0,0
k146067,3098.0,0,0,0,0,0
k152191,2604.0,0,0,0,0,0
k120478,2780.0,0,0,0,0,0
k107937,2995.0,0,0,0,0,0
k262240,3227.0,0,0,0,0,0
k88028,2718.0,0,0,0,0,0
k71191,2951.0,0,0,0,0,0
k369536,3174.0,0,0,0,0,0
k226327,2609.0,0,0,0,0,0
k8249,3008.0,0,0,0,0,0
k109554,3276.0,0,0,0,0,0
k174629,2640.0,0,0,0,0,0
k324639,2991.0,0,0,0,0,0
k14883,2920.0,0,0,0,0,0
k242880,3264.0,0,0,0,0,0
k334542,2902.0,0,0,0,0,0
k314810,2553.0,0,0,0,0,0
k377877,3135.0,0,0,0,0,0
k312872,2942.0,0,0,0,0,0
k150848,2729.0,0,0,0,0,0
k356160,3067.0,0,0,0,0,0
k201510,2818.0,0,0,0,0,0
k105729,3174.0,0,0,0,0,0
k339598,2899.0,0,0,0,0,0
k21943,2856.0,0,0,0,0,0
k177311,2734.0,0,0,0,0,0
k70796,2859.0,0,0,0,0,0
k263497,2864.0,0,0,0,0,0
k187966,2866.0,0,0,0,0,0
k140552,2805.0,0,0,0,0,0
k390099,3286.0,0,0,0,0,0
k370411,2903.0,0,0,0,0,0
k191174,2775.0,0,0,0,0,0
k84002,2817.0,0,0,0,0,0
k39168,2809.0,0,0,0,0,0
k66135,2862.0,0,0,0,0,0
k4358,2993.0,0,0,0,0,0
k165711,2559.0,0,0,0,0,0
k332201,2774.0,0,0,0,0,0
k195463,3148.0,0,0,0,0,0
k386759,2706.0,0,0,0,0,0
k117046,2818.0,0,0,0,0,0
k142117,2932.0,0,0,0,0,0
k80,3143.0,0,0,0,0,0
k336512,3266.0,0,0,0,0,0
k353970,3205.0,0,0,0,0,0
k353723,2623.0,0,0,0,0,0
k354719,2671.0,0,0,0,0,0
k209573,2539.0,0,0,0,0,0
k387743,2654.0,0,0,0,0,0
k65856,3001.0,0,0,0,0,0
