Key_1_1,Soil_Type21,Soil_Type34,Soil_Type24,Soil_Type3
k18134,0,0,0,0
k282982,0,0,0,0
k49967,0,0,0,0
k365419,0,0,0,0
k374079,0,0,0,0
k6257,0,0,0,0
k391821,0,0,0,0
k169976,0,0,0,0
k219238,0,0,0,0
k148355,0,0,0,0
k291062,0,0,0,0
k341180,0,0,0,0
k98240,0,0,0,0
k36762,0,0,0,0
k105940,0,0,0,0
k281979,0,0,0,0
k409993,0,0,1,0
k31184,0,0,0,0
k4468,0,0,0,0
k3014,0,0,0,0
k76815,0,0,0,0
k358900,0,0,0,0
k405264,0,0,0,0
k148013,0,0,0,0
k54557,0,0,0,0
k129701,0,0,0,0
k78371,0,0,0,0
k260243,0,0,0,0
k278505,0,0,0,0
k300449,0,0,0,0
k185672,0,0,0,0
k227544,0,0,0,0
k9674,0,0,0,0
k164530,0,0,0,0
k152949,0,0,0,0
k207516,0,0,0,1
k260825,0,0,0,0
k112779,0,0,0,0
k390191,0,0,0,0
k116549,0,0,0,0
k133009,0,0,0,0
k9820,0,0,0,0
k192840,0,0,0,0
k186805,0,0,0,0
k165732,0,0,0,0
k271235,0,0,0,0
k24165,0,0,0,0
k21231,0,0,0,0
k2861,0,0,1,0
k272886,0,0,0,0
k32483,0,0,0,0
k64312,0,0,0,0
k29524,0,0,0,0
k379043,0,0,0,0
k14763,0,0,0,0
k198871,0,0,0,0
k278001,0,0,0,0
k211905,0,0,0,0
k129032,0,0,0,0
k61254,0,0,0,0
k35257,0,0,0,0
k338357,0,0,1,0
k390487,0,0,0,0
k236191,0,0,0,0
k173855,0,0,0,0
k100111,0,0,0,0
k47909,0,0,0,0
k166968,0,0,0,0
k58716,0,0,0,0
k404962,0,0,0,0
k32862,0,0,0,0
k405139,0,0,0,0
k17534,0,0,0,0
k31979,0,0,0,0
k117384,0,0,0,0
k379301,0,0,0,0
k46147,0,0,0,0
k406118,0,0,0,0
k48975,0,0,0,0
k291737,0,0,0,0
k374519,0,0,0,0
k347115,0,0,0,0
k61055,0,0,0,0
k153844,0,0,0,0
k393074,0,0,1,0
k331465,0,0,1,0
k261196,0,0,0,0
k92372,0,0,0,0
k110257,0,0,0,0
k391252,0,0,0,0
k144394,0,0,0,0
k387516,0,0,0,0
k96399,0,0,1,0
k178296,0,0,0,0
k339534,0,0,0,0
k139815,0,0,0,0
k399281,0,0,0,0
k343619,0,0,0,0
k249575,0,0,0,0
k318747,0,0,0,0
k400946,0,0,0,0
k85248,0,0,0,0
k357077,0,0,0,0
k141371,0,0,0,0
k357721,0,0,0,0
k216039,0,0,0,0
k51225,0,0,0,0
k278852,0,0,0,0
k299151,0,0,0,0
k170099,0,0,0,0
k281097,0,0,0,0
k382554,0,0,0,0
k253278,0,0,0,0
k116180,0,0,0,0
k31600,0,0,0,0
k134050,0,0,0,0
k103858,0,0,0,0
k75920,0,0,0,0
k382814,0,0,0,0
k395402,0,0,1,0
k362220,0,0,0,0
k70505,0,0,0,0
k46918,0,0,0,0
k423307,0,0,0,0
k153224,0,0,0,0
k7173,0,0,0,0
k409008,0,0,0,0
k107399,0,0,1,0
k87993,0,0,0,0
k349993,0,0,0,0
k131324,0,0,0,0
k171072,0,0,0,0
k265899,0,0,0,0
k281243,0,0,0,0
k3712,0,0,0,0
k307964,0,0,0,0
k261358,0,0,0,0
k207674,0,0,0,0
k327537,0,0,0,0
k54193,0,0,0,0
k266654,0,0,0,0
k33413,0,0,0,0
k97106,0,0,0,0
k416498,0,0,0,0
k3429,0,0,0,0
k344597,0,0,0,0
k186152,0,0,0,0
k31388,0,0,0,0
k342895,0,0,0,0
k279414,0,0,0,0
k374396,0,0,0,0
k274621,0,0,0,0
k179924,0,0,0,0
k159147,0,0,0,0
k267083,0,0,0,0
k165775,0,0,0,0
k91678,0,0,0,0
k353437,0,0,0,0
k356706,0,0,0,0
k289342,0,0,0,0
k419871,0,0,0,0
k234473,0,0,0,0
k230889,0,0,0,0
k341004,0,0,0,0
k320662,0,0,0,0
k194507,0,0,0,0
k155307,0,0,1,0
k106499,0,0,0,0
k159447,0,0,0,0
k251718,0,0,0,0
k4019,0,0,0,0
k136850,0,0,0,1
k57998,0,0,0,0
k17389,0,0,0,0
k247630,0,0,0,0
k124094,0,0,0,0
k333268,0,0,0,0
k204809,0,0,0,0
k200981,0,0,0,0
k45878,0,0,0,0
k141683,0,0,0,0
k351172,0,0,0,0
k238268,0,0,0,0
k388023,0,0,0,0
k268367,0,0,0,0
k7414,0,0,0,0
k277224,0,0,0,0
k171404,0,0,0,0
k389720,0,0,0,0
k377392,0,0,0,0
k412696,0,0,0,0
k38636,0,0,0,0
k216832,0,0,0,0
k327477,0,0,0,0
k133295,0,0,0,0
k406288,0,0,0,0
k21993,0,0,0,0
k158680,0,0,0,0
k342709,0,0,0,0
k187615,0,0,0,0
k94470,0,0,0,0
k103759,0,0,0,0
k378394,0,0,0,0
k195971,0,0,1,0
k249077,0,0,1,0
k248491,0,1,0,0
k63607,0,0,0,0
k56864,0,0,0,0
k212986,0,0,0,0
k71858,0,0,0,0
k76216,0,0,0,0
k84127,0,0,0,0
k311126,0,0,0,0
k5757,0,0,0,0
k112075,0,0,0,0
k333780,0,0,0,0
k385725,0,0,0,0
k63190,0,0,0,0
k330289,0,0,0,0
k216386,0,0,0,0
k65887,0,0,0,0
k130787,0,0,0,0
k321131,0,0,0,0
k279015,0,0,0,0
k289689,0,0,0,0
k46614,0,0,0,0
k365319,0,0,0,0
k16491,0,0,0,0
k178404,0,0,0,0
k46503,0,0,0,0
k79006,0,0,0,0
