Key_1_2,Horizontal_Distance_To_Fire_Points,Horizontal_Distance_To_Roadways,Soil_Type29,Soil_Type4
k129663,2925.0,5208.0,0,0
k268682,934.0,3114.0,1,0
k185078,2122.0,3000.0,1,0
k267612,2279.0,4699.0,1,0
k128048,3165.0,4108.0,1,0
k171605,5486.0,4050.0,0,0
k8906,1978.0,1719.0,0,0
k131567,1986.0,4168.0,1,0
k125587,3967.0,983.0,0,0
k149426,1798.0,4470.0,0,0
k250851,1062.0,4026.0,1,0
k178526,1463.0,272.0,0,0
k76056,537.0,1566.0,0,0
k205027,1128.0,1613.0,0,0
k228917,1296.0,3267.0,0,0
k2272,1657.0,2177.0,0,0
k360248,725.0,990.0,0,0
k170240,1624.0,570.0,0,0
k410079,4344.0,5136.0,1,0
k171371,2148.0,1230.0,0,0
k16402,1579.0,2960.0,0,0
k181473,5678.0,3960.0,1,0
k65952,1398.0,3408.0,0,0
k79674,1489.0,6252.0,1,0
k353668,1253.0,3284.0,0,0
k68378,1871.0,2858.0,1,0
k107980,1500.0,1967.0,0,0
k33053,2001.0,4395.0,1,0
k40839,582.0,2661.0,0,0
k220927,2755.0,3625.0,1,0
k52833,2297.0,1366.0,0,0
k109225,1505.0,1167.0,1,0
k4046,2750.0,1434.0,0,0
k384512,3969.0,6380.0,0,0
k277189,900.0,962.0,0,0
k82367,642.0,190.0,0,0
k125634,1243.0,571.0,0,0
k212360,335.0,4700.0,0,0
k256578,1678.0,4992.0,1,0
k290769,1385.0,4141.0,0,0
k51858,127.0,720.0,1,0
k100751,3523.0,5742.0,1,0
k97245,638.0,474.0,0,0
k402613,2382.0,2240.0,1,0
k148766,1577.0,1853.0,0,0
k62360,1765.0,2173.0,0,0
k172457,872.0,3960.0,1,0
k76755,2259.0,1477.0,0,0
k381922,1323.0,892.0,0,0
k70144,3125.0,3692.0,1,0
k346520,1503.0,1415.0,0,0
k250979,1019.0,1231.0,0,0
k396647,120.0,577.0,0,0
k188262,3240.0,1811.0,0,0
k280934,2975.0,2122.0,1,0
k88933,1124.0,1348.0,1,0
k418576,2506.0,1406.0,0,0
k218693,1639.0,1302.0,1,0
k174350,2329.0,2220.0,0,0
k219755,3042.0,5530.0,0,0
k356363,576.0,1266.0,0,0
k189165,1351.0,930.0,0,0
k292553,4715.0,5904.0,0,0
k281487,1034.0,1304.0,0,0
k26174,2355.0,1315.0,0,0
k282692,4853.0,3573.0,1,0
k184230,2402.0,780.0,1,0
k368140,1200.0,5047.0,1,0
k286728,870.0,5461.0,1,0
k209866,658.0,2555.0,0,0
