Key_0_0,housing,other_parties,job,Key_1_1
k664,own,none,skilled,k386
k369,own,none,skilled,k239
k184,own,none,unskilled resident,k839
k500,for free,guarantor,skilled,k20
k792,for free,none,skilled,k170
k843,for free,none,unskilled resident,k356
k881,own,none,skilled,k691
k283,rent,none,high qualif/self emp/mgmt,k858
k375,own,none,unskilled resident,k633
k405,own,none,high qualif/self emp/mgmt,k859
k3,rent,none,skilled,k346
k259,rent,none,skilled,k784
k537,own,none,skilled,k19
k136,own,none,unskilled resident,k105
k529,rent,none,skilled,k849
k962,own,none,unskilled resident,k50
k90,own,none,skilled,k818
k20,own,none,skilled,k467
k915,for free,none,high qualif/self emp/mgmt,k330
k209,own,none,skilled,k128
k988,own,none,skilled,k60
k8,rent,none,skilled,k641
k153,rent,none,unskilled resident,k240
k175,own,none,skilled,k443
k688,own,none,skilled,k772
k723,own,none,unskilled resident,k765
k967,own,none,unskilled resident,k47
k736,rent,none,skilled,k565
k918,own,guarantor,skilled,k31
k360,own,none,skilled,k461
k76,own,none,skilled,k112
k132,own,none,skilled,k834
k43,own,none,skilled,k74
k248,rent,none,unskilled resident,k504
k195,own,none,high qualif/self emp/mgmt,k581
k828,own,none,unskilled resident,k122
k41,for free,none,skilled,k3
k808,own,co applicant,skilled,k771
k112,own,none,skilled,k597
k323,own,none,skilled,k53
k134,own,none,high qualif/self emp/mgmt,k777
k617,own,none,skilled,k692
k767,own,none,unskilled resident,k22
k972,rent,none,skilled,k236
k344,for free,none,unskilled resident,k648
k231,own,none,high qualif/self emp/mgmt,k7
k789,own,none,skilled,k799
k535,rent,none,unemp/unskilled non res,k968
k160,own,none,unskilled resident,k283
k588,own,co applicant,skilled,k933
k131,own,none,unskilled resident,k920
k221,own,none,high qualif/self emp/mgmt,k202
k886,own,none,skilled,k757
k89,own,none,skilled,k457
k106,for free,none,skilled,k911
k156,own,guarantor,unskilled resident,k683
k191,own,none,high qualif/self emp/mgmt,k160
k486,own,none,skilled,k161
k445,own,none,high qualif/self emp/mgmt,k884
k634,rent,co applicant,unskilled resident,k896
k805,own,none,skilled,k28
k496,own,guarantor,skilled,k577
k871,for free,none,high qualif/self emp/mgmt,k671
k318,own,none,skilled,k220
k178,own,none,skilled,k136
k115,own,none,skilled,k102
k646,own,none,skilled,k856
k51,own,none,skilled,k68
k718,for free,none,skilled,k78
k219,own,none,skilled,k359
k408,own,none,skilled,k191
k449,rent,none,unskilled resident,k725
k867,for free,none,high qualif/self emp/mgmt,k231
k378,own,none,unskilled resident,k423
k151,own,none,high qualif/self emp/mgmt,k649
k357,for free,none,high qualif/self emp/mgmt,k256
k547,own,none,skilled,k223
k109,own,none,skilled,k871
k889,own,none,unskilled resident,k980
k472,own,none,skilled,k246
k320,own,none,skilled,k130
k107,own,none,skilled,k217
k461,rent,none,unskilled resident,k701
k430,own,guarantor,unskilled resident,k179
k544,own,none,unskilled resident,k511
k446,own,guarantor,high qualif/self emp/mgmt,k944
k546,own,none,skilled,k686
k161,for free,none,skilled,k872
k666,own,none,high qualif/self emp/mgmt,k497
k902,own,none,skilled,k567
k720,own,none,skilled,k631
k755,own,none,skilled,k129
k506,own,none,unskilled resident,k820
k42,rent,co applicant,skilled,k172
k882,own,none,skilled,k663
k899,rent,none,skilled,k553
k386,own,none,skilled,k703
