Key_0_0,own_telephone,existing_credits,other_payment_plans,Key_1_2
k664,yes,2.0,none,k812
k369,none,1.0,none,k793
k184,none,1.0,none,k872
k500,none,1.0,none,k230
k792,none,2.0,none,k879
k843,yes,1.0,none,k755
k881,none,1.0,none,k969
k283,yes,1.0,none,k229
k375,none,1.0,none,k970
k405,none,2.0,none,k93
k3,none,1.0,none,k16
k259,none,1.0,none,k177
k537,yes,1.0,none,k377
k136,none,2.0,none,k660
k529,none,1.0,none,k714
k962,none,1.0,none,k821
k90,none,2.0,none,k499
k20,none,3.0,bank,k788
k915,yes,1.0,none,k734
k209,yes,1.0,none,k8
k988,yes,3.0,none,k312
k8,none,1.0,none,k380
k153,none,2.0,none,k901
k175,none,1.0,none,k91
k688,none,2.0,none,k58
k723,yes,1.0,bank,k917
k967,none,1.0,none,k298
k736,none,2.0,none,k359
k918,none,1.0,none,k739
k360,yes,2.0,none,k178
k76,yes,1.0,bank,k965
k132,none,1.0,stores,k240
k43,yes,2.0,none,k679
k248,none,1.0,none,k960
k195,yes,1.0,bank,k559
k828,none,2.0,none,k219
k41,yes,1.0,bank,k361
k808,none,1.0,stores,k81
k112,yes,1.0,none,k265
k323,none,1.0,none,k759
k134,none,1.0,bank,k202
k617,yes,1.0,none,k291
k767,yes,1.0,none,k50
k972,none,2.0,none,k710
k344,none,2.0,stores,k980
k231,none,2.0,none,k536
k789,none,1.0,none,k530
k535,yes,1.0,none,k948
k160,none,2.0,none,k506
k588,none,1.0,none,k681
k131,none,1.0,bank,k185
k221,yes,2.0,none,k841
k886,none,1.0,none,k246
k89,yes,1.0,none,k840
k106,yes,2.0,bank,k27
k156,none,1.0,stores,k830
k191,yes,1.0,none,k432
k486,none,2.0,stores,k272
k445,none,1.0,none,k475
k634,yes,2.0,none,k254
k805,yes,1.0,bank,k451
k496,yes,2.0,none,k826
k871,yes,1.0,none,k854
k318,yes,1.0,none,k142
k178,yes,1.0,none,k268
k115,yes,4.0,none,k374
k646,none,1.0,bank,k454
k51,none,1.0,none,k321
k718,yes,1.0,stores,k414
k219,none,1.0,none,k416
k408,none,1.0,bank,k554
k449,yes,2.0,none,k151
k867,yes,2.0,bank,k300
k378,none,2.0,bank,k417
k151,yes,1.0,none,k433
k357,none,2.0,none,k905
k547,none,1.0,none,k437
k109,none,1.0,none,k436
k889,none,1.0,none,k218
k472,none,1.0,none,k607
k320,yes,2.0,none,k428
k107,yes,1.0,stores,k517
k461,none,1.0,none,k634
k430,yes,1.0,none,k280
k544,none,1.0,none,k422
k446,yes,2.0,none,k47
k546,none,2.0,none,k538
k161,yes,1.0,none,k45
k666,yes,1.0,none,k993
k902,none,2.0,none,k457
k720,none,1.0,none,k975
k755,none,1.0,none,k48
k506,none,1.0,bank,k284
k42,none,2.0,none,k296
k882,yes,1.0,none,k726
k899,yes,1.0,none,k287
k386,none,1.0,none,k396
k526,none,1.0,none,k111
k292,none,1.0,none,k601
k187,yes,2.0,bank,k415
k854,none,1.0,none,k99
k933,none,1.0,none,k176
k124,none,1.0,none,k958
k660,yes,1.0,none,k966
k355,yes,1.0,none,k372
k701,yes,2.0,none,k426
k700,yes,2.0,bank,k140
k315,none,1.0,none,k533
k760,yes,1.0,none,k633
k203,yes,1.0,none,k741
k910,none,2.0,bank,k502
k377,yes,1.0,none,k588
k50,none,1.0,none,k67
k411,yes,2.0,stores,k750
k415,none,1.0,none,k212
k414,yes,1.0,none,k406
k749,yes,1.0,none,k684
k900,none,2.0,none,k370
k941,none,2.0,none,k66
k758,yes,1.0,none,k425
k776,yes,2.0,none,k125
k636,yes,2.0,none,k847
k75,none,1.0,none,k181
k851,yes,2.0,none,k889
k32,none,1.0,none,k57
k654,none,2.0,none,k497
k258,none,1.0,none,k403
k54,none,1.0,none,k556
k751,yes,2.0,none,k355
k907,none,2.0,none,k819
k337,none,1.0,none,k152
k623,yes,1.0,stores,k982
k534,none,2.0,bank,k9
k232,none,2.0,bank,k238
k29,yes,1.0,none,k311
k763,yes,2.0,none,k220
k973,none,2.0,none,k842
k613,none,1.0,none,k271
k190,yes,3.0,bank,k5
k602,yes,1.0,none,k290
k845,none,1.0,none,k33
k311,yes,1.0,none,k160
k367,none,1.0,none,k995
k495,none,1.0,none,k937
k834,yes,1.0,none,k275
k267,none,1.0,none,k483
k329,yes,2.0,none,k92
k154,yes,2.0,none,k471
k214,none,2.0,none,k862
k249,none,2.0,none,k148
k638,yes,1.0,bank,k473
k162,yes,1.0,none,k172
k742,none,1.0,none,k606
k837,none,1.0,none,k159
k407,yes,1.0,none,k74
k359,none,1.0,none,k443
k368,none,2.0,none,k816
k888,none,1.0,bank,k334
k714,yes,2.0,bank,k625
k530,none,2.0,none,k825
k497,yes,1.0,none,k341
k489,none,2.0,none,k30
k769,yes,2.0,none,k809
k176,yes,1.0,bank,k697
k291,none,1.0,none,k849
k976,yes,1.0,none,k286
k226,none,1.0,none,k351
k606,none,1.0,none,k281
k906,yes,1.0,none,k761
k842,yes,2.0,none,k292
k855,none,2.0,none,k512
k127,yes,1.0,none,k402
k31,yes,1.0,none,k349
k655,none,1.0,none,k270
k374,none,2.0,none,k347
k639,yes,1.0,bank,k461
k247,none,1.0,none,k637
k92,none,2.0,none,k331
k157,yes,2.0,none,k434
k840,none,2.0,none,k277
k138,none,2.0,none,k431
k710,yes,2.0,stores,k855
k482,none,2.0,none,k747
k71,yes,1.0,none,k103
k788,yes,1.0,bank,k790
k631,none,2.0,none,k913
k558,yes,1.0,bank,k616
k607,yes,3.0,none,k643
k930,none,1.0,none,k738
k171,yes,2.0,bank,k800
k379,yes,3.0,none,k482
k348,none,1.0,none,k203
k675,yes,1.0,none,k877
k632,none,1.0,none,k551
k778,none,1.0,none,k544
k235,yes,2.0,none,k102
k595,yes,2.0,none,k609
k491,none,4.0,bank,k404
k874,yes,1.0,bank,k622
k363,yes,1.0,none,k586
k971,yes,2.0,none,k161
k100,none,1.0,none,k640
k576,none,2.0,none,k827
k140,none,1.0,none,k86
k400,none,2.0,none,k153
k306,yes,3.0,none,k981
k4,yes,3.0,none,k191
k507,none,1.0,none,k162
k685,none,1.0,stores,k516
k301,none,1.0,none,k519
k364,none,2.0,none,k25
k948,yes,1.0,none,k64
k864,yes,2.0,stores,k477
k439,yes,1.0,none,k299
k964,yes,1.0,none,k904
k592,none,2.0,none,k867
k330,yes,1.0,bank,k763
k299,yes,1.0,none,k912
k681,none,1.0,none,k274
k702,yes,1.0,none,k957
k649,none,1.0,bank,k195
k483,yes,1.0,bank,k234
k347,none,2.0,bank,k692
k126,yes,2.0,none,k721
k466,yes,1.0,none,k722
k7,none,2.0,none,k362
k920,yes,2.0,bank,k703
k981,yes,1.0,none,k772
k807,none,1.0,none,k936
k174,none,1.0,bank,k356
k618,none,1.0,none,k364
k652,none,1.0,none,k317
k397,none,1.0,none,k20
k78,none,1.0,none,k864
k585,none,3.0,none,k23
k831,none,1.0,stores,k11
k403,yes,1.0,none,k32
k754,none,2.0,bank,k308
k974,none,2.0,none,k860
k796,none,1.0,none,k232
k861,none,1.0,bank,k222
k21,none,1.0,none,k527
k589,none,2.0,none,k367
k255,none,2.0,none,k810
k998,none,1.0,none,k43
k580,yes,1.0,none,k233
k385,none,3.0,none,k24
k690,none,1.0,bank,k708
k658,none,1.0,none,k69
k18,none,1.0,none,k37
k340,yes,2.0,none,k717
k957,none,1.0,none,k645
k391,none,1.0,bank,k560
k562,none,2.0,none,k302
k862,yes,1.0,none,k139
k426,none,1.0,none,k565
k694,none,2.0,none,k386
k268,none,1.0,none,k53
k281,yes,1.0,none,k935
k57,none,3.0,none,k539
k236,none,1.0,none,k806
k97,none,1.0,none,k123
k186,yes,3.0,none,k820
k989,none,3.0,bank,k3
k859,none,2.0,none,k818
k245,none,1.0,none,k324
k441,none,2.0,none,k14
k965,yes,1.0,stores,k387
k244,yes,1.0,none,k597
k410,none,2.0,none,k744
k927,none,1.0,none,k382
k745,yes,1.0,none,k269
k653,yes,1.0,none,k604
k804,none,2.0,none,k38
k111,yes,1.0,none,k352
k908,none,1.0,none,k28
k695,none,2.0,none,k450
k579,yes,1.0,none,k303
k569,none,1.0,none,k700
k279,yes,1.0,none,k974
k224,yes,2.0,none,k706
k444,none,1.0,none,k137
k959,none,1.0,bank,k486
k622,none,1.0,none,k442
k608,yes,1.0,none,k258
k341,yes,1.0,none,k147
k148,none,1.0,none,k745
k870,yes,1.0,none,k360
k672,yes,2.0,none,k766
k266,none,1.0,stores,k188
k460,yes,1.0,none,k977
k979,yes,1.0,none,k13
k463,yes,2.0,none,k942
k146,none,1.0,none,k535
k103,none,2.0,bank,k674
k963,yes,1.0,none,k253
k727,none,1.0,none,k42
k286,none,1.0,none,k552
k637,yes,1.0,none,k480
