Key_1_1,property_magnitude,installment_commitment,foreign_worker
k386,real estate,4.0,yes
k239,real estate,2.0,yes
k839,real estate,2.0,yes
k20,life insurance,2.0,yes
k170,no known property,3.0,yes
k356,no known property,2.0,yes
k691,life insurance,3.0,yes
k858,car,2.0,yes
k633,real estate,2.0,yes
k859,car,4.0,yes
k346,car,3.0,yes
k784,life insurance,3.0,yes
k19,car,1.0,yes
k105,car,4.0,yes
k849,car,2.0,yes
k50,car,4.0,yes
k818,life insurance,4.0,yes
k467,car,2.0,yes
k330,no known property,4.0,yes
k128,car,3.0,yes
k60,car,4.0,yes
k641,real estate,2.0,yes
k240,real estate,1.0,no
k443,life insurance,3.0,yes
k772,car,2.0,no
k765,real estate,1.0,yes
k47,car,4.0,yes
k565,real estate,3.0,yes
k31,real estate,3.0,yes
k461,no known property,3.0,yes
k112,real estate,3.0,yes
k834,car,2.0,yes
k74,car,2.0,yes
k504,no known property,4.0,yes
k581,life insurance,4.0,yes
k122,life insurance,4.0,yes
k3,no known property,1.0,yes
k771,real estate,4.0,yes
k597,car,2.0,yes
k53,real estate,4.0,yes
k777,car,4.0,yes
k692,car,3.0,yes
k22,real estate,2.0,yes
k236,car,1.0,yes
k648,no known property,4.0,yes
k7,car,4.0,yes
k799,car,4.0,yes
k968,life insurance,1.0,yes
k283,life insurance,1.0,yes
k933,real estate,4.0,yes
k920,life insurance,4.0,yes
k202,car,1.0,yes
k757,car,3.0,yes
k457,life insurance,2.0,yes
k911,no known property,4.0,yes
k683,real estate,1.0,yes
k160,no known property,2.0,yes
k161,car,2.0,yes
k884,car,3.0,yes
k896,no known property,4.0,yes
k28,real estate,2.0,yes
k577,real estate,4.0,yes
k671,no known property,4.0,yes
k220,car,2.0,yes
k136,life insurance,4.0,yes
k102,life insurance,4.0,yes
k856,car,2.0,yes
k68,real estate,4.0,yes
k78,no known property,4.0,yes
k359,car,4.0,yes
k191,life insurance,1.0,yes
k725,life insurance,4.0,yes
k231,no known property,3.0,yes
k423,real estate,2.0,yes
k649,no known property,4.0,yes
k256,no known property,4.0,yes
k223,car,4.0,yes
k871,life insurance,2.0,yes
k980,life insurance,2.0,yes
k246,life insurance,2.0,yes
k130,car,1.0,yes
k217,life insurance,4.0,yes
k701,life insurance,3.0,yes
k179,real estate,4.0,yes
k511,real estate,3.0,yes
k944,real estate,4.0,yes
k686,life insurance,4.0,yes
k872,no known property,1.0,yes
k497,car,4.0,yes
k567,real estate,4.0,yes
k631,real estate,4.0,yes
k129,real estate,4.0,yes
k820,life insurance,4.0,yes
k172,no known property,4.0,yes
k663,real estate,4.0,yes
k553,no known property,3.0,yes
k703,car,4.0,yes
k494,car,4.0,yes
k915,real estate,4.0,yes
