Key_1_1,personal_status,age,credit_history
k386,male single,67.0,critical/other existing credit
k239,female div/dep/mar,22.0,existing paid
k839,male single,49.0,critical/other existing credit
k20,male single,45.0,existing paid
k170,male single,53.0,delayed previously
k356,male single,35.0,existing paid
k691,male single,53.0,existing paid
k858,male single,35.0,existing paid
k633,male div/sep,61.0,existing paid
k859,male mar/wid,28.0,critical/other existing credit
k346,female div/dep/mar,25.0,existing paid
k784,female div/dep/mar,24.0,existing paid
k19,female div/dep/mar,22.0,existing paid
k105,male single,60.0,critical/other existing credit
k849,female div/dep/mar,28.0,existing paid
k50,female div/dep/mar,32.0,existing paid
k818,male single,53.0,critical/other existing credit
k467,male single,25.0,no credits/all paid
k330,female div/dep/mar,44.0,existing paid
k128,male single,31.0,existing paid
k60,male single,48.0,critical/other existing credit
k641,male single,44.0,existing paid
k240,male single,48.0,critical/other existing credit
k443,male single,44.0,critical/other existing credit
k772,male mar/wid,26.0,critical/other existing credit
k765,male single,36.0,existing paid
k47,male mar/wid,39.0,no credits/all paid
k565,female div/dep/mar,42.0,all paid
k31,male single,34.0,existing paid
k461,male single,63.0,delayed previously
k112,male mar/wid,36.0,existing paid
k834,male single,27.0,existing paid
k74,male single,30.0,existing paid
k504,male single,57.0,critical/other existing credit
k581,female div/dep/mar,33.0,existing paid
k122,male single,25.0,critical/other existing credit
k3,male single,31.0,critical/other existing credit
k771,male single,37.0,existing paid
k597,male single,37.0,existing paid
k53,male single,24.0,existing paid
k777,male single,30.0,existing paid
k692,male div/sep,26.0,existing paid
k22,male single,44.0,delayed previously
k236,male mar/wid,24.0,critical/other existing credit
k648,female div/dep/mar,58.0,critical/other existing credit
k7,female div/dep/mar,35.0,critical/other existing credit
k799,male single,39.0,existing paid
k968,female div/dep/mar,23.0,existing paid
k283,male single,39.0,critical/other existing credit
k933,female div/dep/mar,28.0,existing paid
k920,male single,29.0,delayed previously
k202,male single,30.0,delayed previously
k757,male single,25.0,existing paid
k457,male single,31.0,existing paid
k911,male single,57.0,delayed previously
k683,male single,26.0,all paid
k160,male single,52.0,existing paid
k161,female div/dep/mar,31.0,critical/other existing credit
k884,female div/dep/mar,23.0,existing paid
k896,female div/dep/mar,23.0,critical/other existing credit
k28,male mar/wid,27.0,existing paid
k577,male single,50.0,critical/other existing credit
k671,male single,61.0,no credits/all paid
k220,male single,25.0,no credits/all paid
k136,female div/dep/mar,26.0,existing paid
k102,male single,48.0,existing paid
k856,female div/dep/mar,29.0,existing paid
k68,male mar/wid,22.0,existing paid
k78,male single,37.0,existing paid
k359,female div/dep/mar,25.0,existing paid
k191,female div/dep/mar,30.0,existing paid
k725,male single,46.0,critical/other existing credit
k231,male single,51.0,critical/other existing credit
k423,female div/dep/mar,41.0,critical/other existing credit
k649,male single,40.0,existing paid
k256,male single,66.0,critical/other existing credit
k223,male single,34.0,existing paid
