Key_1_2,savings_status,purpose,credit_amount,duration,checking_status
k812,no known savings,radio/tv,1169.0,6.0,<0
k793,<100,radio/tv,5951.0,48.0,0<=X<200
k872,<100,education,2096.0,12.0,no checking
k230,<100,furniture/equipment,7882.0,42.0,<0
k879,<100,new car,4870.0,24.0,<0
k755,no known savings,education,9055.0,36.0,no checking
k969,500<=X<1000,furniture/equipment,2835.0,24.0,no checking
k229,<100,used car,6948.0,36.0,0<=X<200
k970,>=1000,radio/tv,3059.0,12.0,no checking
k93,<100,new car,5234.0,30.0,0<=X<200
k16,<100,new car,1295.0,12.0,0<=X<200
k177,<100,business,4308.0,48.0,<0
k377,<100,radio/tv,1567.0,12.0,0<=X<200
k660,<100,new car,1199.0,24.0,<0
k714,<100,new car,1403.0,15.0,<0
k821,100<=X<500,radio/tv,1282.0,24.0,<0
k499,no known savings,radio/tv,2424.0,24.0,no checking
k788,no known savings,business,8072.0,30.0,<0
k734,<100,used car,12579.0,24.0,0<=X<200
k8,500<=X<1000,radio/tv,3430.0,24.0,no checking
k312,<100,new car,2134.0,9.0,no checking
k380,500<=X<1000,radio/tv,2647.0,6.0,<0
k901,<100,new car,2241.0,10.0,<0
k91,100<=X<500,used car,1804.0,12.0,0<=X<200
k58,no known savings,furniture/equipment,2069.0,10.0,no checking
k917,<100,furniture/equipment,1374.0,6.0,<0
k298,<100,radio/tv,426.0,6.0,no checking
k359,>=1000,radio/tv,409.0,12.0,>=200
k739,<100,radio/tv,2415.0,7.0,0<=X<200
k178,<100,business,6836.0,60.0,<0
k965,>=1000,business,1913.0,18.0,0<=X<200
k240,<100,furniture/equipment,4020.0,24.0,<0
k679,100<=X<500,new car,5866.0,18.0,0<=X<200
k960,no known savings,business,1264.0,12.0,no checking
k559,<100,furniture/equipment,1474.0,12.0,>=200
k219,<100,radio/tv,4746.0,45.0,0<=X<200
k361,<100,education,6110.0,48.0,no checking
k81,<100,radio/tv,2100.0,18.0,>=200
k265,<100,domestic appliance,1225.0,10.0,>=200
k759,<100,radio/tv,458.0,9.0,0<=X<200
k202,500<=X<1000,radio/tv,2333.0,30.0,no checking
k291,500<=X<1000,radio/tv,1158.0,12.0,0<=X<200
k50,<100,repairs,6204.0,18.0,0<=X<200
k710,100<=X<500,used car,6187.0,30.0,<0
k980,<100,used car,6143.0,48.0,<0
k536,<100,new car,1393.0,11.0,no checking
k530,500<=X<1000,radio/tv,2299.0,36.0,no checking
k948,500<=X<1000,used car,1352.0,6.0,<0
k506,<100,new car,7228.0,11.0,no checking
k681,100<=X<500,radio/tv,2073.0,12.0,no checking
k185,no known savings,furniture/equipment,2333.0,24.0,0<=X<200
k841,<100,used car,5965.0,27.0,0<=X<200
k246,<100,radio/tv,1262.0,12.0,no checking
k840,no known savings,used car,3378.0,18.0,no checking
k27,<100,new car,2225.0,36.0,0<=X<200
k830,no known savings,new car,783.0,6.0,no checking
k432,no known savings,radio/tv,6468.0,12.0,0<=X<200
k272,<100,radio/tv,9566.0,36.0,no checking
k475,<100,new car,1961.0,18.0,>=200
k254,<100,furniture/equipment,6229.0,36.0,<0
k451,<100,business,1391.0,9.0,0<=X<200
k826,no known savings,radio/tv,1537.0,15.0,0<=X<200
k854,<100,business,1953.0,36.0,0<=X<200
k142,<100,business,14421.0,48.0,0<=X<200
k268,<100,radio/tv,3181.0,24.0,no checking
k374,no known savings,repairs,5190.0,27.0,no checking
k454,<100,radio/tv,2171.0,12.0,no checking
k321,>=1000,new car,1007.0,12.0,0<=X<200
k414,<100,education,1819.0,36.0,no checking
k416,no known savings,radio/tv,2394.0,36.0,no checking
k554,<100,used car,8133.0,36.0,no checking
k151,no known savings,radio/tv,730.0,7.0,no checking
k300,<100,other,1164.0,8.0,<0
k417,<100,business,5954.0,42.0,0<=X<200
k433,no known savings,education,1977.0,36.0,<0
k905,<100,used car,1526.0,12.0,<0
k437,<100,radio/tv,3965.0,42.0,<0
k436,<100,radio/tv,4771.0,11.0,0<=X<200
k218,no known savings,used car,9436.0,54.0,no checking
k607,<100,furniture/equipment,3832.0,30.0,0<=X<200
k428,no known savings,radio/tv,5943.0,24.0,no checking
k517,500<=X<1000,radio/tv,1213.0,15.0,no checking
k634,100<=X<500,business,1568.0,18.0,no checking
k280,<100,other,1755.0,24.0,<0
k422,<100,radio/tv,2315.0,10.0,<0
k47,<100,business,1412.0,12.0,no checking
k538,<100,furniture/equipment,1295.0,18.0,0<=X<200
k45,100<=X<500,education,12612.0,36.0,0<=X<200
k993,100<=X<500,new car,2249.0,18.0,<0
k457,<100,repairs,1108.0,12.0,<0
k975,<100,radio/tv,618.0,12.0,no checking
k48,<100,used car,1409.0,12.0,<0
k284,no known savings,radio/tv,797.0,12.0,no checking
k296,no known savings,furniture/equipment,3617.0,24.0,>=200
k726,>=1000,new car,1318.0,12.0,0<=X<200
k287,<100,business,15945.0,54.0,0<=X<200
k396,no known savings,education,2012.0,12.0,no checking
k111,100<=X<500,business,2622.0,18.0,0<=X<200
k601,<100,radio/tv,2337.0,36.0,0<=X<200
k415,no known savings,used car,7057.0,20.0,0<=X<200
k99,100<=X<500,new car,1469.0,24.0,no checking
k176,<100,radio/tv,2323.0,36.0,0<=X<200
k958,<100,radio/tv,932.0,6.0,no checking
k966,<100,furniture/equipment,1919.0,9.0,0<=X<200
k372,no known savings,used car,2445.0,12.0,no checking
k426,<100,other,11938.0,24.0,0<=X<200
k140,<100,new car,6458.0,18.0,no checking
k533,<100,new car,6078.0,12.0,0<=X<200
k633,no known savings,furniture/equipment,7721.0,24.0,<0
k741,500<=X<1000,business,1410.0,14.0,0<=X<200
k502,100<=X<500,business,1449.0,6.0,0<=X<200
k588,<100,education,392.0,15.0,>=200
