Key_0_0,totalFixDur,prevFixDur,nextFixDur,Key_1_1
k3586,119.0,99.0,238.0,k7351
k7162,239.0,119.0,100.0,k1445
k5920,536.0,139.0,179.0,k6384
k7221,198.0,199.0,99.0,k7599
k4572,139.0,80.0,139.0,k2501
k5761,259.0,179.0,100.0,k7440
k6241,100.0,199.0,99.0,k2713
k1615,298.0,159.0,139.0,k2275
k5644,239.0,359.0,199.0,k865
k2980,99.0,239.0,99.0,k5829
k3252,219.0,0.0,159.0,k1142
k6596,558.0,179.0,239.0,k6850
k4036,379.0,120.0,359.0,k7086
k1704,279.0,219.0,219.0,k6856
k1523,219.0,99.0,119.0,k5797
k6902,357.0,139.0,179.0,k2031
k220,100.0,80.0,179.0,k2788
k3999,99.0,99.0,179.0,k154
k5085,238.0,219.0,199.0,k1501
k7181,80.0,80.0,179.0,k1538
k1784,99.0,179.0,219.0,k5549
k3032,179.0,179.0,139.0,k634
k858,358.0,80.0,139.0,k1687
k3286,238.0,139.0,80.0,k5510
k408,238.0,139.0,199.0,k5998
k6095,139.0,119.0,119.0,k5006
k5929,80.0,139.0,99.0,k3462
k4349,139.0,80.0,159.0,k2994
k3020,119.0,179.0,139.0,k5174
k7425,100.0,259.0,319.0,k2709
k4770,80.0,179.0,139.0,k3637
k4841,99.0,139.0,219.0,k5916
k4635,80.0,219.0,159.0,k5556
k6036,279.0,259.0,20.0,k502
k3577,397.0,139.0,219.0,k2406
k5071,199.0,159.0,298.0,k6645
k5829,159.0,119.0,100.0,k2830
k6664,99.0,656.0,80.0,k6891
k4198,338.0,99.0,99.0,k6590
k6171,238.0,119.0,219.0,k2693
k936,139.0,139.0,179.0,k1235
k6167,319.0,199.0,279.0,k6716
k174,198.0,80.0,119.0,k7222
k845,159.0,139.0,179.0,k6882
k1101,159.0,199.0,139.0,k7469
k3908,159.0,179.0,239.0,k1724
k7160,318.0,119.0,219.0,k2781
k3614,278.0,0.0,139.0,k800
k3649,20.0,558.0,179.0,k978
k279,80.0,99.0,99.0,k2281
k280,159.0,119.0,278.0,k3380
k379,179.0,100.0,219.0,k6488
k423,159.0,139.0,179.0,k5876
k1738,179.0,298.0,99.0,k6703
k312,99.0,80.0,119.0,k5585
k6743,99.0,159.0,139.0,k107
k3192,179.0,278.0,159.0,k58
k4237,379.0,20.0,180.0,k972
k5965,279.0,777.0,638.0,k1238
k1039,139.0,100.0,159.0,k1614
k7371,159.0,159.0,219.0,k2937
k6568,20.0,299.0,139.0,k1050
k7307,139.0,99.0,298.0,k3848
k3247,119.0,80.0,139.0,k3399
k4599,159.0,139.0,179.0,k1008
k3624,139.0,80.0,119.0,k7205
k6416,80.0,99.0,179.0,k6232
k6372,399.0,20.0,140.0,k6788
k1188,179.0,139.0,279.0,k1095
k6854,99.0,258.0,298.0,k2427
k5983,239.0,199.0,299.0,k817
k412,199.0,139.0,99.0,k5700
k4467,179.0,80.0,139.0,k4171
k4915,199.0,139.0,258.0,k853
k5817,258.0,159.0,139.0,k369
k3201,80.0,119.0,80.0,k4324
k1896,219.0,80.0,139.0,k3306
k6066,139.0,0.0,238.0,k5531
k3873,219.0,219.0,99.0,k7294
k1518,278.0,99.0,139.0,k5353
k7501,378.0,339.0,179.0,k3226
k2828,159.0,139.0,239.0,k1449
k72,99.0,139.0,119.0,k961
k998,259.0,179.0,219.0,k6751
k7411,199.0,179.0,139.0,k3346
k1278,139.0,119.0,99.0,k482
k6188,219.0,537.0,99.0,k5682
k3053,80.0,219.0,99.0,k4533
k2034,99.0,139.0,179.0,k2652
k1162,159.0,259.0,159.0,k6400
k2309,338.0,219.0,258.0,k1488
k5141,298.0,219.0,159.0,k2919
k4048,198.0,99.0,99.0,k4496
k5219,139.0,80.0,159.0,k6301
k6112,159.0,0.0,179.0,k4104
k4050,99.0,238.0,99.0,k6247
k3622,339.0,219.0,199.0,k719
k7382,359.0,1036.0,359.0,k211
k1406,298.0,199.0,199.0,k105
k871,159.0,139.0,179.0,k5352
k904,159.0,199.0,99.0,k4157
k6098,80.0,238.0,99.0,k4193
k6552,139.0,139.0,199.0,k5712
k1129,159.0,219.0,99.0,k7528
k4491,139.0,99.0,139.0,k2373
k5162,477.0,119.0,179.0,k4132
k3650,99.0,179.0,139.0,k7588
k740,139.0,258.0,99.0,k6594
k7089,337.0,119.0,80.0,k4066
k3135,199.0,100.0,139.0,k4400
k159,80.0,99.0,159.0,k737
k449,219.0,99.0,99.0,k809
k1013,319.0,199.0,199.0,k4771
k6481,139.0,159.0,139.0,k4688
k37,120.0,179.0,20.0,k1700
k1280,119.0,99.0,219.0,k4694
k6817,139.0,199.0,239.0,k6990
k6504,139.0,239.0,199.0,k803
k7249,119.0,119.0,238.0,k822
k3783,159.0,179.0,99.0,k6077
k5051,219.0,80.0,238.0,k4236
k6734,179.0,139.0,159.0,k7369
k185,139.0,99.0,139.0,k5902
k5408,179.0,139.0,179.0,k6970
k2981,80.0,199.0,139.0,k7151
k4899,219.0,278.0,99.0,k1956
k6254,219.0,179.0,239.0,k335
k3956,139.0,119.0,139.0,k7546
k1273,159.0,219.0,119.0,k1288
k5847,278.0,179.0,219.0,k21
