Key_0_0,firstPassFixDur,lineNo,assgNo,lineNo.1
k3586,119.0,9684.0,298.0,9684.0
k7162,239.0,2065.0,66.0,2065.0
k5920,357.0,1969.0,61.0,1969.0
k7221,219.0,10326.0,315.0,10326.0
k4572,239.0,6827.0,204.0,6827.0
k5761,259.0,2793.0,85.0,2793.0
k6241,100.0,9800.0,302.0,9800.0
k1615,298.0,9462.0,293.0,9462.0
k5644,239.0,2828.0,86.0,2828.0
k2980,99.0,8235.0,256.0,8235.0
k3252,915.0,5613.0,167.0,5613.0
k6596,558.0,3127.0,95.0,3127.0
k4036,379.0,2537.0,78.0,2537.0
k1704,279.0,7817.0,240.0,7817.0
k1523,219.0,10437.0,318.0,10437.0
k6902,357.0,1928.0,61.0,1928.0
k220,119.0,10027.0,306.0,10027.0
k3999,99.0,10664.0,328.0,10664.0
k5085,438.0,4220.0,134.0,4220.0
k7181,80.0,6772.0,203.0,6772.0
k1784,99.0,10806.0,333.0,10806.0
k3032,179.0,2108.0,66.0,2108.0
k858,358.0,1926.0,61.0,1926.0
k3286,238.0,10223.0,311.0,10223.0
k408,238.0,6218.0,183.0,6218.0
k6095,139.0,10222.0,311.0,10222.0
k5929,239.0,2097.0,66.0,2097.0
k4349,139.0,9121.0,286.0,9121.0
k3020,119.0,8560.0,271.0,8560.0
k7425,100.0,2794.0,85.0,2794.0
k4770,80.0,9965.0,306.0,9965.0
k4841,99.0,3947.0,127.0,3947.0
k4635,80.0,1031.0,31.0,1031.0
k6036,279.0,2779.0,85.0,2779.0
k3577,397.0,6049.0,179.0,6049.0
k5071,199.0,7809.0,240.0,7809.0
k5829,239.0,2087.0,66.0,2087.0
k6664,99.0,7443.0,227.0,7443.0
k4198,338.0,6704.0,200.0,6704.0
k6171,238.0,4448.0,137.0,4448.0
k936,139.0,4925.0,150.0,4925.0
k6167,319.0,2640.0,79.0,2640.0
k174,198.0,6617.0,197.0,6617.0
k845,159.0,9075.0,285.0,9075.0
k1101,159.0,6448.0,191.0,6448.0
k3908,219.0,149.0,5.0,149.0
k7160,318.0,5681.0,168.0,5681.0
k3614,199.0,10004.0,306.0,10004.0
k3649,239.0,3130.0,95.0,3130.0
k279,80.0,9358.0,290.0,9358.0
k280,159.0,5293.0,159.0,5293.0
k379,319.0,2799.0,85.0,2799.0
k423,199.0,3905.0,125.0,3905.0
k1738,179.0,9451.0,293.0,9451.0
k312,298.0,9501.0,293.0,9501.0
k6743,99.0,9406.0,291.0,9406.0
k3192,179.0,10274.0,312.0,10274.0
k4237,379.0,2268.0,73.0,2268.0
k5965,279.0,2280.0,73.0,2280.0
k1039,139.0,9805.0,302.0,9805.0
k7371,139.0,6230.0,183.0,6230.0
k6568,20.0,2254.0,72.0,2254.0
k7307,139.0,6549.0,194.0,6549.0
k3247,119.0,3261.0,99.0,3261.0
k4599,159.0,1685.0,52.0,1685.0
