Key_0_0,pupilDiamMax,P1stFixation,leavingPos,Key_1_3
k3586,0.1541,0,51.1786,418
k7162,0.0119,1,47.0425,6182
k5920,0.0874,0,118.6529,817
k7221,0.0173,1,78.5875,204
k4572,0.3229,1,102.1225,7193
k5761,0.0947,1,137.0082,689
k6241,0.1085,1,55.9151,1525
k1615,0.1261,1,124.0423,1198
k5644,0.8257,1,60.8153,1411
k2980,0.1874,1,121.1745,1415
k3252,0.0715,1,55.0318,5070
k6596,-0.2634,1,40.9695,6881
k4036,1.1015,0,1266.7849,1382
k1704,0.0361,0,109.276,3704
k1523,0.2907,1,42.9942,4905
k6902,0.0699,0,103.0194,3378
k220,0.193,1,30.7612,7464
k3999,0.1097,1,51.7349,3423
k5085,0.057,0,138.6001,3175
k7181,0.0179,0,91.0673,4313
k1784,0.0395,1,44.847,5920
k3032,0.1649,0,20.5973,2724
k858,0.1029,0,167.4515,7317
k3286,0.1117,1,67.5296,4987
k408,-0.0039,1,34.6157,7489
k6095,0.1447,1,82.0,6666
k5929,0.1494,0,63.673,1876
k4349,0.0532,1,95.0842,3740
k3020,0.1832,1,94.3835,6436
k7425,0.1722,1,62.8828,464
k4770,0.2,1,47.5657,6018
k4841,0.1311,0,35.5106,1736
k4635,0.1254,0,63.2653,6252
k6036,-0.2753,0,73.6817,349
k3577,0.0796,1,136.4441,1311
k5071,0.0246,0,114.5044,4228
k5829,0.1339,1,63.8847,1404
k6664,-0.0163,0,98.1147,872
k4198,-0.078,0,22.4611,6057
k6171,-0.0873,1,92.6984,2977
k936,0.0781,1,57.1686,2898
k6167,-0.2575,0,114.2322,2798
k174,0.1161,1,52.5024,6508
k845,0.1472,1,78.1745,630
k1101,0.2484,1,65.4599,359
k3908,0.032,1,2.5495,1217
k7160,0.0835,1,58.9788,3571
k3614,0.1965,1,122.4827,837
k3649,1.7801,1,96.0534,6900
k279,0.0882,1,150.6063,524
k280,0.0798,1,38.7105,5328
k379,0.5542,1,24.5204,775
k423,0.1563,0,76.787,5545
k1738,0.1456,1,35.171,7510
k312,0.0471,0,41.0122,4547
k6743,0.2232,0,122.173,2955
k3192,0.3023,1,157.4817,5204
k4237,1.1122,1,76.1528,4502
k5965,0.6492,1,60.2516,6434
k1039,0.122,1,32.249,3101
k7371,0.1256,1,81.7634,238
k6568,-0.1566,0,62.1772,2407
k7307,0.2781,1,74.3942,4403
k3247,0.213,1,83.0136,1874
k4599,0.0351,0,83.182,5839
k3624,0.2326,0,76.5914,7507
k6416,0.0892,0,90.2718,3943
k6372,1.5777,1,48.7571,5274
k1188,0.421,1,301.7317,1322
k6854,0.1383,1,15.7877,989
k5983,-0.1024,1,42.6058,2372
k412,0.1172,1,69.464,318
k4467,0.4497,1,30.104,673
k4915,0.1079,1,41.8629,434
k5817,0.059,0,41.0183,2317
k3201,0.1686,0,42.2966,755
k1896,0.3173,1,100.6541,5625
k6066,-0.0881,1,86.419,6809
k3873,0.3207,1,43.8321,257
k1518,0.1708,1,92.3052,7106
k7501,1.0005,1,216.037,3768
k2828,0.3554,0,47.0664,801
k72,0.162,1,50.6014,7514
k998,0.0539,1,21.9659,6661
k7411,-0.0272,1,27.6812,3330
k1278,0.1525,1,77.1314,5974
k6188,0.1351,1,69.9321,3558
k3053,0.2671,1,66.3363,4456
k2034,0.1618,1,68.1561,5494
k1162,1.3035,1,48.2545,3466
k2309,0.2458,1,50.5099,7195
k5141,0.0143,1,48.0885,2794
k4048,0.2636,1,120.6172,4365
k5219,0.0073,1,75.4752,4065
k6112,0.7921,1,28.0401,6104
k4050,0.1812,1,50.0849,3554
k3622,0.1386,1,87.6028,5432
k7382,0.4335,1,34.0331,805
k1406,0.1711,1,66.1287,1758
k871,0.1331,1,37.1652,4310
k904,0.143,1,144.0139,2769
k6098,-0.0088,1,70.0803,1957
k6552,0.1386,1,36.5274,5884
k1129,0.0915,1,186.6715,4901
k4491,0.014,1,64.5155,4333
k5162,0.2802,1,187.6499,6781
