Key_1_1,pupilDiamLag,regressLen,lastSaccLen
k7351,0.4446,0.0,288.0156
k1445,0.3264,0.0,117.2359
k6384,0.0859,258.0,805.0531
k7599,0.1453,0.0,306.5587
k2501,0.4074,0.0,161.4845
k7440,0.5542,0.0,204.5
k2713,0.122,0.0,245.0862
k2275,0.2636,0.0,208.5402
k865,0.5067,0.0,100.3606
k5829,0.3344,0.0,169.3259
k1142,0.114,0.0,114.2147
k6850,2.0226,0.0,115.434
k7086,0.948,22514.0,1098.318
k6856,0.1181,715.0,70.2638
k5797,0.2907,0.0,0.0
k2031,0.1229,258.0,921.2918
k2788,0.5105,0.0,407.939
k154,0.1377,0.0,536.0784
k1501,0.029,0.0,115.0848
k1538,0.1124,378.0,557.0613
k5549,0.082,0.0,394.0381
k634,0.3234,0.0,98.6927
k1687,0.0864,0.0,79.5692
k5510,0.1637,0.0,180.0062
k5998,0.1206,378.0,116.0097
k5006,0.1027,0.0,126.935
k3462,0.1649,299.0,50.324
k2994,0.2052,0.0,398.0028
k5174,0.3302,0.0,306.9405
k2709,0.5822,0.0,560.7069
k3637,0.3735,0.0,182.4966
k5916,0.2141,598.0,564.6072
k5556,0.1189,1372.0,94.7629
k502,-0.0108,0.0,70.0874
k2406,0.0261,0.0,147.6432
k6645,-0.0044,0.0,175.309
k2830,0.1859,0.0,138.1304
k6891,0.0867,3793.0,193.0317
k6590,0.2751,0.0,252.3846
k2693,0.1432,0.0,163.5619
k1235,0.1196,0.0,80.7233
k6716,-0.5825,0.0,135.0741
k7222,0.1191,0.0,157.0796
k6882,0.2822,278.0,442.0775
k7469,0.3484,0.0,195.6074
k1724,0.0865,398.0,172.0356
k2781,0.243,0.0,140.322
k800,0.143,0.0,373.5482
k978,2.3481,0.0,53.3877
k2281,0.2407,0.0,120.9153
k3380,0.1393,854.0,73.3757
k6488,1.2187,0.0,177.5
k5876,0.1753,338.0,209.1531
k6703,0.1271,0.0,510.6332
k5585,0.1086,8147.0,86.9253
k107,0.2812,0.0,68.8368
k58,0.1168,397.0,904.1507
k972,1.5602,897.0,94.4312
k1238,1.4382,2212.0,146.1617
k1614,0.258,0.0,160.1811
k2937,0.3466,0.0,95.0
k1050,0.4364,0.0,61.0082
k3848,0.2165,0.0,224.5802
k3399,0.2765,0.0,84.537
k1008,0.0766,6001.0,848.0908
k7205,0.2216,0.0,284.3554
k6232,0.1487,0.0,213.8019
k6788,1.7037,0.0,167.0397
k1095,0.948,1434.0,153.5008
k2427,0.1383,0.0,142.0079
k817,0.0116,0.0,156.1802
k5700,0.1167,6363.0,190.9097
k4171,0.4452,0.0,688.3931
k853,0.4533,0.0,318.2267
k369,0.126,0.0,302.0348
k4324,0.1795,0.0,330.276
k3306,0.3143,0.0,105.7946
k5531,0.0959,0.0,145.0078
k7294,0.3127,0.0,37.1652
k5353,0.4063,0.0,99.5691
k3226,0.9915,1255.0,70.0071
k1449,0.3329,0.0,91.0014
k961,0.419,0.0,159.8132
k6751,0.0859,0.0,222.2082
k3346,0.9383,0.0,719.9424
k482,0.2395,0.0,213.1695
k5682,0.1396,0.0,174.5287
k4533,0.3776,656.0,99.8424
k2652,0.1968,0.0,137.0912
k6400,1.011,0.0,193.5568
k1488,0.0073,0.0,89.7622
k2919,0.0823,2007.0,373.9803
k4496,0.3266,0.0,351.8114
k6301,0.0949,0.0,119.5073
k4104,1.1726,0.0,78.8495
k6247,0.8872,0.0,123.5364
k719,-0.3184,0.0,89.0505
k211,0.972,0.0,98.0816
k105,0.2546,0.0,123.3876
k5352,0.2486,0.0,205.0274
k4157,0.1875,0.0,527.5341
k4193,0.1352,1052.0,312.8011
k5712,0.2076,0.0,430.0814
k7528,0.1205,0.0,343.3402
k2373,0.3931,0.0,904.0781
k4132,0.2802,0.0,112.54
k7588,0.2232,0.0,95.2575
k6594,0.2322,0.0,89.7622
k4066,0.2485,0.0,319.1414
k4400,0.1458,378.0,79.6994
k737,0.2037,80.0,504.9802
k809,0.3768,0.0,173.5115
k4771,0.6525,11655.0,211.1711
k4688,0.4533,0.0,86.1423
k1700,0.0316,0.0,503.1073
k4694,0.2729,417.0,143.0428
k6990,0.253,0.0,487.3287
k803,0.4321,0.0,131.4201
k822,0.3083,0.0,149.0252
k6077,0.2497,0.0,229.8097
k4236,0.2141,0.0,122.602
k7369,0.3516,0.0,181.6549
k5902,0.1898,377.0,384.5208
k6970,0.1595,0.0,645.9106
k7151,0.1984,0.0,192.6266
k1956,0.1215,0.0,204.1378
k335,-0.1013,458.0,54.5206
k7546,0.2002,0.0,367.0766
k1288,0.2908,0.0,264.0928
k21,0.409,0.0,753.9513
k4899,-0.1019,0.0,311.5903
k1678,0.1462,0.0,1116.3301
k349,0.1315,0.0,229.5049
k4073,0.1335,219.0,88.7426
k1885,0.1306,4690.0,137.1313
k2185,0.2743,1272.0,62.476
k1124,0.4338,0.0,170.0007
k6688,0.1296,0.0,132.417
k3212,0.7263,0.0,245.2249
k6329,0.0997,0.0,541.4596
k507,0.2302,0.0,490.7178
k4579,-0.0316,0.0,584.2418
k6699,0.1711,0.0,166.7041
k6221,0.0681,0.0,164.931
k748,0.0418,0.0,194.2897
k1185,0.1649,299.0,184.954
k6339,0.188,0.0,742.0197
k267,0.3931,1389.0,174.4484
k917,0.2416,0.0,123.0447
k5687,0.8115,0.0,130.0779
k4570,0.419,0.0,135.5083
k3404,0.0437,358.0,154.7361
k3596,0.2388,1351.0,27.7218
k1568,0.1347,0.0,226.7918
k7316,0.1433,0.0,240.0047
k2518,0.0128,0.0,424.5027
k811,0.1978,0.0,275.3271
k1804,2.7591,0.0,111.5437
k3958,0.1644,0.0,294.9903
k6871,0.2298,0.0,599.092
k1402,0.1989,0.0,256.5448
k7276,0.162,2503.0,238.6891
k5141,0.1787,139.0,79.0
k3333,0.2206,0.0,108.2243
k6660,0.1802,537.0,99.0808
k1131,0.7781,0.0,199.2699
k985,0.1033,219.0,145.0836
k5144,0.7176,1593.0,231.9526
k5278,0.3085,398.0,64.5949
k3620,0.1366,99.0,65.4083
k1180,0.1448,0.0,236.6268
k5509,0.295,2369.0,77.9503
k595,0.1212,0.0,69.4586
k6770,0.6206,0.0,133.7881
k3436,0.1102,0.0,127.8329
k1265,0.3344,0.0,150.3671
k197,0.6206,597.0,164.4536
k4576,0.1082,0.0,181.6989
k3917,0.3438,0.0,100.7
k2999,0.409,0.0,124.0363
k4559,0.0387,0.0,160.5195
k1178,0.3006,0.0,280.9026
k611,0.0766,0.0,98.6116
k6268,0.1955,0.0,146.1232
k7292,0.2226,476.0,151.0761
k2752,0.248,159.0,94.3835
k3397,0.1469,0.0,112.5711
k6087,0.4978,1352.0,441.5343
k662,0.419,259.0,77.0276
k5082,0.1432,0.0,129.5154
k4299,0.1558,0.0,58.2087
k4673,0.2032,0.0,365.7448
k3884,0.1643,0.0,64.9346
k1893,0.3783,2845.0,95.5314
k4134,0.2949,0.0,784.7716
k6178,0.1525,0.0,138.6588
k1905,0.1507,0.0,352.066
k1624,0.3464,379.0,153.5489
k7522,0.147,0.0,356.6287
k5374,0.1433,0.0,64.0
k527,-0.0422,437.0,156.5008
k4245,0.356,0.0,344.5033
