Key_1_1,landingPos,firstSaccLen,P2stFixation
k7351,56.6326,300.1666,1
k1445,47.3207,306.1066,1
k6384,112.361,590.5294,1
k7599,79.8389,80.9475,0
k2501,96.7471,110.7576,1
k7440,144.9422,173.4416,0
k2713,58.1421,70.8025,0
k2275,147.5212,467.285,0
k865,58.6195,103.64,0
k5829,121.6737,411.2922,0
k1142,52.9953,133.7171,1
k6850,16.8671,309.7773,0
k7086,1300.849,1600.9859,0
k6856,113.8036,333.7911,0
k5797,27.2259,99.2182,0
k2031,26.7442,186.1511,1
k2788,13.4629,415.0976,1
k154,50.5594,110.911,0
k1501,156.9984,476.607,1
k1538,93.5655,173.954,0
k5549,38.7072,150.4028,0
k634,14.7054,121.1084,0
k1687,66.6652,108.5564,1
k5510,87.8208,126.935,0
k5998,80.6226,333.524,0
k5006,76.3692,204.7102,0
k3462,62.8431,196.5204,0
k2994,101.6132,264.5468,0
k5174,80.5062,327.5336,0
k2709,55.5203,204.5,0
k3637,60.1041,159.6598,1
k5916,31.197,285.3003,1
k5556,66.4172,142.6482,1
k502,60.0833,182.3904,1
k2406,56.9956,358.2304,0
k6645,114.0395,437.7925,0
k2830,67.487,874.0631,1
k6891,97.3088,522.0931,1
k6590,14.2215,300.5004,0
k2693,79.6006,104.0048,0
k1235,61.7839,179.5341,0
k6716,73.6495,556.234,0
k7222,80.5047,728.6323,0
k6882,63.9414,120.7487,0
k7469,58.6686,182.0687,0
k1724,7.6322,111.5672,1
k2781,54.6008,346.5274,0
k800,143.4721,632.7152,1
k978,98.0319,66.7308,0
k2281,159.4153,296.9621,0
k3380,45.1054,316.2673,1
k6488,32.596,70.0,1
k5876,83.2902,120.8356,1
k6703,33.2453,124.6445,1
k5585,39.9531,96.9239,1
k107,116.5268,90.4268,1
k58,143.3571,291.689,1
k972,54.8179,59.1354,1
k1238,60.4669,65.5534,0
k1614,48.0521,120.3755,0
k2937,87.0014,349.7417,0
k1050,63.1229,58.4337,1
k3848,60.7063,430.0012,1
k3399,76.3217,165.5272,0
k1008,91.9959,198.142,1
k7205,71.8366,256.9679,1
k6232,82.1736,337.9778,1
k6788,988.7498,1123.4996,0
k1095,304.2606,112.5722,1
k2427,27.0601,104.1561,1
k817,33.9485,1214.4073,1
k5700,50.3314,191.1675,1
k4171,50.2245,249.2007,0
k853,47.363,97.751,0
k369,60.208,119.5094,1
k4324,25.4018,224.2733,1
k3306,85.5716,173.1134,0
k5531,85.4196,0.0,0
k7294,65.123,799.2723,1
k5353,83.9345,159.7568,1
k3226,32.7185,88.0525,1
k1449,37.7922,144.5078,1
k961,40.5123,135.5083,1
k6751,57.0022,722.2557,1
k3346,15.6285,138.4783,0
k482,98.8585,112.6421,0
k5682,56.8001,105.5047,0
k4533,76.7366,151.8634,1
k2652,85.1587,322.1401,0
k6400,53.584,137.5009,1
k1488,28.4297,91.0179,0
k2919,42.0595,98.7142,1
k4496,124.501,120.9566,0
k6301,72.3343,107.7926,1
k4104,24.9098,0.0,1
k6247,48.3141,222.1041,0
k719,38.3438,256.6384,0
k211,51.7325,50.4232,1
k105,74.0304,209.1997,0
k5352,57.6888,425.2473,1
k4157,141.1427,196.5229,1
k4193,100.2622,60.8543,0
k5712,37.4233,118.0042,0
k7528,185.529,394.5257,1
k2373,53.8516,128.8187,0
k4132,143.3911,259.3318,1
k7588,35.8469,73.0924,0
k6594,14.1156,71.0862,1
k4066,83.8824,397.0532,0
k4400,44.3001,100.5,0
k737,78.4873,277.2819,1
k809,90.4461,225.1089,1
k4771,157.2872,320.3986,1
k4688,42.5265,39.8811,0
k1700,102.7485,94.5331,1
k4694,63.6946,217.0052,0
k6990,6.3246,107.5186,0
k803,57.8662,278.2175,1
k822,6.0828,149.1208,0
k6077,95.0842,385.5208,0
k4236,82.609,91.4289,1
k7369,50.0849,110.5271,0
k5902,37.0742,181.0532,0
k6970,89.405,252.2623,0
k7151,65.0,181.5991,0
k1956,97.7663,701.9238,1
k335,21.6391,100.3606,0
k7546,57.0548,215.0145,0
k1288,69.3542,177.5028,0
k21,109.8954,124.0363,0
k4899,85.8836,243.4184,0
k1678,88.1036,47.8539,0
k349,61.7191,142.5175,0
k4073,76.6551,577.1449,1
k1885,51.9351,494.3099,1
k2185,39.6989,670.9257,0
k1124,59.6657,67.9283,0
k6688,75.71,324.2873,0
k3212,75.898,254.9338,1
k6329,93.0013,120.2341,0
k507,115.0174,146.1677,0
k4579,44.2069,94.0479,1
k6699,51.0906,95.4005,0
k6221,38.7072,236.9346,0
k748,39.6138,101.2978,1
k1185,126.5948,217.7918,0
k6339,20.1556,133.3604,1
k267,35.3058,904.0781,1
k917,66.9104,111.809,0
k5687,80.878,87.4786,1
k4570,75.2861,322.8258,1
k3404,118.7824,132.0947,0
k3596,72.4707,108.0104,1
k1568,103.2727,147.2175,0
k7316,100.1212,699.2582,0
k2518,32.5346,131.0467,0
k811,63.287,0.0,0
k1804,38.6005,61.1249,0
k3958,56.0357,118.4789,0
k6871,33.5596,292.0616,0
k1402,55.7584,449.2029,0
k7276,25.4608,119.6046,0
k5141,71.2215,719.9905,0
k3333,53.0212,133.1362,0
k6660,67.0019,290.0845,0
k1131,76.5506,119.8593,0
k985,86.1423,727.8958,1
k5144,73.0565,170.8106,0
k5278,77.429,381.147,0
k3620,24.8294,211.6512,0
k1180,37.8319,527.8582,0
k5509,55.617,110.4095,0
k595,122.2385,330.8266,0
k6770,37.6464,59.5525,0
k3436,86.8058,192.5104,1
k1265,8.0623,124.291,0
k197,50.5964,133.7881,0
k4576,63.2456,285.0952,0
k3917,21.3776,0.0,1
k2999,39.2237,108.1665,0
k4559,107.4209,125.2557,1
k1178,54.8293,100.08,0
k611,46.9574,129.3136,1
k6268,84.4408,147.0077,0
k7292,101.7767,151.5074,0
k2752,58.5235,258.0237,0
k3397,22.2991,0.0,0
k6087,69.5288,200.3902,1
k662,85.0015,159.8132,1
k5082,41.2311,288.8706,0
k4299,74.6324,178.9839,1
k4673,53.912,90.118,0
k3884,44.0454,152.0206,1
k1893,73.1095,112.641,1
