Key_1_1,regressDur,prevFixPos,titleNo,wordNo,nextWordRegress
k7351,0.0,246.0732,4.0,3.0,0
k1445,159.0,321.014,8.0,1.0,1
k6384,0.0,479.3078,4.0,8.0,0
k7599,396.0,153.1698,4.0,2.0,1
k2501,378.0,189.6207,2.0,1.0,1
k7440,0.0,29.5466,7.0,3.0,0
k2713,0.0,129.8345,2.0,2.0,0
k2275,0.0,611.2356,7.0,1.0,1
k865,717.0,151.0033,4.0,3.0,1
k5829,198.0,531.305,10.0,2.0,0
k1142,716.0,138.7083,1.0,1.0,1
k6850,0.0,292.7695,5.0,2.0,0
k7086,817.0,403.1241,10.0,4.0,0
k6856,916.0,433.1836,4.0,1.0,1
k5797,0.0,82.7647,5.0,6.0,0
k2031,0.0,161.7931,4.0,8.0,0
k2788,800.0,404.0309,8.0,5.0,0
k154,0.0,68.4251,4.0,7.0,0
k1501,835.0,626.2691,3.0,1.0,1
k1538,0.0,85.0,4.0,6.0,0
k5549,0.0,107.2986,3.0,5.0,0
k634,179.0,103.0776,5.0,1.0,1
k1687,0.0,51.4296,4.0,5.0,1
k5510,0.0,49.7293,5.0,3.0,0
k5998,0.0,249.3933,5.0,4.0,0
k5006,0.0,132.0606,5.0,2.0,0
k3462,279.0,218.0734,1.0,1.0,1
k2994,0.0,166.0753,7.0,4.0,0
k5174,0.0,249.3391,4.0,4.0,0
k2709,0.0,148.0304,7.0,4.0,0
k3637,1272.0,95.0474,5.0,3.0,0
k5916,0.0,257.8565,4.0,6.0,0
k5556,159.0,80.05,3.0,3.0,1
k502,0.0,226.4906,3.0,1.0,0
k2406,0.0,403.2989,4.0,1.0,0
k6645,199.0,542.1965,6.0,2.0,0
k2830,159.0,937.0048,8.0,1.0,1
k6891,0.0,598.5065,8.0,4.0,0
k6590,676.0,313.4358,4.0,3.0,0
k2693,0.0,29.7321,3.0,3.0,1
k1235,139.0,226.1084,5.0,1.0,0
k6716,578.0,611.2454,4.0,1.0,1
k7222,99.0,811.6009,7.0,1.0,1
k6882,0.0,161.8919,8.0,3.0,0
k7469,0.0,122.0246,1.0,2.0,0
k1724,0.0,117.2902,4.0,2.0,0
k2781,0.0,396.3647,6.0,1.0,0
k800,2224.0,673.2674,1.0,1.0,0
k978,20.0,159.5306,6.0,1.0,1
k2281,0.0,438.8086,6.0,1.0,0
k3380,99.0,295.7364,7.0,6.0,0
k6488,0.0,105.2093,8.0,1.0,0
k5876,358.0,48.2701,5.0,6.0,0
k6703,1074.0,162.0031,2.0,4.0,1
k5585,495.0,139.5421,3.0,3.0,1
k107,139.0,191.6507,8.0,1.0,1
k58,0.0,147.8716,10.0,5.0,0
k972,1056.0,104.2017,2.0,1.0,1
k1238,0.0,39.8121,4.0,2.0,0
k1614,0.0,75.0067,4.0,3.0,0
k2937,159.0,433.2955,7.0,1.0,0
k1050,0.0,40.4475,3.0,8.0,0
k3848,278.0,374.0856,10.0,5.0,0
k3399,0.0,85.8429,8.0,2.0,0
k1008,0.0,104.8094,10.0,2.0,0
k7205,0.0,191.5124,4.0,3.0,0
k6232,0.0,422.3565,5.0,2.0,0
k6788,399.0,149.4824,1.0,2.0,1
k1095,11140.0,449.3607,6.0,1.0,1
k2427,0.0,78.1025,3.0,2.0,0
k817,319.0,148.0304,5.0,3.0,1
k5700,4116.0,144.8862,4.0,3.0,1
k4171,179.0,274.3319,9.0,6.0,1
k853,0.0,53.9351,2.0,4.0,0
k369,258.0,183.1338,5.0,4.0,1
k4324,80.0,249.1907,3.0,1.0,0
k3306,0.0,244.5976,2.0,1.0,0
k5531,0.0,0.0,1.0,1.0,0
k7294,0.0,851.1498,8.0,1.0,0
k5353,835.0,235.0191,5.0,1.0,0
k3226,0.0,111.7229,10.0,1.0,0
k1449,0.0,116.4302,1.0,4.0,0
k961,99.0,97.1854,8.0,6.0,1
k6751,1074.0,782.3094,2.0,2.0,0
k3346,199.0,148.1216,10.0,3.0,1
k482,0.0,147.8716,6.0,1.0,0
k5682,0.0,117.3797,6.0,1.0,0
k4533,676.0,80.3617,8.0,7.0,0
k2652,0.0,232.2154,2.0,6.0,0
k6400,159.0,72.3395,10.0,2.0,1
k1488,0.0,119.5031,5.0,1.0,0
k2919,298.0,139.4346,1.0,6.0,1
k4496,198.0,255.002,8.0,3.0,1
k6301,0.0,181.5957,3.0,1.0,0
k4104,1074.0,0.0,2.0,1.0,1
k6247,0.0,165.7739,9.0,2.0,0
k719,0.0,246.5461,3.0,2.0,0
k211,418.0,147.5568,7.0,1.0,0
k105,0.0,282.6889,5.0,1.0,0
k5352,318.0,462.0444,8.0,1.0,0
k4157,1431.0,338.7152,1.0,2.0,0
k4193,0.0,169.071,1.0,1.0,0
k5712,477.0,153.0621,1.0,4.0,1
k7528,954.0,208.1178,3.0,4.0,1
k2373,0.0,66.3702,10.0,9.0,0
k4132,0.0,384.4268,1.0,1.0,1
k7588,259.0,31.4006,5.0,2.0,0
k6594,0.0,71.5542,10.0,4.0,0
k4066,0.0,477.6829,7.0,1.0,0
k4400,0.0,85.235,6.0,3.0,0
k737,198.0,205.061,1.0,5.0,1
k809,0.0,137.0328,2.0,2.0,0
k4771,4861.0,171.0497,6.0,2.0,1
k4688,139.0,77.4145,2.0,2.0,1
k1700,0.0,34.0,2.0,6.0,0
k4694,337.0,155.9295,9.0,6.0,1
k6990,0.0,110.1136,1.0,5.0,0
k803,0.0,220.8189,6.0,3.0,0
k822,0.0,143.0559,8.0,7.0,0
k6077,0.0,287.0436,4.0,7.0,0
k4236,219.0,34.8281,4.0,3.0,0
k7369,0.0,73.6817,7.0,5.0,0
k5902,139.0,178.6197,8.0,3.0,0
k6970,0.0,158.0791,6.0,7.0,0
k7151,0.0,113.0708,8.0,2.0,0
k1956,298.0,802.202,9.0,1.0,0
k335,697.0,84.119,4.0,4.0,1
k7546,0.0,157.0509,10.0,4.0,0
k1288,0.0,112.272,2.0,3.0,0
k21,0.0,27.2029,9.0,6.0,0
k4899,337.0,172.4181,4.0,3.0,1
k1678,0.0,130.4301,10.0,1.0,0
k349,1314.0,79.404,1.0,2.0,1
k4073,0.0,655.5151,3.0,1.0,1
k1885,297.0,540.0037,7.0,3.0,0
k2185,0.0,692.7518,8.0,4.0,0
k1124,199.0,129.2478,6.0,1.0,1
k6688,0.0,398.5273,2.0,1.0,0
k3212,0.0,183.1338,6.0,3.0,0
k6329,0.0,27.8568,2.0,5.0,0
k507,159.0,268.1511,5.0,4.0,1
k4579,0.0,89.0505,5.0,5.0,0
k6699,0.0,143.0105,3.0,1.0,0
k6221,0.0,267.5556,4.0,1.0,0
k748,0.0,130.1768,6.0,1.0,0
k1185,279.0,171.8139,1.0,1.0,1
k6339,0.0,120.0042,10.0,8.0,0
k267,0.0,928.4724,5.0,1.0,0
k917,0.0,52.345,2.0,2.0,0
k5687,0.0,110.6029,4.0,1.0,1
k4570,318.0,256.0176,8.0,5.0,0
k3404,159.0,16.9706,1.0,2.0,0
k3596,139.0,160.8509,3.0,1.0,0
k1568,0.0,45.0111,2.0,2.0,0
k7316,0.0,793.7487,5.0,1.0,0
k2518,0.0,116.297,8.0,2.0,0
k811,0.0,0.0,3.0,3.0,0
k1804,219.0,101.1237,9.0,2.0,1
k3958,159.0,63.3246,10.0,2.0,0
k6871,0.0,280.1946,1.0,6.0,0
k1402,0.0,400.3199,2.0,4.0,0
k7276,0.0,95.0211,10.0,9.0,0
k5141,0.0,785.9421,2.0,2.0,0
k3333,0.0,79.2465,6.0,3.0,0
k6660,159.0,229.0546,3.0,3.0,0
k1131,0.0,47.8539,9.0,3.0,0
k985,278.0,805.0894,4.0,1.0,0
k5144,279.0,270.0685,3.0,2.0,0
k5278,199.0,463.1069,3.0,1.0,0
k3620,119.0,219.9204,1.0,3.0,1
k1180,139.0,548.6,5.0,2.0,0
k5509,318.0,62.3699,10.0,3.0,0
k595,0.0,448.3079,3.0,1.0,0
k6770,597.0,98.7623,2.0,1.0,1
k3436,0.0,113.7453,3.0,2.0,0
k1265,1012.0,123.0447,10.0,5.0,1
k197,637.0,80.6226,2.0,3.0,0
k4576,0.0,352.966,10.0,1.0,0
k3917,0.0,0.0,3.0,2.0,0
k2999,0.0,73.5459,9.0,5.0,0
k4559,279.0,26.3059,2.0,3.0,0
k1178,596.0,54.4518,3.0,5.0,0
k611,0.0,89.56,8.0,2.0,0
k6268,0.0,65.521,9.0,5.0,0
k7292,238.0,49.0408,3.0,2.0,0
k2752,0.0,216.2267,3.0,5.0,0
k3397,0.0,0.0,3.0,1.0,0
k6087,0.0,133.0038,9.0,5.0,0
k662,99.0,71.0282,8.0,7.0,1
k5082,537.0,311.2073,1.0,4.0,0
k4299,0.0,116.6919,3.0,3.0,0
k4673,0.0,40.05,5.0,5.0,0
k3884,0.0,106.0189,6.0,2.0,1
k1893,0.0,144.9724,2.0,1.0,0
k4134,0.0,88.0227,10.0,6.0,0
k6178,0.0,58.2151,2.0,2.0,0
k1905,0.0,126.6689,2.0,3.0,0
k1624,119.0,46.1736,1.0,3.0,0
k7522,853.0,233.0536,7.0,4.0,1
k5374,0.0,193.189,6.0,3.0,0
k527,0.0,288.295,2.0,2.0,0
k4245,139.0,232.9571,1.0,1.0,0
k102,0.0,86.0233,7.0,4.0,0
k4929,0.0,105.1903,3.0,2.0,0
k7097,0.0,173.4618,6.0,4.0,0
k5685,199.0,212.8497,10.0,4.0,1
k2057,0.0,199.0226,3.0,3.0,0
k3054,0.0,124.4588,4.0,1.0,0
k2926,0.0,87.0919,9.0,3.0,0
k6652,219.0,448.0179,9.0,1.0,0
k6564,278.0,188.5338,2.0,1.0,1
k1771,0.0,273.3368,2.0,7.0,0
k1838,0.0,577.5483,10.0,1.0,0
k4401,139.0,270.0685,3.0,4.0,1
k6074,0.0,11.4018,1.0,3.0,0
k1137,0.0,73.4302,7.0,4.0,0
k259,994.0,0.0,6.0,1.0,0
k5799,0.0,56.0892,1.0,4.0,0
k1024,0.0,231.1385,4.0,1.0,0
k6053,298.0,189.0423,9.0,3.0,1
k5828,0.0,505.6679,2.0,1.0,0
k6495,0.0,136.3305,3.0,5.0,0
k5913,0.0,173.2888,4.0,8.0,0
k6335,0.0,451.3059,8.0,1.0,0
k1645,239.0,387.9652,3.0,2.0,0
k2909,0.0,173.7613,4.0,4.0,0
k6305,0.0,133.0338,10.0,6.0,0
k2572,0.0,212.2287,3.0,1.0,0
k5733,398.0,100.2098,3.0,1.0,0
k189,179.0,179.1005,9.0,6.0,1
k1398,557.0,683.4574,3.0,2.0,0
k5058,0.0,971.9532,3.0,1.0,0
k6874,0.0,271.9743,10.0,4.0,0
k2399,0.0,62.0,10.0,4.0,0
k2146,0.0,157.0,8.0,3.0,0
k7005,0.0,200.6091,1.0,1.0,0
k6437,0.0,32.573,3.0,2.0,0
k7261,1431.0,280.765,7.0,1.0,0
k5781,0.0,486.3517,8.0,1.0,0
k3685,0.0,352.196,6.0,5.0,0
k7248,278.0,65.0692,1.0,2.0,0
k1533,0.0,216.0579,10.0,7.0,0
k5217,0.0,105.7592,6.0,1.0,0
k6114,0.0,109.165,5.0,6.0,0
k1345,0.0,728.0934,7.0,1.0,0
k6982,0.0,199.572,6.0,4.0,0
k4099,0.0,310.6638,4.0,2.0,0
k6977,0.0,609.7647,2.0,1.0,0
k3969,0.0,244.4934,8.0,4.0,0
k1996,0.0,108.9082,7.0,4.0,0
k7187,695.0,134.1827,2.0,4.0,0
k6002,0.0,120.3536,1.0,3.0,0
k5378,0.0,236.1715,4.0,3.0,0
k6858,278.0,157.8132,9.0,2.0,1
k2137,0.0,122.0369,2.0,5.0,0
k578,0.0,42.5793,9.0,2.0,0
k2200,0.0,0.0,2.0,3.0,0
k2978,159.0,361.2478,1.0,2.0,0
k4207,0.0,9.0554,4.0,2.0,0
k3471,0.0,363.3731,6.0,1.0,0
k912,0.0,148.3678,5.0,3.0,0
k6661,0.0,201.2486,3.0,5.0,0
k216,139.0,170.0735,8.0,4.0,1
k5437,0.0,0.0,1.0,1.0,0
k7592,417.0,27.313,1.0,3.0,0
k5814,0.0,80.4984,6.0,2.0,0
k5079,0.0,375.4797,6.0,1.0,0
k1561,458.0,237.0,5.0,1.0,1
k3414,159.0,60.1332,4.0,2.0,0
k4477,0.0,711.1807,8.0,1.0,0
k377,238.0,354.0056,5.0,4.0,1
k3675,0.0,123.3288,1.0,4.0,0
k1512,99.0,124.4588,2.0,3.0,1
k1384,0.0,168.8342,7.0,2.0,0
k7576,278.0,133.0038,9.0,1.0,1
k5745,0.0,123.8225,7.0,3.0,1
k6088,656.0,25.7099,1.0,4.0,0
k241,0.0,87.0919,3.0,1.0,0
k2708,0.0,228.1162,5.0,1.0,0
k2683,0.0,89.1403,7.0,3.0,0
k1591,139.0,99.5038,2.0,2.0,1
k4255,0.0,45.5412,4.0,3.0,0
k301,0.0,117.3882,10.0,2.0,0
k1089,318.0,71.1688,8.0,1.0,0
k3157,359.0,71.5052,2.0,4.0,0
k1021,0.0,697.4884,7.0,1.0,0
k5646,0.0,146.4923,8.0,3.0,0
k5331,219.0,180.2249,9.0,5.0,1
k2905,1431.0,331.0967,7.0,1.0,0
k3020,0.0,572.3443,2.0,2.0,0
k4751,0.0,86.977,4.0,6.0,0
k1690,119.0,84.22,5.0,1.0,0
k6391,0.0,86.1452,1.0,2.0,0
k6929,0.0,445.1921,7.0,1.0,0
k2322,358.0,261.0172,8.0,3.0,0
k3959,0.0,114.3897,3.0,1.0,0
k873,0.0,74.411,7.0,1.0,0
k1951,853.0,78.0577,7.0,4.0,1
k11,0.0,214.0584,7.0,5.0,0
k6172,0.0,234.0769,9.0,4.0,0
k1397,0.0,202.094,6.0,4.0,0
k6773,119.0,116.6619,4.0,5.0,0
k3925,357.0,105.5462,3.0,5.0,0
k1210,936.0,226.3846,5.0,3.0,0
k5070,0.0,63.0079,7.0,2.0,1
k1447,297.0,112.1116,7.0,6.0,0
k3642,0.0,136.0919,8.0,4.0,0
k5453,0.0,796.1036,8.0,1.0,0
k572,0.0,75.8222,5.0,1.0,0
k5476,0.0,38.6394,10.0,2.0,0
k6986,119.0,175.0943,1.0,4.0,1
k5096,80.0,419.0966,7.0,4.0,0
k3980,0.0,33.541,1.0,3.0,0
k1003,0.0,117.2391,10.0,4.0,0
k881,0.0,198.1237,3.0,6.0,1
k4528,139.0,139.0863,2.0,1.0,1
k3563,0.0,128.5613,7.0,2.0,0
k3921,119.0,316.0,9.0,5.0,0
k3775,695.0,64.5368,4.0,2.0,1
k2578,0.0,820.7521,7.0,1.0,0
k5914,0.0,46.3897,7.0,5.0,0
k3343,0.0,140.0893,5.0,6.0,1
k1112,0.0,65.0692,3.0,5.0,0
k6142,439.0,141.3542,1.0,2.0,1
k5338,0.0,220.0205,10.0,4.0,0
k6416,2169.0,218.4033,2.0,2.0,1
k5046,617.0,52.7731,4.0,5.0,0
k4251,0.0,199.3615,3.0,2.0,0
k524,0.0,727.607,9.0,1.0,0
k353,0.0,781.7448,3.0,1.0,0
k1992,0.0,698.1984,9.0,2.0,0
k7383,0.0,229.1724,10.0,1.0,0
k411,0.0,251.002,8.0,7.0,0
k5086,0.0,554.3789,1.0,1.0,0
k2516,159.0,621.499,5.0,2.0,0
k6544,219.0,39.3192,3.0,6.0,0
k4258,0.0,89.493,8.0,4.0,0
k2293,0.0,106.5692,4.0,2.0,0
k746,0.0,107.8147,3.0,1.0,0
k3044,0.0,0.0,2.0,1.0,0
k2755,0.0,734.173,8.0,3.0,0
k3215,0.0,175.8238,6.0,3.0,0
k7414,398.0,102.3963,4.0,4.0,1
k185,0.0,276.74,2.0,1.0,0
k416,0.0,105.6835,6.0,5.0,0
k937,0.0,42.9535,1.0,4.0,0
k6500,0.0,107.0,9.0,3.0,0
k854,99.0,79.712,3.0,5.0,0
k989,0.0,0.0,3.0,3.0,0
k654,0.0,65.0308,10.0,4.0,0
k7502,0.0,715.4327,10.0,2.0,0
k2084,0.0,45.0444,8.0,4.0,0
k6631,417.0,181.0442,4.0,3.0,0
k6271,3248.0,434.5906,6.0,4.0,1
k83,0.0,91.444,1.0,4.0,0
k4705,0.0,536.7104,6.0,1.0,0
k5270,0.0,179.0112,5.0,5.0,0
k2647,99.0,51.788,8.0,7.0,1
k7062,0.0,102.4207,3.0,4.0,0
k5410,0.0,60.7454,10.0,8.0,0
k4551,477.0,101.5972,7.0,2.0,0
k4902,0.0,127.3185,6.0,1.0,1
k2160,0.0,176.1193,3.0,5.0,1
k1260,0.0,113.7409,1.0,1.0,0
k3355,359.0,84.4808,10.0,6.0,0
k6811,0.0,352.3308,7.0,1.0,0
k512,0.0,199.0226,4.0,4.0,0
k5667,0.0,376.1396,3.0,2.0,0
k413,0.0,221.009,7.0,4.0,0
k1319,0.0,339.8382,5.0,1.0,0
k4053,278.0,66.9403,10.0,6.0,1
k5295,457.0,850.0994,8.0,1.0,0
k2745,378.0,47.5395,3.0,4.0,1
k3356,0.0,113.2652,8.0,5.0,0
k5743,0.0,165.0273,10.0,5.0,0
k4431,100.0,145.0138,6.0,4.0,0
k6866,0.0,760.3223,10.0,1.0,1
k1917,715.0,64.5368,1.0,2.0,0
k2178,179.0,214.021,4.0,5.0,1
k6347,139.0,170.1558,4.0,3.0,0
k7387,258.0,655.4647,2.0,1.0,0
k4038,0.0,56.2228,3.0,3.0,0
k4879,0.0,155.5635,1.0,6.0,0
k6973,199.0,124.904,1.0,1.0,1
k6011,0.0,277.0162,8.0,1.0,0
k4681,2064.0,87.8635,1.0,4.0,0
k4786,437.0,133.0601,4.0,1.0,1
k176,0.0,478.0377,9.0,5.0,0
k5047,179.0,122.2497,4.0,4.0,0
k7155,0.0,897.9337,3.0,2.0,0
k5801,477.0,48.2597,3.0,4.0,1
k6144,278.0,491.0438,1.0,2.0,0
k6957,4931.0,362.0221,1.0,2.0,0
k4278,0.0,133.6338,6.0,3.0,0
k4735,139.0,445.9439,3.0,2.0,0
k4581,0.0,18.3576,3.0,4.0,0
k2440,0.0,0.0,4.0,3.0,0
k2331,0.0,94.3027,6.0,1.0,0
k6069,0.0,284.0018,8.0,3.0,0
k1674,239.0,252.7944,2.0,3.0,1
k942,0.0,147.7329,8.0,3.0,0
k4758,0.0,19.6977,6.0,2.0,0
