Key_0_0,V33,V53,V37,V48,Key_1_3
k52625,10.728,0.00665509,80.0756,0.109403,k56827
k19655,14.6401,0.17533,120.548,0.038781,k44736
k45555,13.1648,0.530718,180.025,0.072549,k29413
k19785,11.3881,0.105706,46.6287,0.0951501,k14440
k47976,11.9124,0.437812,171.913,0.0286383,k13832
k55424,7.12471,0.00883102,67.2356,0.0572405,k8299
k45710,7.42933,0.0713831,103.081,0.026952,k33210
k36552,21.1413,0.0344502,54.4391,0.0490651,k49031
k35151,9.10145,0.278767,101.951,0.0306171,k41374
k16404,5.18993,0.0280556,73.2102,0.030603,k35806
k36746,25.5472,0.225723,203.329,0.0220593,k47528
k38532,1.03341,0.193148,253.928,0.0271736,k23304
k46117,12.9855,0.45901,37.0805,0.072752,k22462
k8058,4.51774,0.476169,168.553,0.0349404,k32879
k41386,14.1631,0.0683623,148.196,0.0429569,k39612
k25540,5.93677,0.173235,126.466,0.219298,k55794
k9220,5.66699,0.14478,150.035,0.0995475,k17124
k49624,2.34605,0.0309838,252.593,0.0530574,k11122
k54566,11.2268,0.239705,213.056,0.185379,k20182
k29247,21.604,0.347373,114.329,0.0177612,k33387
k36991,18.269,0.0867766,185.268,0.0579061,k53009
k16760,13.7232,0.183223,80.975,0.11167,k22066
k10709,8.03949,0.00410301,117.93,0.120198,k39221
k10625,2.64955,0.377598,102.859,0.0319206,k24261
k18237,4.30162,0.0174479,130.356,0.0131661,k40678
k10646,6.57716,0.0867535,110.904,0.0825397,k2007
k28478,6.89537,0.0560807,121.241,0.0435726,k14544
k16259,13.805,0.291007,58.9263,0.0580903,k29639
k2012,7.91134,0.231997,137.491,0.0529173,k45157
k38444,14.041,0.221163,195.247,0.0380407,k18313
k28085,8.32659,0.00780093,58.5831,0.0268829,k11873
k8953,2.26454,0.0787442,178.203,0.0552445,k18225
k2560,11.5675,0.346595,39.4176,0.0585106,k54978
k39130,1.77426,0.0576215,104.356,0.117586,k5428
k18695,4.99823,0.205978,114.119,0.0460754,k27975
k11041,6.09784,0.0196412,109.955,0.0394869,k49566
k6493,17.3239,0.353085,145.447,0.0259789,k52636
k12164,3.06905,0.048316,104.914,0.00978382,k15589
k9061,7.71493,0.382176,147.625,0.0807231,k21354
k23822,4.96925,0.295064,90.885,0.0392088,k37294
k13932,20.629,0.29287,82.2886,0.169265,k52119
k29660,9.02745,0.0661227,168.141,0.0402679,k26733
k12880,7.7577,0.0475637,89.6485,0.104448,k39246
k27206,1.68152,0.138947,164.63,0.0490268,k46268
k38135,11.4571,0.210943,123.136,0.108747,k45141
k8263,1.4029,0.066088,98.9033,0.0438058,k36280
k38780,6.27653,0.255463,175.43,0.0846042,k57519
k26995,8.33357,0.512459,232.819,0.101157,k1860
k29399,23.3311,0.167801,97.2716,0.0161518,k4955
k41437,1.60045,0.299057,91.8025,0.113051,k21831
k33050,10.2826,0.0236285,130.216,0.0991354,k48106
k14497,19.9826,0.0313947,243.823,0.0576502,k14130
k43244,8.16374,0.125573,124.276,0.0218061,k15971
k16914,8.6352,0.00774884,169.616,0.0400491,k40903
k9607,13.1695,0.0226736,169.659,0.0649705,k4791
k28164,4.08482,0.100729,124.121,0.0475818,k51220
k38477,12.7802,0.35371,134.884,0.102937,k2215
k6292,1.74469,0.195521,113.168,0.0570117,k27751
k17712,7.73104,0.604954,64.8602,0.153306,k55361
k5871,21.8994,0.0516602,143.454,0.0465671,k276
k20637,16.5249,0.00832176,177.629,0.0529232,k26137
k31177,10.9361,0.0194676,133.84,0.0715779,k12653
k26892,15.3282,0.348711,136.293,0.0477295,k54872
k2558,3.88872,0.500376,72.3465,0.0263932,k25475
k38819,8.50974,0.0051794,35.3331,0.0407858,k48423
k1443,4.77851,0.0458507,84.5759,0.0241522,k22521
k4267,0.560435,0.0296296,208.773,0.11796,k39789
k527,12.8548,0.151366,162.619,0.0141314,k22211
k44729,1.58197,0.247535,200.208,0.0247046,k50544
k7454,22.7611,0.164043,87.4055,0.0494201,k3626
k18496,4.68528,0.0239294,87.5568,0.132794,k37902
k50851,13.3435,0.294259,102.164,0.136829,k54977
k50843,13.8371,0.289259,103.458,0.0499334,k14201
k22754,2.68137,0.0378581,182.798,0.101217,k55755
k27994,8.58676,0.0797917,81.9677,0.0491765,k21852
k14870,7.5309,0.182986,181.657,0.0181165,k44822
k19936,12.8077,0.42522,203.994,0.0544558,k16307
k50260,2.78356,0.00759838,61.1805,0.0510672,k37570
k42131,18.5536,0.104005,111.53,0.0630493,k4294
k29614,2.58261,0.105498,118.532,0.0207658,k46712
k2046,2.16463,0.233542,203.771,0.043198,k25752
k2714,24.199,0.0348958,149.982,0.0376205,k35659
k29053,8.89208,0.3825,158.637,0.0215158,k39201
k53557,10.0334,0.131551,130.294,0.0334793,k11219
k25918,9.14923,0.794879,41.9101,0.0587583,k18358
k17581,16.6504,0.0482002,144.407,0.0339023,k35854
k43965,12.2085,0.0453067,141.53,0.0308868,k48097
k42919,10.3343,0.177442,121.865,0.0590717,k15011
k12177,21.4061,0.0395247,196.726,0.0904241,k14736
k26638,6.78711,0.0196644,92.1232,0.0251866,k1034
k23115,4.30714,0.0773047,147.333,0.0490315,k37786
k25593,9.93535,0.0577662,70.5698,0.025214,k9230
