Key_1_1,V39,V45,V34,V47
k32091,126.141,22.0108,0.180911,0.263158
k4840,71.5604,56.112,0.54272,0.438624
k4803,44.2381,43.3674,0.429246,0.188079
k33958,153.016,44.1349,0.388699,0.32351
k93,185.326,58.435,0.284727,0.312332
k19078,129.345,73.146,0.200547,0.363521
k40687,89.1691,58.3882,0.199773,0.172192
k27820,54.7035,15.8651,0.142618,0.238035
k1451,36.007,30.4999,0.211343,0.159763
k48568,88.5755,9.64805,0.119278,0.263035
k27662,106.717,35.7023,0.162769,0.230597
k35386,86.2459,38.1454,0.493786,0.553435
k9465,165.605,66.8019,0.513167,0.531964
k28913,58.6395,8.06988,0.609311,0.451492
k27836,123.262,32.8755,0.0501345,0.600994
k12805,31.062,41.7841,0.589416,0.246655
k6856,49.056,35.176,0.159696,0.281901
k50173,57.9727,17.0451,0.672408,0.399051
k41078,121.621,14.6707,0.299278,0.530607
k3738,10.1811,48.7629,0.21271,0.321062
k54541,187.984,47.9928,0.662548,0.80993
k56894,254.322,13.4285,0.515239,0.518303
k37368,95.0598,12.5342,0.426799,0.411216
k19386,162.199,45.7736,0.09833,0.368544
k46962,149.57,18.2458,0.538102,0.403944
k5454,88.6632,15.3875,0.0808231,0.236077
k55967,139.476,40.6344,0.469046,0.43941
k9963,62.7615,71.7601,0.298871,0.320266
k17580,148.334,26.5507,0.688606,0.423322
k35395,128.853,32.9442,0.544563,0.298085
k43703,199.791,9.56685,0.0887656,0.393691
k5913,103.145,25.6874,0.146593,0.0991049
k33863,142.598,70.59,0.156415,0.350796
k44032,44.6453,26.44,0.0698842,0.224119
k29106,188.91,52.5761,0.287704,0.329279
k6718,180.29,33.7581,0.236173,0.181283
k28540,153.113,13.8902,0.38464,0.176088
k12059,85.4089,42.1924,0.284494,0.500496
k45859,130.516,41.5361,0.360406,0.260417
k30289,122.506,73.4627,0.380341,0.321035
k33205,247.172,26.9671,0.120137,0.33403
k26287,194.694,4.9426,0.411579,0.20432
k10224,139.229,14.4888,0.119418,0.530316
k25056,207.851,29.8084,0.577994,0.330205
k18888,198.367,43.7145,0.16328,0.311111
k4941,153.702,36.3891,0.414828,0.242273
k32134,90.7907,7.68511,0.40911,0.62011
k35439,183.047,10.7714,0.478081,0.282109
k15127,146.092,35.7312,0.0967241,0.849084
k27659,88.2188,20.4447,0.0493344,0.141237
k33113,175.029,11.8004,0.229368,0.423324
k25520,251.383,58.7094,0.876419,0.295241
k331,101.709,16.506,0.457912,0.305861
k23220,66.7645,34.0974,0.459911,0.321338
k15606,99.3702,6.39744,0.593531,0.454349
k44272,144.249,11.5828,0.111157,0.542344
k45474,133.88,29.1357,0.666478,0.223917
k44525,63.5987,17.0899,0.182393,0.292738
k152,100.19,69.0476,0.0881704,0.317612
k34655,98.8608,24.9888,0.510393,0.449184
k47499,127.911,3.69834,0.234482,0.243922
k28993,69.802,5.47561,0.625719,0.101748
k57475,95.9051,18.8274,0.600274,0.201238
k31188,92.0914,35.5147,0.471235,0.492817
k49676,98.5895,13.1404,0.18799,0.254926
k20155,89.8643,10.8,0.118874,0.628007
k37728,175.217,34.4944,0.370167,0.415427
k53384,103.327,52.3378,0.261134,0.349555
k49752,108.354,65.0502,0.126738,0.350223
k54117,118.158,83.7338,0.531977,0.581627
k50965,157.997,25.9102,0.139523,0.325755
