Key_1_1,ParticleID_42,ParticleID_13,ParticleID_3,Key_2_5
k22426,-0.1168309999999999,0.1555359999999999,0.31256,47115
k64182,-0.4293109999999999,0.145342,0.375384,36775
k29237,0.92523,0.1503519999999999,0.24528,52990
k32949,0.0621418,0.0,0.3023389999999999,24929
k61976,0.529369,0.700153,0.312765,72488
k64361,1.60287,0.752786,0.230633,25137
k40343,1.09104,0.0679827,0.269186,62552
k51484,3.223,0.846852,0.249407,21310
k70477,-0.237404,0.226579,0.310633,71992
k69983,-0.238161,0.7581979999999999,0.337787,18642
k39999,1.44609,0.3645219999999999,0.240812,34685
k54912,0.917569,0.264909,0.193098,65479
k8502,0.744634,0.525247,0.212044,54155
k19283,2.24404,0.184894,0.247146,53912
k54097,-0.319777,0.420387,0.406911,40435
k5743,0.00495969,0.610478,0.258084,63136
k6146,0.201138,0.263871,0.322267,30669
k15340,1.32062,0.0102189999999999,0.2947619999999999,12844
k18779,1.6662,0.434847,0.459776,40907
k38605,-0.170268,0.88236,0.287923,22012
k22437,0.134742,0.118839,0.2405659999999999,18142
k52930,0.732545,0.261025,0.444709,68653
k19488,1.62129,0.146047,0.306649,44479
k35782,1.49853,0.727301,0.182497,69550
k48012,1.07266,0.0931173,0.25859,56493
k8727,1.06368,0.548852,0.227069,37319
k17498,0.906952,0.46255,0.333499,42515
k11099,1.95762,0.578497,0.339649,58024
k45474,0.7282689999999999,0.265783,0.307615,57482
k16739,1.24209,0.361431,0.2417699999999999,52046
k49399,0.819232,0.820772,0.228596,46738
k4150,-0.178637,0.151165,0.362097,3257
k46628,0.471446,0.711387,0.295092,42926
k57905,1.55045,0.711662,0.267186,29552
k29320,-0.00586629,0.197857,0.327107,14281
k62748,1.64999,0.1542099999999999,0.3543,25183
k23809,0.178065,0.109399,0.272912,45423
k21245,0.463901,0.0161406,0.2746929999999999,26563
k37242,-0.111217,0.043374,0.303575,69398
k34281,-0.276002,0.219927,0.221719,70949
k20463,0.0690961,0.0785567,0.4429369999999999,63217
k52809,0.0574177,0.136747,0.28201,3255
k20444,-0.3865659999999999,0.444893,0.303107,27354
k6597,0.7534350000000001,0.177829,0.280876,3009
k59781,0.310029,0.766818,0.234353,47655
k24649,-0.0751907,0.0,0.358107,2180
k70635,0.432699,0.0629469,0.354437,40454
k27374,0.84498,0.1056339999999999,0.342034,15417
k31432,0.325826,0.0795436,0.287568,38024
k72968,0.674845,0.230348,0.289676,10304
k6504,0.340513,0.201707,0.349635,44917
k13849,0.6854640000000001,0.0953203,0.3839639999999999,21030
k52189,-0.8407450000000001,0.871445,0.388084,15382
k27420,1.41915,0.174531,0.313642,1579
k40025,-0.0305372,0.0561021999999999,0.348225,31442
k64522,0.622754,0.512142,0.276744,6922
k53168,0.915321,0.0166983,0.389734,16589
k52138,0.385646,0.379133,0.3197239999999999,58373
k9594,3.62659,0.740012,0.278941,50991
k13783,0.974246,0.00085589,0.355823,24440
k1808,0.6872699999999999,0.0339504,0.48067,35520
k72500,0.114898,0.0159903,0.454077,64491
k29475,-0.207015,0.102801,0.300439,30230
k4137,0.938989,0.366382,0.334024,51477
k5314,1.1459,0.149793,0.238627,34534
k20983,0.991939,0.347551,0.328059,36882
k5526,0.68386,0.452858,0.224909,32662
k10532,0.236418,0.1374,0.297074,48059
k25981,1.37587,0.209555,0.293001,38084
k31899,0.323003,0.723597,0.392536,25863
k60036,0.477966,0.0443499,0.3346,13431
k70721,-0.703236,0.0585481,0.409578,29751
k19242,1.02149,0.158199,0.379835,2889
k17967,2.14537,0.548407,0.362809,665
k58329,0.322003,0.251662,0.329703,72772
k55093,0.065973,0.49206,0.342674,28855
k26007,0.188084,0.214189,0.365046,13516
k20908,0.368535,0.352786,0.29061,45435
k23061,0.8566860000000001,0.544553,0.223043,69802
k19845,-0.6036560000000001,0.0449518,0.294416,56799
k61306,0.563921,0.263804,0.377662,57231
k70236,-0.0876806,0.559443,0.329867,632
k21040,0.503559,0.0261145999999999,0.242912,51892
k63519,0.350723,0.745926,0.337619,57492
k38943,0.6163850000000001,0.196127,0.272534,63212
k40441,1.50156,0.171725,0.368313,26493
k30786,-0.0168118,0.0208391,0.255012,36885
k10309,-0.391773,0.124595,0.340051,15609
k33785,0.56075,0.567405,0.229264,26931
k12850,-0.0764123999999999,0.210269,0.2857719999999999,23114
k10410,0.170682,0.0581726,0.292898,7396
k6704,0.0118912,0.0673518999999999,0.333321,31473
k18794,-0.546446,0.076325,0.2535699999999999,70049
k10982,0.38966,0.5716829999999999,0.256218,59379
k42060,1.92947,0.304473,0.320369,63937
k16790,2.81523,0.827051,0.230284,30948
k2875,0.7271890000000001,0.573391,0.450773,46665
k13871,0.0522616999999999,0.845593,0.20201,29476
k6832,0.7913939999999999,0.6720649999999999,0.205131,13456
k62532,-0.0573496,0.629078,0.297934,65825
k7567,0.402178,0.831799,0.282316,56062
k17243,2.08713,0.675359,0.370023,65564
k56914,3.45656,0.278125,0.254721,10169
k9369,-0.0006152169999999,0.4385489999999999,0.260339,11501
k53858,-0.032586,0.437367,0.295651,29257
k34869,0.298565,0.275972,0.247494,52719
k62508,0.433285,0.0160436,0.361546,55102
k29052,0.678083,0.312845,0.262966,41342
k6618,-0.0586869,0.8721760000000001,0.246663,27096
k58163,4.7479,0.0549884999999999,0.256345,65314
k13379,1.05952,0.482806,0.350435,18455
k72692,0.758976,0.0952073,0.479523,27564
k50702,1.34005,0.0186130999999999,0.4261569999999999,37226
k41078,0.933192,0.886191,0.236577,66699
k40628,-0.5164880000000001,0.750888,0.223971,483
k35330,0.195615,0.304796,0.3008929999999999,40252
k65635,0.62857,0.2400139999999999,0.261015,7243
k46562,0.5159020000000001,0.0,0.4218399999999999,13617
k511,-0.22518,0.909416,0.337527,37640
k23399,0.332638,0.143892,0.277778,1711
k50019,0.7272350000000001,0.177749,0.302003,55420
k72220,-0.300014,0.472074,0.211027,7903
k9492,0.89244,0.2645909999999999,0.250637,46488
k62653,1.30276,0.0,0.315959,48658
k72668,3.02915,0.541161,0.208859,12743
k6721,1.02805,0.1082549999999999,0.225039,55458
k11298,-0.0414259,0.0989096,0.354047,58294
k5109,0.0291760999999999,0.364018,0.267838,18991
k62352,-0.1426579999999999,0.0982731,0.3692809999999999,68444
k36766,0.1668339999999999,0.0501466,0.299938,6798
k16055,2.55882,0.568624,0.378737,39762
k58804,0.446399,0.529269,0.310288,58461
k2502,0.630132,0.101776,0.2978989999999999,72630
k25850,2.80068,0.3481309999999999,0.43359,47635
k67338,0.640256,0.168393,0.440229,59587
k3272,-0.340454,0.0468973,0.23598,39370
k42116,0.657269,0.0918778,0.329617,12600
k40603,-0.314794,0.616899,0.325759,64650
k47806,1.34578,0.227205,0.41812,15499
k51157,0.149439,0.527414,0.238578,21756
k32457,0.4244199999999999,0.243717,0.262036,49505
k50736,-0.100758,0.609059,0.2550929999999999,37544
k16976,1.39839,0.0237187,0.233748,29775
k60168,0.8524290000000001,0.00171814,0.2856059999999999,17737
k70937,2.6869400000000003,0.864014,0.18694,66655
k14977,-0.431404,0.326417,0.350883,44184
k54566,-0.0709118999999999,0.1294,0.296333,15399
k29204,-0.126405,0.0675643999999999,0.289622,20496
k37076,-0.0306594,0.5830569999999999,0.304568,350
k53050,0.358453,0.408542,0.329385,19878
k35477,-0.171222,0.475685,0.238513,49392
k31342,1.07192,0.307875,0.279106,36606
k23451,0.796281,0.138694,0.322598,39974
k7475,0.4855109999999999,0.803134,0.245608,17886
