Key_2_4,ParticleID_14,ParticleID_20,ParticleID_25
k21029,1.6784599999999998,-0.291338,-0.25264
k14058,1.50359,0.2000849999999999,-0.364169
k37208,2.34487,1.32668,0.690979
k33035,2.51721,2.63157,0.577367
k64093,1.52266,-2.10098,-2.41167
k11537,1.43492,-2.07477,-3.86277
k50189,2.60812,0.812179,0.695018
k5129,2.46085,-4.71764,-6.791689999999999
k51741,1.87796,-0.0335334,0.279001
k26438,1.74445,-3.15908,-1.94292
k8125,1.61422,-3.02087,-1.00641
k12351,2.33266,-0.237366,-0.374298
k47878,2.48352,0.275776,0.48802
k6894,2.03967,-0.764077,-0.265807
k15954,1.74952,-1.27742,-1.57159
k57494,2.18079,-2.51579,-2.64811
k815,1.68839,-0.6023109999999999,-0.182216
k17208,2.22529,1.95824,0.48798
k62656,1.53816,-0.0973063,-2.10215
k3543,2.0514900000000003,-4.09287,-3.50999
k68283,2.49441,0.486885,-0.0660273999999999
k40830,1.95275,-0.292478,-0.824586
k1616,1.927,0.124989,0.176453
k43953,1.56652,-3.70094,-1.79513
k29329,3.04628,1.02335,0.689329
k44143,1.80922,-1.25858,-2.33849
k50720,2.2444900000000003,-1.35974,-2.31327
k32438,1.27726,-2.61127,-7.156280000000001
k62133,1.8258,0.0949175,-0.279951
k35147,1.83258,-0.398488,-1.65638
k63227,1.88585,-3.82622,-0.762012
k72841,1.58891,0.201105,-0.0221847
k20673,1.78859,-2.64862,-5.83166
k21993,1.71617,-2.80386,-0.643127
k4953,1.99604,0.408401,0.191597
k24512,1.84576,0.00632062,-0.292691
k67554,2.81012,1.10469,0.557708
k44977,2.2454400000000003,1.43087,0.767841
k50903,1.77387,2.28563,0.922422
k7519,2.9269,0.902232,0.0313094
k38244,1.82087,1.7227599999999998,1.85192
k49597,2.08667,0.6180640000000001,0.257036
k6013,2.07367,0.146086,0.0890013
k49357,1.81298,-0.104219,0.0736376
k39391,2.29142,-3.83935,-4.29165
k29687,2.10565,2.63916,0.0370574
k24046,1.59883,0.976544,0.36055
k55169,1.58275,0.7335189999999999,-0.147481
k49979,1.7051599999999998,1.56377,0.642221
k70343,1.74835,0.2024369999999999,-1.14687
k18095,2.53746,0.302722,0.5146390000000001
k61231,2.5169200000000003,0.595962,-0.229238
k50194,4.35158,-4.81249,-0.433133
k32275,2.25095,0.784062,0.237596
k38615,1.86968,0.506959,0.813167
k50758,1.59014,0.017888,-0.719775
k8997,2.18096,2.23988,0.5236350000000001
k23113,1.61639,0.226342,0.101801
k60316,1.5462,-3.5620300000000005,-6.49451
k15308,1.79848,2.29995,2.45121
k12538,1.99534,0.8619190000000001,1.42441
k38461,1.67762,2.37641,3.11592
k16753,2.05449,1.14256,0.330007
k62879,1.78234,-0.462505,-0.928511
k1569,2.6295,0.795689,0.126698
k11891,1.49731,-0.978196,-2.69579
k33139,1.64013,0.3652289999999999,-1.59214
k27238,2.12186,0.0461527,0.547676
k53908,2.11003,0.8591290000000001,0.218702
k11443,1.6418400000000002,4.41275,-4.7992
k57643,1.89574,0.518191,0.519205
k54072,1.8271,1.18011,2.26215
k30293,1.96931,0.653664,-0.4597229999999999
k65931,1.69845,6.10977,-2.48449
k8645,2.51105,-0.382318,-0.286181
k5964,1.60445,-1.13512,-1.05608
k55533,1.55018,-0.0021199,0.3129429999999999
k26600,1.93618,-0.0431315,0.0980291
k7885,1.93975,-1.6252,-2.01456
k13383,2.3675200000000003,2.49181,0.33138
k21561,1.54406,-0.845424,-1.11719
k58918,3.54904,-0.896172,-0.281624
k10190,2.47891,1.57959,0.325306
k15719,1.7772,-2.89506,-4.15871
k47330,2.00123,-0.131665,-1.07637
k53717,2.11003,0.749911,-0.813127
k28824,2.29798,1.01694,0.362266
k54414,1.50204,-0.2962909999999999,-0.965796
k15780,2.22756,-2.70275,-1.28603
k71784,2.06041,0.654663,0.2109469999999999
k3261,2.0532,0.5231399999999999,0.312421
k21465,1.4365,0.582146,0.545636
k46094,2.1038900000000003,2.23236,0.616843
k51394,1.88068,-1.10008,-1.70513
k36659,2.42417,0.361383,-0.311519
k42009,2.17596,-9.60519,-14.6248
k23453,1.64418,-1.46859,-3.04503
k22279,1.53492,-3.82794,-3.94294
k31917,1.99017,-3.88965,-6.151680000000001
k37452,1.7875599999999998,-1.28906,-0.274294
k31948,1.50145,-3.71674,-4.93572
k18753,2.00035,-1.16039,-5.68326
k12135,1.17199,-1.16046,-1.3449
k36916,1.57815,-0.430164,-0.7334689999999999
k56864,2.64302,-1.37995,-0.0169777999999999
k16456,2.34666,0.769079,0.501305
k34698,2.34192,1.97903,0.730283
k69888,1.98151,0.573539,0.126782
k22059,1.65113,-5.6794,-3.44337
