Key_2_4,ParticleID_2,ParticleID_41,ParticleID_26,ParticleID_22,ParticleID_15
k21029,78.5358,-32.4068,131.184,56.1874,560.605
k14058,142.295,-78.0728,140.234,54.0612,595.422
k37208,88.3913,-5.59805,59.1511,145.489,1510.1
k33035,125.635,29.1261,177.19,36.1331,969.124
k64093,129.042,-54.5492,133.85,40.6014,494.864
k11537,109.002,-30.0388,131.02,34.3117,457.739
k50189,360.306,2.98416,72.6028,71.8707,803.301
k5129,154.892,-69.9878,122.412,56.2845,942.505
k51741,87.6778,-28.6087,116.096,58.5718,681.698
k26438,112.559,-82.389,121.582,42.1858,648.936
k8125,37.026,-72.7577,100.169,12.0729,355.12800000000004
k12351,18.7606,-26.3498,18.679,87.1934,776.7760000000001
k47878,168.197,-17.2625,104.338,111.088,1005.83
k6894,139.094,-17.5182,182.407,60.2448,428.33
k15954,81.6299,-70.7348,177.408,34.8536,561.597
k57494,150.023,-59.3295,194.723,81.008,1094.76
k815,33.8422,5.18163,189.834,59.3913,449.112
k17208,132.05,34.9604,125.763,46.3688,565.225
k62656,11.4753,-43.3043,70.4808,17.7577,321.476
k3543,78.9283,-87.87,108.422,34.0128,601.087
k68283,120.226,7.3179,98.6712,30.8907,611.13
k40830,132.929,-28.681,173.08,25.2785,564.3430000000001
k1616,80.8056,-59.7426,55.2218,33.0476,603.1519999999999
k43953,66.9664,-9.25737,3.15847,70.2851,587.447
k29329,137.74200000000002,9.68578,82.0839,60.1557,919.976
k44143,84.6552,-22.1917,11.3229,54.8754,569.905
k50720,90.6844,-79.0834,159.01,36.3138,758.6389999999999
k32438,14.194,-48.7146,79.4388,27.1969,235.015
k62133,96.0429,-24.8131,122.416,73.936,664.591
k35147,44.4197,-33.7909,9.76798,51.1693,588.259
k63227,150.691,-14.2336,6.82723,85.9103,716.6239999999999
k72841,115.957,-60.9794,140.05200000000002,32.6676,551.351
k20673,131.555,-52.6753,99.1206,43.8653,745.8439999999999
k21993,139.484,-14.7189,100.218,75.8908,568.054
k4953,122.923,-32.9872,103.4,75.8594,996.025
k24512,125.792,-37.1433,137.214,23.229,485.435
k67554,89.9982,-16.6891,68.6348,76.4989,1413.49
k44977,149.496,41.2973,125.464,54.7473,588.306
k50903,118.71,3.19566,95.6216,54.3833,895.804
k7519,21.487,31.1853,91.3671,195.171,1861.51
k38244,253.722,-28.4757,86.2493,27.6225,648.231
k49597,113.322,-19.8876,91.1956,100.88,1185.23
k6013,78.2619,-38.7968,137.189,53.8713,955.962
k49357,125.315,-5.53417,146.714,55.9768,527.577
k39391,129.471,-67.9391,56.6239,77.1845,831.7860000000001
k29687,102.708,-27.5255,227.242,11.4717,751.716
k24046,118.89,-21.5318,127.277,28.2758,534.008
k55169,117.455,-18.0389,133.52,21.1753,609.357
k49979,85.5711,7.660010000000001,13.4976,56.8526,854.2860000000001
k70343,129.055,-19.6099,132.721,25.9703,597.934
k18095,101.125,-62.3767,163.095,41.8076,1002.3
k61231,108.622,-33.2156,186.028,96.3769,956.43
k50194,291.101,-109.152,476.786,150.863,3185.35
k32275,80.9275,-5.41755,124.672,20.8627,772.078
