Key_1_3,V23,V24,Key_2_10
k863,0.9031,1.6435,817
k153,0.7782,1.4624,629
k989,0.7782,1.2553,1754
k731,0.8451,1.6532,47
k1841,1.2305,2.4099,1099
k1604,1.0414,1.9395,1330
k1876,1.5185,2.6181,73
k1462,1.0,1.301,378
k517,1.1139,1.415,263
k1530,1.2041,2.2148,1665
k1135,1.0792,1.6812,77
k1466,1.0,1.8062,174
k582,1.0792,1.7324,1456
k1354,0.9542,1.7781,65
k1855,1.1761,1.8129,712
k1725,1.1761,2.1206,89
k476,1.5563,2.4281,1372
k140,1.1461,1.8633,999
k68,0.8451,1.3979,1265
k312,1.0792,1.4314,1227
k1308,1.0414,1.5315,1812
k425,0.9542,1.4624,1470
k380,0.9542,1.2787,1926
k1723,1.0,1.5911,160
k660,0.9542,1.5185,1006
k15,0.9542,1.3617,1396
k842,1.1461,1.5911,1256
k792,0.7782,1.2553,1337
k1139,1.3222,2.3997,1429
k1289,1.1139,1.5798,1808
k288,0.8451,1.5185,824
k1156,1.1139,1.7993,638
k1754,0.8451,1.3802,106
k1753,1.0,1.4472,261
k1150,1.3617,1.7924,760
k1826,1.0792,1.6335,111
k1889,1.0792,1.5911,1392
k375,1.0,1.8513,1414
k860,1.0,1.6812,1193
k423,1.0792,1.3617,1300
k1295,1.0,1.7324,551
k248,1.0792,1.5563,1511
k1320,1.0792,1.415,1478
k1258,1.0,1.699,1435
k1905,0.9031,1.3222,1279
k1856,0.9542,1.6902,458
k1893,0.8451,1.1139,384
k955,0.7782,1.2305,1818
k1639,1.0792,1.0792,575
k898,0.8451,1.0414,1705
k1862,0.8451,1.1139,202
k376,1.0414,1.8195,545
k65,0.9542,1.4314,232
k442,1.0,1.3802,340
k1805,0.9542,1.5315,1811
k1682,0.9542,1.4314,173
k341,1.1139,0.7782,1198
k1578,1.0792,1.4771,1743
k971,0.9031,1.0792,901
k1089,0.7782,1.1761,279
k1693,0.8451,1.0,1589
k1563,0.8451,1.0414,733
k1582,0.9542,1.0414,591
k1837,0.8451,1.0792,1630
k1128,0.9542,1.0414,1522
k94,0.9542,1.7781,1858
k1588,0.9031,1.301,1299
k314,0.7782,1.1139,793
k193,0.9031,1.1461,464
k1883,0.9031,0.9542,195
k1859,1.0414,1.1139,1110
k1733,0.9542,1.4472,711
k182,0.9031,1.301,269
k1797,0.7782,1.2553,1362
k1609,0.9031,1.0792,7
k484,0.8451,0.7782,324
k1260,0.9542,1.4914,247
k1368,0.9542,1.3617,1420
k1870,1.2041,2.4487,1296
k1505,1.2553,2.2989,853
k1328,1.415,2.2201,290
k607,0.9031,1.2305,127
k368,0.9031,0.8451,1365
k1552,1.4914,2.776,1574
k1054,1.0792,1.2041,1713
k1939,0.9542,1.2041,1624
k1412,0.8451,1.301,1037
k948,1.0792,1.5051,983
k241,1.0414,1.5563,1751
k1409,1.1761,1.5911,198
k1669,1.1139,1.716,122
k118,1.2305,1.8389,1904
k1520,1.1139,1.8261,1703
k1143,1.1139,1.3424,746
k890,0.9542,0.8451,1760
k713,1.1139,1.4624,1841
k254,0.9031,1.415,1814
k342,0.8451,1.6335,1866
k1353,0.9031,1.2787,1395
k1058,0.9031,1.2041,1481
k25,0.8451,1.0792,354
k1664,1.0,1.3222,210
k691,1.1461,1.4472,93
k622,1.0792,2.0128,469
k370,1.1139,1.7559,685
k1746,1.0,1.1761,264
k825,1.3222,2.2945,1491
k1763,1.1139,1.4472,1344
k918,1.0792,1.3802,479
k121,0.9542,1.2305,1598
k661,1.0414,1.5051,957
k1093,1.1139,1.5441,327
k273,0.9542,1.4472,1896
k306,0.9542,1.5051,149
k515,0.7782,1.9243,1836
k24,0.8451,1.8451,1182
k1596,0.8451,1.4771,1063
k109,1.0792,1.6532,1125
k1739,0.9542,1.301,1150
k611,1.1761,1.9294,863
k1448,1.1461,1.9912,228
k972,1.1461,1.6233,772
k1191,1.0414,1.5185,249
k839,1.0792,1.4771,225
k1724,0.9031,1.4314,655
k936,1.0792,1.8389,369
k1616,1.2041,1.9395,1688
k1202,1.0792,1.5051,573
k737,1.1761,2.0086,607
k557,0.9542,1.4914,891
k1044,0.9542,1.6435,216
k681,1.2553,1.9494,136
k440,1.1139,1.7324,777
k1405,1.1761,1.5051,1495
k460,0.9031,1.3617,720
k1217,1.2553,2.6294,230
k363,0.699,1.2553,339
k926,0.9542,1.415,950
k653,1.0414,1.3617,1765
k785,0.7782,1.301,1800
k1577,1.1461,2.5515,969
k1745,0.699,1.699,1525
k1501,1.0414,1.4914,1536
k585,0.9031,1.2553,435
k1631,1.0,1.1461,639
k907,1.2041,2.5527,1590
k490,1.1139,1.7243,725
k1915,1.1139,1.5185,1334
k229,1.0414,1.7853,148
k217,1.0792,1.4914,1061
k679,0.9031,1.4472,1275
k1740,1.0,1.2787,1566
k353,0.9542,1.415,1692
k1056,1.0,1.5315,1359
k828,0.9542,1.7404,1940
k1343,0.9031,1.3802,1217
k327,0.9542,1.3424,1222
k1714,0.9542,1.3222,1664
k1274,1.2787,1.1461,1115
k802,1.0792,0.7782,1315
k883,1.2041,1.3979,1370
k843,1.0792,1.7482,932
k468,1.0792,1.0414,450
k1736,1.1461,1.0792,282
k998,1.3222,2.2279,1399
k677,1.6128,2.1644,596
k591,1.5441,1.6628,1387
k787,1.1139,1.7404,1612
k1569,1.2305,1.699,762
k658,1.0792,1.5441,855
k1164,1.0414,1.301,1088
k1299,1.0792,1.6233,221
k7,0.9031,1.1139,1385
k449,0.7782,1.2553,1020
k979,0.9542,1.1461,1469
k748,1.2787,1.5315,1271
k422,0.9031,1.2553,1551
k399,1.0,1.1461,482
k230,1.301,1.0792,1078
k1603,1.2041,1.2787,921
k1832,1.0792,1.0792,979
k542,0.9542,1.0414,605
k1418,1.1461,1.0792,495
k1011,1.3424,1.9395,420
k210,2.1303,2.1847,1908
k433,1.3617,1.5051,266
k167,0.9031,1.0792,1541
k331,1.1139,1.0792,730
k483,1.0792,0.8451,351
k1080,1.1761,1.7243,217
k464,1.2787,1.0414,250
k522,1.0414,1.0414,180
k1484,0.7782,1.2305,92
k1169,1.1139,1.3802,1210
k4,1.0792,1.301,563
k220,1.3424,1.8389,645
k456,1.0,1.4314,370
k920,1.2553,1.699,1254
k277,1.1761,1.2041,926
k1493,1.0414,0.9542,646
k278,0.8451,1.301,1243
k552,1.1461,2.0792,508
k957,1.5051,2.3096,1873
k137,1.3424,1.9823,381
k1373,1.3617,1.8062,1893
k858,1.5315,1.8751,1663
k1482,2.0212,2.4829,285
k1648,1.3617,1.9445,1691
k1108,1.301,1.7076,1520
k1594,1.5682,2.5922,1203
k237,1.3979,1.9445,524
k777,1.5051,1.9685,100
k1166,1.301,1.7559,519
k113,1.5911,2.1239,1312
k511,1.4624,2.0934,729
k1532,1.4914,1.6128,1323
k867,1.301,1.9294,1287
k1523,1.6628,2.2718,1329
k487,1.415,1.6628,757
k1120,1.1139,1.8389,677
k744,1.5185,1.7076,1187
k67,1.0,1.0792,134
k1180,1.3979,1.9868,1666
k1223,1.2305,1.5441,784
k1387,1.2305,1.1461,98
k1602,1.1139,1.3424,1350
k905,0.8451,1.301,1496
k717,1.8692,2.3463,1485
k1381,1.2787,1.1761,1346
k804,1.2553,1.4472,1726
k151,1.0,1.1461,1629
k178,1.1139,0.8451,530
k1369,1.0,1.0,1921
k1742,1.3979,1.2787,1918
k421,1.1139,0.8451,822
k301,0.9031,1.4624,1479
k643,0.7782,1.1461,1928
k935,0.8451,1.1461,1118
k1637,1.3617,1.8261,293
k846,1.3802,1.5315,1855
k1751,0.9542,1.0414,1236
k1157,1.1461,1.2787,1440
k1142,1.2041,1.1139,434
k356,0.7782,1.2041,1865
k709,1.1461,1.4472,1104
k1829,1.2041,0.9031,1573
k0,1.5315,1.3979,1049
k166,1.1761,1.5563,233
k954,1.0414,1.0414,227
k1917,1.0414,1.1461,3
k160,1.0414,1.0,344
k307,1.0414,1.1461,635
k596,1.3424,1.8692,684
k1256,1.4624,1.2553,1065
k705,1.0792,1.0414,670
k1270,1.1139,1.3424,1804
k1445,1.2305,1.3222,1161
k287,1.0414,1.4472,1923
k1240,1.0,1.4314,1617
k463,1.2305,1.959,912
k485,1.301,1.3222,1010
k1229,1.5798,1.8692,977
k698,1.1461,1.0792,549
k1874,1.301,1.2787,118
k250,1.3222,1.3222,1648
k688,1.2787,1.7076,333
k902,1.1761,1.4314,1717
k665,1.1461,1.0792,798
k1857,0.9542,1.2041,1894
k374,1.8573,1.6532,1907
k1198,1.0,1.0792,1242
k1322,1.1139,1.0,295
