Key_2_4,V8,V28
k59,24220,1
k730,11397,1
k305,7972,1
k1315,18996,1
k1637,246930,1
k1525,62357,1
k195,1481991,1
k820,20007,1
k1429,29748,1
k350,180215,1
k1558,50393,1
k1642,31062,1
k1214,61966,1
k1353,38917,1
k517,69258,1
k489,119540,1
k212,570911,1
k746,59750,1
k1236,14907,1
k1630,24807,1
k688,32604,1
k237,17753,1
k1732,13829,1
k473,32175,1
k1843,27349,1
k566,16645,1
k1584,38722,1
k294,8948,1
k1065,368381,1
k1089,36875,1
k1710,20751,1
k875,48793,1
k1618,16680,1
k1091,19762,1
k806,68851,1
k1324,35856,1
k676,32705,1
k170,43323,1
k1390,17413,1
k1104,20993,1
k402,44712,1
k70,30269,1
k330,23207,1
k638,34655,1
k1424,10784,1
k908,22785,1
k1200,5587,1
k627,7502,1
k860,7525,1
k868,6124,1
k46,6567,1
k1006,46365,1
k342,16337,1
k420,13678,1
k988,20528,1
k933,15572,1
k1272,6902,1
k1496,18593,1
k1093,7416,1
k1004,7013,1
k987,5039,1
k898,6863,1
k1335,8063,1
k1593,6625,1
k1527,7846,1
k1826,38206,1
k964,11126,1
k1368,5369,1
k569,5232,1
k1568,4674,1
k1419,7804,1
k335,18416,1
k331,8709,1
k1677,4616,1
k841,4585,1
k1246,3022,1
k210,24034,1
k387,18654,1
k461,300024,1
k1876,228995,1
k1435,141034,1
k219,11430,1
k1500,4014,1
k582,1096282,1
k1114,10915,1
k1910,13173,1
k1731,9671,1
k209,28986,1
k1387,32134,1
k1888,35005,1
k138,44883,1
k112,67978,1
k1698,67597,1
k1877,17820,1
k1231,5049,1
k1268,28261,1
k1493,15385,1
k779,20264,1
k1674,12212,1
k1483,11385,1
k835,5999,1
k1563,13356,1
k502,24547,1
k194,97514,1
k1283,41622,1
k1822,11656,1
k1684,283038,1
k282,28050,1
k997,18742,1
k7,11439,1
k1131,22478,1
k1329,33379,1
k369,9559,1
k1726,21691,1
k1588,19226,1
k1569,24697,1
k427,9253,1
k1808,37695,1
k1145,13345,1
k1788,78455,1
k1471,90154,1
k75,32766,1
k167,24672,1
k567,25531,1
k367,14605,1
k1495,37930,1
k1705,84410,1
k1260,23706,1
k507,89508,1
k1244,21864,1
k339,28268,1
k893,76380,1
k535,43880,1
k393,29895,1
k1226,12238,1
k991,454421,1
k1040,8051,1
k1766,19118,1
k937,18052,1
k1147,9917,1
k605,197957,1
k1854,17388,1
k1539,22508,1
k1402,11573,1
k827,11748,1
k208,363821,1
k1188,46520,1
k540,28711,1
k176,45269,1
k1084,26902,1
k1193,20267,1
k450,16571,1
k1013,14471,1
k257,31058,1
k1597,34055,1
k1518,13943,1
k47,19711,1
k141,18695,1
k647,15858,0
k661,6632,0
k321,25563,0
k537,39043,0
k1643,9155,0
k169,7752,0
k360,154035,0
k1095,248809,0
k1245,62926,0
k1917,41476,0
k604,32335,0
k680,22913,0
k359,8781,0
k1897,20642,0
k124,6820,0
k262,6593,0
k1437,5912,0
k1207,35427,0
k1720,9467,0
k1140,7659,0
k1881,13595,0
k1741,15719,0
k1396,4557,0
k1068,4347,0
k1678,8535,0
k249,85268,0
k1033,611544,0
k996,34230,0
k843,5608,0
k1473,8915,0
k1498,6106,0
k1894,21964,0
k79,13148,0
k885,8388,0
k1926,6374,0
k1122,20000,0
k723,13549,0
k1520,83716,0
k608,8233,0
k831,51661,0
k1063,11154,0
k1445,8824,0
k1346,8235,0
k1607,60260,0
k252,145129,0
k1884,53750,0
k1707,31515,0
k24,110127,0
k553,479002,0
k1464,110993,0
k994,63194,0
k1751,608995,0
k874,61231,0
k839,202537,0
k584,60005,0
k1594,316233,0
k764,198389,0
k932,83627,0
k812,121595,0
k590,365943,0
k832,63480,0
k499,66181,0
k536,77691,0
k1443,8477,0
k314,126759,0
k495,26694,0
k778,17295,0
k1856,12602,0
k1629,8027,0
k222,917886,0
k1827,19460,0
k1685,19650,0
k669,6819,0
k12,6685,0
k1450,6483,0
k740,14875,0
k1668,6135,0
k1421,15896,0
k630,4499,0
k1000,5695,0
k1699,84461,0
k897,59901,0
k916,6757,0
k1172,14757,0
k1372,8566,0
k148,3095,0
k66,25660,0
k88,8327,0
k1575,30518,0
k398,38672,0
k766,5376,0
k1051,9733,0
k1407,6834,0
k955,7384,0
k445,63525,0
k1107,22534,0
k1167,7216,0
k191,13185,0
k1100,24463,0
k1549,18774,0
k549,16678,0
k270,71852,0
k1179,15545,0
k494,132939,0
k171,7588,0
k1874,29896,0
k698,19591,0
k1916,46236,0
k336,27599,0
k815,12056,0
k332,6146,0
k1370,103898,0
k459,7286,0
k1382,6260,0
k466,12834,0
k1014,38597,0
k1009,7309,0
k1138,28728,0
k1263,49765,0
k406,16633,0
k1409,8246,0
k873,6861,0
k645,10702,0
k1651,6490,0
k761,4931,0
k708,5546,0
k1789,7050,0
k1657,7114,0
k274,16308,0
k280,11647,0
k1159,50867,0
k1783,31789,0
k533,18517,0
k488,5957,0
k1163,11516,0
k967,5652,0
k600,26356,0
k19,11843,0
k780,19139,0
k1694,8106,0
k1572,12465,0
k715,6133,0
k992,5573,0
k1666,15313,0
k918,12424,0
k1021,9214,0
k386,11748,0
k592,96937,0
k1591,11293,0
k1356,150413,0
k1229,8123,0
k726,62326,0
k1908,5940,0
k1153,14997,0
k900,26503,0
k8,3673,0
k1449,17100,0
k1354,6886,0
k338,52482,0
k1840,5267,0
k1124,16865,0
k265,9208,0
k401,10847,0
k1517,36566,0
k1758,6323,0
k523,160372,0
k562,18361,0
k56,4643,0
k1274,18720,0
k123,6657,0
k1025,7151,0
k881,5907,0
k962,42620,0
k1085,19453,0
k559,78470,0
k37,17707,0
k681,65223,0
k159,20312,0
k919,20131,0
k1189,40573,0
k1446,17505,0
k48,16908,0
k1022,185716,0
k146,15035,0
k1485,214243,0
k13,14323,0
k1641,13662,0
k621,15147,0
k1020,395668,0
k1638,32358,0
k904,13094,0
k769,12872,0
k1530,10855,0
k269,14016,0
k986,79713,0
k15,15483,0
k763,28697,0
k1103,181730,0
k31,15069,0
k558,27180,0
k1673,21840,0
k993,13025,0
k1212,9968,0
k721,13099,0
k968,11189,0
k17,12624,0
k58,11255,0
k1832,69672,0
k564,20974,0
k1010,17174,0
k69,14369,0
k1935,13311,0
k594,14041,0
k538,9848,0
k388,12593,0
k253,14538,0
k127,14808,0
k707,8857,0
k662,8801,0
k1216,11132,0
k616,10518,0
k789,16760,0
k224,14703,0
k1046,9033,0
k1336,233778,0
k318,175110,0
k631,21216,0
k704,21639,0
k511,19202,0
k87,23671,0
k1813,18625,0
k1220,49867,0
k1680,49303,0
k395,11591414,0
k471,3037459,0
k340,2554885,0
k807,3061597,0
k720,2935414,0
k93,2529140,0
k1264,2499819,0
k1081,2712104,0
k179,2638402,0
k586,2519511,0
k1060,2020624,0
k232,2144244,0
k64,2332320,0
k1809,2156667,0
k389,2230510,0
k1524,2155523,0
k128,2013557,0
k1841,1992604,0
k1553,2147442,0
k90,2160349,0
k1102,2264960,0
k1265,2225392,0
k1416,2400588,0
k1798,2155986,0
k773,2034432,0
k310,2236201,0
k862,1734628,0
k443,1939163,0
