Key_2_4,V14,V30,V33
k59,80,0,0
k730,80,0,0
k305,100,0,0
k1315,290,0,0
k1637,185,0,0
k1525,40,0,0
k195,150,0,0
k820,150,0,0
k1429,150,0,0
k350,150,0,0
k1558,150,0,0
k1642,150,0,0
k1214,150,0,0
k1353,150,0,0
k517,150,0,0
k489,150,0,0
k212,150,0,0
k746,150,0,0
k1236,150,0,0
k1630,200,0,0
k688,200,0,0
k237,200,0,0
k1732,200,0,0
k473,200,0,0
k1843,200,0,0
k566,40,0,0
k1584,40,0,0
k294,40,0,0
k1065,40,0,0
k1089,40,0,0
k1710,40,0,0
k875,40,0,0
k1618,40,0,0
k1091,50,0,0
k806,50,0,0
k1324,50,0,0
k676,70,0,0
k170,70,0,0
k1390,40,0,0
k1104,250,0,0
k402,200,0,0
k70,70,0,0
k330,40,0,0
k638,40,0,0
k1424,60,0,0
k908,60,0,0
k1200,60,0,0
k627,60,0,0
k860,60,0,0
k868,60,0,0
k46,60,0,0
k1006,60,0,0
k342,60,0,0
k420,69,0,0
k988,69,0,0
k933,69,0,0
k1272,69,0,0
k1496,100,0,0
k1093,100,0,0
k1004,100,0,0
k987,100,0,0
k898,120,0,0
k1335,120,0,0
k1593,100,0,0
k1527,100,0,0
k1826,100,0,0
k964,100,0,0
k1368,100,0,0
k569,100,0,0
k1568,100,0,0
k1419,100,0,0
k335,100,0,0
k331,100,0,0
k1677,211,0,0
k841,211,0,0
k1246,143,0,0
k210,143,0,0
k387,80,0,0
k461,40,0,0
k1876,40,0,0
k1435,40,0,0
k219,40,0,0
k1500,60,0,0
k582,60,0,0
k1114,200,0,0
k1910,220,0,0
k1731,220,0,0
k209,40,0,0
k1387,40,0,0
k1888,40,0,0
k138,40,0,0
k112,40,0,0
k1698,40,0,0
k1877,100,0,0
k1231,100,0,0
k1268,40,0,0
k1493,70,0,0
k779,70,0,0
k1674,70,0,0
k1483,70,0,0
k835,70,0,0
k1563,70,0,0
k502,120,0,0
k194,175,0,0
k1283,125,0,0
k1822,125,0,0
k1684,125,0,0
k282,125,0,0
k997,125,0,0
k7,40,0,0
k1131,50,0,0
k1329,50,0,0
k369,90,0,0
k1726,90,0,0
k1588,90,0,0
k1569,90,0,0
k427,90,0,0
k1808,90,0,0
k1145,90,0,0
k1788,90,0,0
k1471,90,0,0
k75,90,0,0
k167,90,0,0
k567,90,0,0
k367,90,0,0
k1495,90,0,0
k1705,90,0,0
k1260,90,0,0
k507,90,0,0
k1244,90,0,0
k339,90,0,0
k893,90,0,0
k535,90,0,0
k393,90,0,0
k1226,70,0,0
k991,70,0,0
k1040,40,0,0
k1766,40,0,0
k937,60,0,0
k1147,60,0,0
k605,80,0,0
k1854,100,0,0
k1539,40,0,0
k1402,40,0,0
k827,40,0,0
k208,40,0,0
k1188,40,0,0
k540,40,0,0
k176,40,0,0
k1084,40,0,0
k1193,70,0,0
k450,70,0,0
k1013,70,0,0
k257,70,0,0
k1597,70,0,0
k1518,70,0,0
k47,70,0,0
k141,70,0,0
k647,100,0,0
k661,70,0,0
k321,70,0,0
k537,70,0,0
k1643,70,0,0
k169,70,0,0
k360,70,0,0
k1095,70,0,0
k1245,70,0,0
k1917,70,0,0
k604,70,0,0
k680,70,0,0
k359,70,0,0
k1897,70,0,0
k124,70,0,0
k262,70,0,0
k1437,70,0,0
k1207,70,0,0
k1720,70,0,0
k1140,70,0,0
k1881,70,0,0
k1741,70,0,0
k1396,70,0,0
k1068,70,0,0
k1678,70,0,0
k249,70,0,0
k1033,70,0,0
k996,70,0,0
k843,70,0,0
k1473,70,0,0
k1498,70,0,0
k1894,70,0,0
k79,70,0,0
k885,70,0,0
k1926,70,0,0
k1122,70,0,0
k723,70,0,0
k1520,70,0,0
k608,70,0,0
k831,70,0,0
k1063,70,0,0
k1445,70,0,0
k1346,70,0,0
k1607,70,0,0
k252,70,0,0
k1884,70,0,0
k1707,70,0,0
k24,70,0,0
k553,70,0,0
k1464,70,0,0
k994,70,0,0
k1751,70,0,0
k874,70,0,0
k839,70,0,0
k584,70,0,0
k1594,70,0,0
k764,70,0,0
k932,70,0,0
k812,70,0,0
k590,70,0,0
k832,70,0,0
k499,70,0,0
k536,70,0,0
k1443,70,0,0
k314,70,0,0
k495,70,0,0
k778,70,0,0
k1856,70,0,0
k1629,70,0,0
k222,70,0,0
k1827,70,0,0
k1685,70,0,0
k669,70,0,0
k12,70,0,0
k1450,70,0,0
k740,70,0,0
k1668,70,0,0
k1421,70,0,0
k630,70,0,0
k1000,70,0,0
k1699,70,0,0
k897,70,0,0
k916,70,0,0
k1172,70,0,0
k1372,70,0,0
k148,70,0,0
k66,70,0,0
k88,70,0,0
k1575,70,0,0
k398,70,0,0
k766,70,0,0
k1051,70,0,0
k1407,70,0,0
k955,70,0,0
k445,70,0,0
k1107,70,0,0
k1167,70,0,0
k191,70,0,0
k1100,70,0,0
k1549,70,0,0
k549,70,0,0
k270,70,0,0
k1179,70,0,0
k494,70,0,0
k171,70,0,0
k1874,70,0,0
k698,70,0,0
k1916,70,0,0
k336,70,0,0
k815,70,0,0
k332,70,0,0
k1370,70,0,0
k459,70,0,0
k1382,70,0,0
k466,70,0,0
k1014,70,0,0
k1009,70,0,0
k1138,70,0,0
k1263,70,0,0
k406,70,0,0
k1409,70,0,0
k873,70,0,0
k645,70,0,0
k1651,70,0,0
